sample_id,variant,component,set,mass
codecontests_java_1,clean_with_corrupt_instruction,L21H1,instruction_line,0.08139190077781677
codecontests_java_1,clean_with_corrupt_instruction,L21H1,task_body,0.2533645033836365
codecontests_java_1,clean_with_corrupt_instruction,L21H12,instruction_line,0.07265721261501312
codecontests_java_1,clean_with_corrupt_instruction,L21H12,task_body,0.06857626885175705
codecontests_java_1,clean_with_corrupt_instruction,L16H4,instruction_line,0.1754169762134552
codecontests_java_1,clean_with_corrupt_instruction,L16H4,task_body,0.30818772315979004
codecontests_java_1,corrupt_with_clean_instruction,L20H5,instruction_line,0.07724983990192413
codecontests_java_1,corrupt_with_clean_instruction,L20H5,task_body,0.030854543671011925
codecontests_java_1,corrupt_with_clean_instruction,L21H1,instruction_line,0.03516608476638794
codecontests_java_1,corrupt_with_clean_instruction,L21H1,task_body,0.30282357335090637
codecontests_java_1,corrupt_with_clean_instruction,L21H12,instruction_line,0.0031768635381013155
codecontests_java_1,corrupt_with_clean_instruction,L21H12,task_body,0.0037584395613521338
codecontests_java_1,corrupt_with_clean_instruction,L16H4,instruction_line,0.18134044110774994
codecontests_java_1,corrupt_with_clean_instruction,L16H4,task_body,0.22237230837345123
codecontests_java_1,corrupt_full,L20H5,instruction_line,0.24452142417430878
codecontests_java_1,corrupt_full,L20H5,task_body,0.1251106560230255
codecontests_java_1,corrupt_full,L21H1,instruction_line,0.08139190077781677
codecontests_java_1,corrupt_full,L21H1,task_body,0.2533645033836365
codecontests_java_1,corrupt_full,L21H12,instruction_line,0.07265721261501312
codecontests_java_1,corrupt_full,L21H12,task_body,0.06857626885175705
codecontests_java_1,corrupt_full,L16H4,instruction_line,0.1754169762134552
codecontests_java_1,corrupt_full,L16H4,task_body,0.30818772315979004
mbpp_python_1,clean_full,L20H5,instruction_line,0.20097891986370087
mbpp_python_1,clean_full,L20H5,task_body,0.02218962274491787
mbpp_python_1,clean_full,L21H1,instruction_line,0.05352769047021866
mbpp_python_1,clean_full,L21H1,task_body,0.13214626908302307
mbpp_python_1,clean_full,L21H12,instruction_line,0.06553204357624054
mbpp_python_1,clean_full,L21H12,task_body,0.00814626831561327
mbpp_python_1,clean_full,L16H4,instruction_line,0.11231037229299545
mbpp_python_1,clean_full,L16H4,task_body,0.2398642748594284
mbpp_python_1,clean_with_corrupt_instruction,L20H5,instruction_line,0.3066561222076416
mbpp_python_1,clean_with_corrupt_instruction,L20H5,task_body,0.054511286318302155
mbpp_python_1,clean_with_corrupt_instruction,L21H1,instruction_line,0.060533441603183746
mbpp_python_1,clean_with_corrupt_instruction,L21H1,task_body,0.1487436592578888
mbpp_python_1,clean_with_corrupt_instruction,L21H12,instruction_line,0.08307762444019318
mbpp_python_1,clean_with_corrupt_instruction,L21H12,task_body,0.0164510328322649
mbpp_python_1,clean_with_corrupt_instruction,L16H4,instruction_line,0.12476035207509995
mbpp_python_1,clean_with_corrupt_instruction,L16H4,task_body,0.3612734079360962
mbpp_python_1,corrupt_with_clean_instruction,L20H5,instruction_line,0.20097891986370087
mbpp_python_1,corrupt_with_clean_instruction,L20H5,task_body,0.02218962274491787
mbpp_python_1,corrupt_with_clean_instruction,L21H1,instruction_line,0.05352769047021866
mbpp_python_1,corrupt_with_clean_instruction,L21H1,task_body,0.13214626908302307
mbpp_python_1,corrupt_with_clean_instruction,L21H12,instruction_line,0.06553204357624054
mbpp_python_1,corrupt_with_clean_instruction,L21H12,task_body,0.00814626831561327
mbpp_python_1,corrupt_with_clean_instruction,L16H4,instruction_line,0.11231037229299545
mbpp_python_1,corrupt_with_clean_instruction,L16H4,task_body,0.2398642748594284
mbpp_python_1,corrupt_full,L20H5,instruction_line,0.3066561222076416
mbpp_python_1,corrupt_full,L20H5,task_body,0.054511286318302155
mbpp_python_1,corrupt_full,L21H1,instruction_line,0.060533441603183746
mbpp_python_1,corrupt_full,L21H1,task_body,0.1487436592578888
mbpp_python_1,corrupt_full,L21H12,instruction_line,0.08307762444019318
mbpp_python_1,corrupt_full,L21H12,task_body,0.0164510328322649
mbpp_python_1,corrupt_full,L16H4,instruction_line,0.12476035207509995
mbpp_python_1,corrupt_full,L16H4,task_body,0.3612734079360962
codecontests_java_2,clean_full,L20H5,instruction_line,0.0930691659450531
codecontests_java_2,clean_full,L20H5,task_body,0.060129936784505844
codecontests_java_2,clean_full,L21H1,instruction_line,0.04247161000967026
codecontests_java_2,clean_full,L21H1,task_body,0.2998315691947937
codecontests_java_2,clean_full,L21H12,instruction_line,0.012279924936592579
codecontests_java_2,clean_full,L21H12,task_body,0.012960744090378284
codecontests_java_2,clean_full,L16H4,instruction_line,0.08006122708320618
codecontests_java_2,clean_full,L16H4,task_body,0.33839961886405945
codecontests_java_2,clean_with_corrupt_instruction,L20H5,instruction_line,0.3072461485862732
codecontests_java_2,clean_with_corrupt_instruction,L20H5,task_body,0.08042173832654953
codecontests_java_2,clean_with_corrupt_instruction,L21H1,instruction_line,0.06260275095701218
codecontests_java_2,clean_with_corrupt_instruction,L21H1,task_body,0.24706906080245972
codecontests_java_2,clean_with_corrupt_instruction,L21H12,instruction_line,0.06264501065015793
codecontests_java_2,clean_with_corrupt_instruction,L21H12,task_body,0.04781204089522362
codecontests_java_2,clean_with_corrupt_instruction,L16H4,instruction_line,0.10023929178714752
codecontests_java_2,clean_with_corrupt_instruction,L16H4,task_body,0.408726304769516
codecontests_java_2,corrupt_with_clean_instruction,L20H5,instruction_line,0.0930691659450531
codecontests_java_2,corrupt_with_clean_instruction,L20H5,task_body,0.060129936784505844
codecontests_java_2,corrupt_with_clean_instruction,L21H1,instruction_line,0.04247161000967026
codecontests_java_2,corrupt_with_clean_instruction,L21H1,task_body,0.2998315691947937
codecontests_java_2,corrupt_with_clean_instruction,L21H12,instruction_line,0.012279924936592579
codecontests_java_2,corrupt_with_clean_instruction,L21H12,task_body,0.012960744090378284
codecontests_java_2,corrupt_with_clean_instruction,L16H4,instruction_line,0.08006122708320618
codecontests_java_2,corrupt_with_clean_instruction,L16H4,task_body,0.33839961886405945
codecontests_java_2,corrupt_full,L20H5,instruction_line,0.3072461485862732
codecontests_java_2,corrupt_full,L20H5,task_body,0.08042173832654953
codecontests_java_2,corrupt_full,L21H1,instruction_line,0.06260275095701218
codecontests_java_2,corrupt_full,L21H1,task_body,0.24706906080245972
codecontests_java_2,corrupt_full,L21H12,instruction_line,0.06264501065015793
codecontests_java_2,corrupt_full,L21H12,task_body,0.04781204089522362
codecontests_java_2,corrupt_full,L16H4,instruction_line,0.10023929178714752
codecontests_java_2,corrupt_full,L16H4,task_body,0.408726304769516
codecontests_cpp_3,clean_full,L20H5,instruction_line,0.14135578274726868
codecontests_cpp_3,clean_full,L20H5,task_body,0.06171032786369324
codecontests_cpp_3,clean_full,L21H1,instruction_line,0.042213764041662216
codecontests_cpp_3,clean_full,L21H1,task_body,0.18474961817264557
codecontests_cpp_3,clean_full,L21H12,instruction_line,0.02014235407114029
codecontests_cpp_3,clean_full,L21H12,task_body,0.019395455718040466
codecontests_cpp_3,clean_full,L16H4,instruction_line,0.1114339530467987
codecontests_cpp_3,clean_full,L16H4,task_body,0.2720138430595398
codecontests_cpp_3,clean_with_corrupt_instruction,L20H5,instruction_line,0.24690428376197815
codecontests_cpp_3,clean_with_corrupt_instruction,L20H5,task_body,0.07583360373973846
codecontests_cpp_3,clean_with_corrupt_instruction,L21H1,instruction_line,0.06520803272724152
codecontests_cpp_3,clean_with_corrupt_instruction,L21H1,task_body,0.21217794716358185
codecontests_cpp_3,clean_with_corrupt_instruction,L21H12,instruction_line,0.03917470574378967
codecontests_cpp_3,clean_with_corrupt_instruction,L21H12,task_body,0.03942401334643364
codecontests_cpp_3,clean_with_corrupt_instruction,L16H4,instruction_line,0.12867216765880585
codecontests_cpp_3,clean_with_corrupt_instruction,L16H4,task_body,0.28532105684280396
codecontests_cpp_3,corrupt_with_clean_instruction,L20H5,instruction_line,0.14135578274726868
codecontests_cpp_3,corrupt_with_clean_instruction,L20H5,task_body,0.06171032786369324
codecontests_cpp_3,corrupt_with_clean_instruction,L21H1,instruction_line,0.042213764041662216
codecontests_cpp_3,corrupt_with_clean_instruction,L21H1,task_body,0.18474961817264557
codecontests_cpp_3,corrupt_with_clean_instruction,L21H12,instruction_line,0.02014235407114029
codecontests_cpp_3,corrupt_with_clean_instruction,L21H12,task_body,0.019395455718040466
codecontests_cpp_3,corrupt_with_clean_instruction,L16H4,instruction_line,0.1114339530467987
codecontests_cpp_3,corrupt_with_clean_instruction,L16H4,task_body,0.2720138430595398
codecontests_cpp_3,corrupt_full,L20H5,instruction_line,0.24690428376197815
codecontests_cpp_3,corrupt_full,L20H5,task_body,0.07583360373973846
codecontests_cpp_3,corrupt_full,L21H1,instruction_line,0.06520803272724152
codecontests_cpp_3,corrupt_full,L21H1,task_body,0.21217794716358185
codecontests_cpp_3,corrupt_full,L21H12,instruction_line,0.03917470574378967
codecontests_cpp_3,corrupt_full,L21H12,task_body,0.03942401334643364
codecontests_cpp_3,corrupt_full,L16H4,instruction_line,0.12867216765880585
codecontests_cpp_3,corrupt_full,L16H4,task_body,0.28532105684280396
codecontests_java_3,clean_full,L20H5,instruction_line,0.06956537067890167
codecontests_java_3,clean_full,L20H5,task_body,0.029185760766267776
codecontests_java_3,clean_full,L21H1,instruction_line,0.033106692135334015
codecontests_java_3,clean_full,L21H1,task_body,0.3215433359146118
codecontests_java_3,clean_full,L21H12,instruction_line,0.0031756882090121508
codecontests_java_3,clean_full,L21H12,task_body,0.003391980892047286
codecontests_java_3,clean_full,L16H4,instruction_line,0.13190507888793945
codecontests_java_3,clean_full,L16H4,task_body,0.3280006945133209
codecontests_java_3,clean_with_corrupt_instruction,L20H5,instruction_line,0.21287015080451965
codecontests_java_3,clean_with_corrupt_instruction,L20H5,task_body,0.0860864520072937
codecontests_java_3,clean_with_corrupt_instruction,L21H1,instruction_line,0.07412503659725189
codecontests_java_3,clean_with_corrupt_instruction,L21H1,task_body,0.22587545216083527
codecontests_java_3,clean_with_corrupt_instruction,L21H12,instruction_line,0.08866187185049057
codecontests_java_3,clean_with_corrupt_instruction,L21H12,task_body,0.042796432971954346
codecontests_java_3,clean_with_corrupt_instruction,L16H4,instruction_line,0.14687488973140717
codecontests_java_3,clean_with_corrupt_instruction,L16H4,task_body,0.40163642168045044
codecontests_java_3,corrupt_with_clean_instruction,L20H5,instruction_line,0.06956537067890167
codecontests_java_3,corrupt_with_clean_instruction,L20H5,task_body,0.029185760766267776
codecontests_java_3,corrupt_with_clean_instruction,L21H1,instruction_line,0.033106692135334015
codecontests_java_3,corrupt_with_clean_instruction,L21H1,task_body,0.3215433359146118
codecontests_java_3,corrupt_with_clean_instruction,L21H12,instruction_line,0.0031756882090121508
codecontests_java_3,corrupt_with_clean_instruction,L21H12,task_body,0.003391980892047286
codecontests_java_3,corrupt_with_clean_instruction,L16H4,instruction_line,0.13190507888793945
codecontests_java_3,corrupt_with_clean_instruction,L16H4,task_body,0.3280006945133209
codecontests_java_3,corrupt_full,L20H5,instruction_line,0.21287015080451965
codecontests_java_3,corrupt_full,L20H5,task_body,0.0860864520072937
codecontests_java_3,corrupt_full,L21H1,instruction_line,0.07412503659725189
codecontests_java_3,corrupt_full,L21H1,task_body,0.22587545216083527
codecontests_java_3,corrupt_full,L21H12,instruction_line,0.08866187185049057
codecontests_java_3,corrupt_full,L21H12,task_body,0.042796432971954346
codecontests_java_3,corrupt_full,L16H4,instruction_line,0.14687488973140717
codecontests_java_3,corrupt_full,L16H4,task_body,0.40163642168045044
apps_python_4,clean_full,L20H5,instruction_line,0.17447970807552338
apps_python_4,clean_full,L20H5,task_body,0.029301656410098076
apps_python_4,clean_full,L21H1,instruction_line,0.0456540621817112
apps_python_4,clean_full,L21H1,task_body,0.08036945015192032
apps_python_4,clean_full,L21H12,instruction_line,0.009133750572800636
apps_python_4,clean_full,L21H12,task_body,0.0036633722484111786
apps_python_4,clean_full,L16H4,instruction_line,0.15258653461933136
apps_python_4,clean_full,L16H4,task_body,0.2855513393878937
apps_python_4,clean_with_corrupt_instruction,L20H5,instruction_line,0.4470338523387909
apps_python_4,clean_with_corrupt_instruction,L20H5,task_body,0.06970256567001343
apps_python_4,clean_with_corrupt_instruction,L21H1,instruction_line,0.04585585743188858
apps_python_4,clean_with_corrupt_instruction,L21H1,task_body,0.10254183411598206
apps_python_4,clean_with_corrupt_instruction,L21H12,instruction_line,0.10929648578166962
apps_python_4,clean_with_corrupt_instruction,L21H12,task_body,0.02060171775519848
apps_python_4,clean_with_corrupt_instruction,L16H4,instruction_line,0.17903019487857819
apps_python_4,clean_with_corrupt_instruction,L16H4,task_body,0.3855656683444977
