sample_id,step_idx,nodes,rescue_ratio,decision_score,no_tool_top1,boundary_flip
codecontests_cpp_11,1,L16H4,0.07407407407407407,-3.1241531372070312,False,False
codecontests_cpp_11,2,L16H4|MLP17,0.38425925925925924,-2.03857421875,False,False
codecontests_cpp_11,3,L16H4|MLP17|L23H6,0.5625,-1.3583984375,False,False
codecontests_java_11,1,L16H4,0.14473684210526316,-2.01873779296875,False,False
codecontests_java_11,2,L16H4|MLP17,0.3848684210526316,-1.34716796875,False,False
codecontests_java_11,3,L16H4|MLP17|L23H6,0.7631578947368421,0.17578125,True,True
humaneval_python_11,1,L16H4,0.029940119760479042,-2.5306625366210938,False,False
humaneval_python_11,2,L16H4|MLP17,0.6766467065868264,-0.478515625,True,False
humaneval_python_11,3,L16H4|MLP17|L23H6,0.8353293413173652,0.53515625,True,True
mbpp_python_11,1,L16H4,0.1712962962962963,-1.38690185546875,False,False
mbpp_python_11,2,L16H4|MLP17,0.7048611111111112,-0.16015625,True,False
mbpp_python_11,3,L16H4|MLP17|L23H6,0.8506944444444444,0.443359375,True,True
codecontests_cpp_12,1,L16H4,0.17307692307692307,-2.008575439453125,False,False
codecontests_cpp_12,2,L16H4|MLP17,0.3685897435897436,-1.497802734375,False,False
codecontests_cpp_12,3,L16H4|MLP17|L23H6,0.5801282051282052,-0.876953125,False,False
codecontests_java_12,1,L16H4,0.2727272727272727,-4.4910888671875,False,False
codecontests_java_12,2,L16H4|MLP17,0.5202020202020202,-2.90478515625,False,False
codecontests_java_12,3,L16H4|MLP17|L23H6,0.7411616161616161,-1.283203125,False,False
apps_python_13,1,L16H4,0.13656387665198239,-3.058685302734375,False,False
apps_python_13,2,L16H4|MLP17,0.6674008810572687,-0.92578125,False,False
apps_python_13,3,L16H4|MLP17|L23H6,0.8138766519823789,-0.078125,True,False
codecontests_java_13,1,L16H4,0.3051948051948052,-3.3167724609375,False,False
codecontests_java_13,2,L16H4|MLP17,0.4253246753246753,-2.70654296875,False,False
codecontests_java_13,3,L16H4|MLP17|L23H6,0.6266233766233766,-1.578125,False,False
apps_python_14,1,L16H4,0.039473684210526314,-3.4217119216918945,False,False
apps_python_14,2,L16H4|MLP17,0.31140350877192985,-2.4266357421875,False,False
apps_python_14,3,L16H4|MLP17|L23H6,0.5789473684210527,-1.3505859375,False,False
codecontests_cpp_14,1,L16H4,0.2317596566523605,-2.78314208984375,False,False
codecontests_cpp_14,2,L16H4|MLP17,0.7167381974248928,-0.615234375,False,False
codecontests_cpp_14,3,L16H4|MLP17|L23H6,0.8760729613733905,0.611328125,False,True
codecontests_java_14,1,L16H4,0.10828025477707007,-4.3719482421875,False,False
codecontests_java_14,2,L16H4|MLP17,0.6098726114649682,-1.7685546875,False,False
codecontests_java_14,3,L16H4|MLP17|L23H6,0.7914012738853503,-0.58203125,False,False
codecontests_cpp_15,1,L16H4,-0.006024096385542169,-1.3033065795898438,False,False
codecontests_cpp_15,2,L16H4|MLP17,0.6295180722891566,-0.234375,True,False
codecontests_cpp_15,3,L16H4|MLP17|L23H6,0.8012048192771084,0.30859375,True,True
codecontests_java_15,1,L16H4,0.2205128205128205,-4.743377685546875,False,False
codecontests_java_15,2,L16H4|MLP17,0.4128205128205128,-3.546875,False,False
codecontests_java_15,3,L16H4|MLP17|L23H6,0.6512820512820513,-1.943359375,False,False
apps_python_16,1,L16H4,0.2893081761006289,-1.720947265625,False,False
apps_python_16,2,L16H4|MLP17,0.7437106918238994,0.06640625,True,True
apps_python_16,3,L16H4|MLP17|L23H6,0.8537735849056604,0.92578125,True,True
codecontests_cpp_16,1,L16H4,0.24293785310734464,-2.0751953125,False,False
codecontests_cpp_16,2,L16H4|MLP17,0.807909604519774,0.08203125,True,True
codecontests_cpp_16,3,L16H4|MLP17|L23H6,0.8990112994350282,0.783203125,True,True
codecontests_java_16,1,L16H4,0.07655502392344497,-3.0130462646484375,False,False
codecontests_java_16,2,L16H4|MLP17,0.777511961722488,-0.2109375,False,False
codecontests_java_16,3,L16H4|MLP17|L23H6,0.9168660287081339,0.955078125,True,True
apps_python_17,1,L16H4,0.27070063694267515,-1.7669677734375,False,False
apps_python_17,2,L16H4|MLP17,0.6990445859872612,-0.431640625,False,False
apps_python_17,3,L16H4|MLP17|L23H6,0.8423566878980892,0.24609375,True,True
codecontests_cpp_17,1,L16H4,0.22857142857142856,-2.51605224609375,False,False
codecontests_cpp_17,2,L16H4|MLP17,0.6428571428571429,-0.9287109375,False,False
codecontests_cpp_17,3,L16H4|MLP17|L23H6,0.8142857142857143,0.01171875,True,True
codecontests_java_17,1,L16H4,0.25,-3.78631591796875,False,False
codecontests_java_17,2,L16H4|MLP17,0.6990740740740741,-1.2841796875,False,False
codecontests_java_17,3,L16H4|MLP17|L23H6,0.9344135802469136,1.01171875,True,True
mbpp_python_17,1,L16H4,0.2602739726027397,-2.5118408203125,False,False
mbpp_python_17,2,L16H4|MLP17,0.7888127853881278,-0.228515625,False,False
