sample_id,step_idx,nodes,rescue_ratio,decision_score,tool_top1,boundary_flip
apps_python_5,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9426169590643275,0.158203125,False,True
codecontests_cpp_5,1,L20H5,0.3108108108108108,-3.1700439453125,False,False
codecontests_cpp_5,2,L20H5|L21H1,0.8521959459459459,-0.11328125,False,False
codecontests_cpp_5,3,L20H5|L21H1|L21H12,0.9421452702702703,0.919921875,True,True
codecontests_cpp_5,4,L20H5|L21H1|L21H12|L24H6,0.9751900337837838,1.60400390625,True,True
codecontests_cpp_5,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9830025337837838,1.88232421875,True,True
codecontests_java_5,1,L20H5,0.37890625,-4.9586181640625,False,False
codecontests_java_5,2,L20H5|L21H1,0.732421875,-2.03076171875,False,False
codecontests_java_5,3,L20H5|L21H1|L21H12,0.973876953125,1.158203125,True,True
codecontests_java_5,4,L20H5|L21H1|L21H12|L24H6,0.99139404296875,2.00927734375,True,True
codecontests_java_5,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9987411499023438,4.02117919921875,True,True
codecontests_cpp_6,1,L20H5,0.35106382978723405,-1.868408203125,False,False
codecontests_cpp_6,2,L20H5|L21H1,0.7699468085106383,-0.2421875,False,False
codecontests_cpp_6,3,L20H5|L21H1|L21H12,0.9732380319148937,1.66357421875,True,True
codecontests_cpp_6,4,L20H5|L21H1|L21H12|L24H6,0.9872839095744681,2.087646484375,True,True
codecontests_cpp_6,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9957820811170213,2.56573486328125,True,True
codecontests_java_6,1,L20H5,0.2662337662337662,-7.0603179931640625,False,False
codecontests_java_6,2,L20H5|L21H1,0.6347402597402597,-3.483642578125,False,False
codecontests_java_6,3,L20H5|L21H1|L21H12,0.9525162337662337,0.34765625,True,True
codecontests_java_6,4,L20H5|L21H1|L21H12|L24H6,0.9781858766233766,1.0634765625,True,True
codecontests_java_6,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9987063717532467,2.800048828125,True,True
codecontests_java_7,1,L20H5,0.14705882352941177,-5.435516357421875,False,False
codecontests_java_7,2,L20H5|L21H1,0.6421568627450981,-2.1767578125,False,False
codecontests_java_7,3,L20H5|L21H1|L21H12,0.9607843137254902,1.0625,True,True
codecontests_java_7,4,L20H5|L21H1|L21H12|L24H6,0.9833026960784313,1.7685546875,True,True
codecontests_java_7,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9984489889705882,3.1151123046875,True,True
apps_python_8,1,L20H5,0.3444976076555024,-2.108642578125,False,False
apps_python_8,2,L20H5|L21H1,0.6794258373205742,-0.814453125,False,False
apps_python_8,3,L20H5|L21H1|L21H12,0.9174641148325359,0.67578125,True,True
apps_python_8,4,L20H5|L21H1|L21H12|L24H6,0.9554425837320574,1.1435546875,True,True
apps_python_8,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9228468899521531,0.755859375,True,True
apps_python_9,1,L20H5,0.27488151658767773,-2.3714599609375,False,False
apps_python_9,2,L20H5|L21H1,0.7476303317535545,-0.4921875,False,False
apps_python_9,3,L20H5|L21H1|L21H12,0.9034360189573459,0.548828125,True,True
apps_python_9,4,L20H5|L21H1|L21H12|L24H6,0.9466824644549763,1.02734375,True,True
apps_python_9,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9826718009478673,1.74755859375,True,True
codecontests_cpp_9,1,L20H5,0.32432432432432434,-2.3170166015625,False,False
codecontests_cpp_9,2,L20H5|L21H1,0.8468468468468469,0.0703125,True,True
codecontests_cpp_9,3,L20H5|L21H1|L21H12,0.991237331081081,2.1883544921875,True,True
codecontests_cpp_9,4,L20H5|L21H1|L21H12|L24H6,0.9913780968468469,2.1888427734375,True,True
codecontests_cpp_9,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9947212837837838,2.403564453125,True,True
codecontests_java_9,1,L20H5,0.3197278911564626,-6.242767333984375,False,False
codecontests_java_9,2,L20H5|L21H1,0.6173469387755102,-3.461669921875,False,False
codecontests_java_9,3,L20H5|L21H1|L21H12,0.9570578231292517,0.61328125,True,True
codecontests_java_9,4,L20H5|L21H1|L21H12|L24H6,0.969812925170068,0.98828125,True,True
codecontests_java_9,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9904868197278912,2.00634765625,True,True
apps_python_10,1,L20H5,0.35658914728682173,-1.248779296875,False,False
apps_python_10,2,L20H5|L21H1,0.8304263565891473,0.251953125,True,True
apps_python_10,3,L20H5|L21H1|L21H12,0.9467054263565892,1.119140625,True,True
apps_python_10,4,L20H5|L21H1|L21H12|L24H6,0.9750484496124031,1.53564453125,True,True
apps_python_10,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9964874031007752,2.274169921875,True,True
codecontests_cpp_11,1,L20H5,0.47398843930635837,-1.3232421875,False,False
codecontests_cpp_11,2,L20H5|L21H1,0.8374277456647399,0.208984375,True,True
codecontests_cpp_11,3,L20H5|L21H1|L21H12,0.9644147398843931,1.50537109375,True,True
codecontests_cpp_11,4,L20H5|L21H1|L21H12|L24H6,0.9745303468208093,1.72802734375,True,True
codecontests_cpp_11,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9830202312138728,1.9541015625,True,True
codecontests_java_11,1,L20H5,0.46634615384615385,-3.4556884765625,False,False
codecontests_java_11,2,L20H5|L21H1,0.6971153846153846,-1.8701171875,False,False
codecontests_java_11,3,L20H5|L21H1|L21H12,0.9516225961538461,0.537109375,True,True
codecontests_java_11,4,L20H5|L21H1|L21H12|L24H6,0.9731069711538461,0.9658203125,True,True
codecontests_java_11,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9833984375,1.19677734375,True,True
humaneval_python_11,1,L20H5,0.0967741935483871,-4.374953746795654,False,False
humaneval_python_11,2,L20H5|L21H1,0.5838709677419355,-1.94482421875,False,False
humaneval_python_11,3,L20H5|L21H1|L21H12,0.7693548387096775,-0.880859375,False,False
humaneval_python_11,4,L20H5|L21H1|L21H12|L24H6,0.8951612903225806,0.07421875,False,True
humaneval_python_11,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9040322580645161,0.43359375,False,True
mbpp_python_11,1,L20H5,0.22727272727272727,-2.3826904296875,False,False
mbpp_python_11,2,L20H5|L21H1,0.6237373737373737,-1.0537109375,False,False
mbpp_python_11,3,L20H5|L21H1|L21H12,0.7045454545454546,-0.744140625,False,False
mbpp_python_11,4,L20H5|L21H1|L21H12|L24H6,0.7967171717171717,-0.34375,False,False
mbpp_python_11,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.944760101010101,0.5712890625,True,True
codecontests_cpp_12,1,L20H5,0.3380281690140845,-1.433349609375,False,False
codecontests_cpp_12,2,L20H5|L21H1,0.6109154929577465,-0.6826171875,False,False
codecontests_cpp_12,3,L20H5|L21H1|L21H12,0.961487676056338,1.16455078125,True,True
codecontests_cpp_12,4,L20H5|L21H1|L21H12|L24H6,0.975462147887324,1.383056640625,True,True
codecontests_cpp_12,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9926826584507042,1.8040771484375,True,True
codecontests_java_12,1,L20H5,0.39864864864864863,-5.55255126953125,False,False
codecontests_java_12,2,L20H5|L21H1,0.8471283783783784,-1.091796875,False,False
codecontests_java_12,3,L20H5|L21H1|L21H12,0.9932960304054054,2.71923828125,True,True
codecontests_java_12,4,L20H5|L21H1|L21H12|L24H6,0.9956450591216216,3.100341796875,True,True
codecontests_java_12,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9996238914695946,4.87152099609375,True,True
apps_python_13,1,L20H5,0.375,-2.30517578125,False,False
apps_python_13,2,L20H5|L21H1,0.8052083333333333,-0.248046875,False,False
apps_python_13,3,L20H5|L21H1|L21H12,0.9197916666666667,0.71484375,True,True
apps_python_13,4,L20H5|L21H1|L21H12|L24H6,0.9541666666666667,1.21875,True,True
apps_python_13,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9670572916666667,1.52490234375,True,True
codecontests_java_13,1,L20H5,0.3360655737704918,-5.05303955078125,False,False
codecontests_java_13,2,L20H5|L21H1,0.7858606557377049,-1.419921875,False,False
codecontests_java_13,3,L20H5|L21H1|L21H12,0.9798924180327869,1.6123046875,True,True
codecontests_java_13,4,L20H5|L21H1|L21H12|L24H6,0.9919633709016393,2.391845703125,True,True
codecontests_java_13,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9997588611039959,4.404411315917969,True,True
apps_python_14,1,L20H5,0.4601449275362319,-2.2685546875,False,False
apps_python_14,2,L20H5|L21H1,0.7971014492753623,-0.458984375,False,False
apps_python_14,3,L20H5|L21H1|L21H12,0.8288043478260869,-0.21875,False,False
apps_python_14,4,L20H5|L21H1|L21H12|L24H6,0.9526721014492754,1.1083984375,True,True
apps_python_14,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9727128623188406,1.59326171875,True,True
codecontests_cpp_14,1,L20H5,0.1358695652173913,-4.967430114746094,False,False
codecontests_cpp_14,2,L20H5|L21H1,0.5978260869565217,-2.24169921875,False,False
codecontests_cpp_14,3,L20H5|L21H1|L21H12,0.891983695652174,-0.0078125,True,False
codecontests_cpp_14,4,L20H5|L21H1|L21H12|L24H6,0.9480298913043478,0.763671875,True,True
codecontests_cpp_14,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9862432065217391,1.8193359375,True,True
codecontests_java_14,1,L20H5,0.23846153846153847,-6.181976318359375,False,False
codecontests_java_14,2,L20H5|L21H1,0.5807692307692308,-3.37353515625,False,False
codecontests_java_14,3,L20H5|L21H1|L21H12,0.9545673076923077,0.732421875,True,True
