sample_id,variant,tool_score,no_tool_score,decision_score,tool_top1,no_tool_top1
apps_python_1,clean_full,0.0,-2.90625,2.90625,True,False
apps_python_1,clean_with_corrupt_instruction,-3.453125,0.0,-3.453125,False,True
apps_python_1,corrupt_with_clean_instruction,0.0,-2.90625,2.90625,True,False
apps_python_1,corrupt_full,-3.453125,0.0,-3.453125,False,True
codecontests_cpp_1,clean_full,0.0,-6.1875,6.1875,True,False
codecontests_cpp_1,clean_with_corrupt_instruction,-6.625,0.0,-6.625,False,True
codecontests_cpp_1,corrupt_with_clean_instruction,0.0,-6.1875,6.1875,True,False
codecontests_cpp_1,corrupt_full,-6.625,0.0,-6.625,False,True
codecontests_java_1,clean_full,0.0,-6.875,6.875,True,False
codecontests_java_1,clean_with_corrupt_instruction,-12.6875,0.0,-12.6875,False,True
codecontests_java_1,corrupt_with_clean_instruction,0.0,-6.875,6.875,True,False
codecontests_java_1,corrupt_full,-12.6875,0.0,-12.6875,False,True
mbpp_python_1,clean_full,0.0,-2.171875,2.171875,True,False
mbpp_python_1,clean_with_corrupt_instruction,-3.1875,0.0,-3.1875,False,True
mbpp_python_1,corrupt_with_clean_instruction,0.0,-2.171875,2.171875,True,False
mbpp_python_1,corrupt_full,-3.1875,0.0,-3.1875,False,True
codecontests_java_2,clean_full,0.0,-4.4375,4.4375,True,False
codecontests_java_2,clean_with_corrupt_instruction,-6.75,0.0,-6.75,False,True
codecontests_java_2,corrupt_with_clean_instruction,0.0,-4.4375,4.4375,True,False
codecontests_java_2,corrupt_full,-6.75,0.0,-6.75,False,True
codecontests_cpp_3,clean_full,0.0,-3.03125,3.03125,True,False
codecontests_cpp_3,clean_with_corrupt_instruction,-3.8125,0.0,-3.8125,False,True
codecontests_cpp_3,corrupt_with_clean_instruction,0.0,-3.03125,3.03125,True,False
codecontests_cpp_3,corrupt_full,-3.8125,0.0,-3.8125,False,True
codecontests_java_3,clean_full,0.0,-6.5625,6.5625,True,False
codecontests_java_3,clean_with_corrupt_instruction,-9.25,0.0,-9.25,False,True
codecontests_java_3,corrupt_with_clean_instruction,0.0,-6.5625,6.5625,True,False
codecontests_java_3,corrupt_full,-9.25,0.0,-9.25,False,True
apps_python_4,clean_full,0.0,-4.875,4.875,True,False
apps_python_4,clean_with_corrupt_instruction,-4.15625,0.0,-4.15625,False,True
apps_python_4,corrupt_with_clean_instruction,0.0,-4.875,4.875,True,False
apps_python_4,corrupt_full,-4.15625,0.0,-4.15625,False,True
codecontests_cpp_4,clean_full,0.0,-1.703125,1.703125,True,False
codecontests_cpp_4,clean_with_corrupt_instruction,-4.28125,0.0,-4.28125,False,True
codecontests_cpp_4,corrupt_with_clean_instruction,0.0,-1.703125,1.703125,True,False
codecontests_cpp_4,corrupt_full,-4.28125,0.0,-4.28125,False,True
codecontests_java_4,clean_full,0.0,-5.65625,5.65625,True,False
codecontests_java_4,clean_with_corrupt_instruction,-11.3125,0.0,-11.3125,False,True
codecontests_java_4,corrupt_with_clean_instruction,0.0,-5.65625,5.65625,True,False
codecontests_java_4,corrupt_full,-11.3125,0.0,-11.3125,False,True
mbpp_python_4,clean_full,0.0,-2.03125,2.03125,True,False
mbpp_python_4,clean_with_corrupt_instruction,-4.84375,0.0,-4.84375,False,True
mbpp_python_4,corrupt_with_clean_instruction,0.0,-2.03125,2.03125,True,False
