sample_id,chain_key,edge,base_variant,direction,source_ratio,blocked_ratio,mediated_ratio
apps_python_1,query_chain,L2H14->MLP11,corrupt_full,tool,0.3031674208144796,0.3665158371040724,-0.06334841628959276
apps_python_1,query_chain,MLP11->MLP16,corrupt_full,tool,0.3665158371040724,0.9473981900452488,-0.5808823529411764
apps_python_1,query_chain,MLP16->L24H6,corrupt_full,tool,0.9680429864253394,0.9829609728506787,-0.014917986425339369
apps_python_1,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.08031674208144797,0.07239819004524888,0.007918552036199095
apps_python_1,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,0.9785067873303167,1.1787330316742082,-0.20022624434389147
apps_python_1,schema_chain,L21H12->MLP27,clean_no_protocol,tool,2.009049773755656,2.81447963800905,-0.8054298642533939
apps_python_1,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.11827956989247312,0.7688172043010753,-0.6505376344086021
apps_python_1,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.7661290322580645,0.9348118279569892,-0.16868279569892475
codecontests_cpp_1,query_chain,L2H14->MLP11,corrupt_full,tool,0.0047169811320754715,-0.09433962264150944,0.09905660377358491
codecontests_cpp_1,query_chain,MLP11->MLP16,corrupt_full,tool,-0.16981132075471697,0.6650943396226415,-0.8349056603773585
codecontests_cpp_1,query_chain,MLP16->L24H6,corrupt_full,tool,0.7794811320754716,0.9074292452830188,-0.12794811320754718
codecontests_cpp_1,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.33903301886792453,0.3508991745283019,-0.011866155660377353
codecontests_cpp_1,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.0268278301886793,1.0613760318396226,-0.0345482016509433
codecontests_cpp_1,schema_chain,L21H12->MLP27,clean_no_protocol,tool,1.721698113207547,2.126179245283019,-0.40448113207547176
codecontests_cpp_1,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.10606060606060606,0.3661616161616162,-0.2601010101010101
codecontests_cpp_1,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.23232323232323232,0.43434343434343436,-0.20202020202020204
codecontests_java_1,query_chain,L2H14->MLP11,corrupt_full,tool,0.1330049261083744,0.5246305418719212,-0.39162561576354676
codecontests_java_1,query_chain,MLP11->MLP16,corrupt_full,tool,0.5024630541871922,0.6982758620689655,-0.19581280788177335
codecontests_java_1,query_chain,MLP16->L24H6,corrupt_full,tool,0.5665024630541872,0.8608374384236454,-0.2943349753694582
codecontests_java_1,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.7781711822660099,0.8038023399014779,-0.02563115763546797
codecontests_java_1,schema_chain,L21H12->MLP27,clean_schema_mismatch,tool,1.0224753694581281,1.0530999846059113,-0.03062461514778314
codecontests_java_1,schema_chain,L21H12->MLP27,clean_no_protocol,tool,0.6865763546798029,0.8005214747536946,-0.11394512007389168
codecontests_java_1,no_tool_chain,L16H4->MLP17,clean_full,no_tool,0.32272727272727275,0.7068181818181818,-0.38409090909090904
codecontests_java_1,no_tool_chain,MLP17->L23H6,clean_full,no_tool,0.4636363636363636,0.7352272727272727,-0.2715909090909091
mbpp_python_1,query_chain,L2H14->MLP11,corrupt_full,tool,-0.09803921568627451,0.24019607843137256,-0.3382352941176471
mbpp_python_1,query_chain,MLP11->MLP16,corrupt_full,tool,0.24019607843137256,0.6691176470588235,-0.4289215686274509
mbpp_python_1,query_chain,MLP16->L24H6,corrupt_full,tool,0.5833333333333334,0.7181372549019608,-0.13480392156862742
mbpp_python_1,schema_chain,L21H12->MLP27,clean_no_schema,tool,0.02217371323529412,-0.0044424019607843136,0.026616115196078434
