sample_id,variant,semantic,frame,tool_score,no_tool_score,decision_score,tool_top1,no_tool_top1,l2h14_lead_density,l2h14_file_density,l2h14_function_density,l2h14_tail_density
apps_python_1,original_clean,tool,original,0.0,-2.90625,2.90625,True,False,0.008519202470779419,0.00828625075519085,0.0027497350238263607,0.005413515027612448
apps_python_1,original_corrupt,no_tool,original,-3.453125,0.0,-3.453125,False,True,0.02033098228275776,0.0075316340662539005,0.0027444285806268454,0.005344053264707327
apps_python_1,tool_out,tool,out,-0.0081787109375,-3.46875,3.4605712890625,True,False,0.029366835951805115,0.009748097509145737,0.007622626144438982,0.00675656134262681
apps_python_1,no_tool_out,no_tool,out,-0.78515625,-0.390625,-0.39453125,False,True,0.01492637861520052,0.009907284751534462,0.00440558698028326,0.006378623656928539
apps_python_1,tool_manually,tool,manually,-0.212890625,-1.078125,0.865234375,True,False,0.011450035497546196,0.007764279842376709,0.0025925585068762302,0.005607173778116703
apps_python_1,no_tool_manually,no_tool,manually,-2.34375,-0.043701171875,-2.300048828125,False,True,0.012970379553735256,0.007244757376611233,0.0023264819756150246,0.0057177459821105
apps_python_1,tool_properly,tool,properly,-0.0038604736328125,-2.59375,2.5898895263671875,True,False,0.011103497818112373,0.007863637059926987,0.002491867169737816,0.0048975287936627865
apps_python_1,no_tool_properly,no_tool,properly,-0.8125,-0.359375,-0.453125,False,True,0.009061804041266441,0.007497965358197689,0.0026548062451183796,0.005210415460169315
codecontests_cpp_1,original_clean,tool,original,0.0,-6.1875,6.1875,True,False,0.040179550647735596,0.012098581530153751,0.0096069211140275,0.0073403785936534405
codecontests_cpp_1,original_corrupt,no_tool,original,-6.625,0.0,-6.625,False,True,0.01933450438082218,0.011745445430278778,0.005548091605305672,0.00761537067592144
codecontests_cpp_1,tool_out,tool,out,0.0,-6.1875,6.1875,True,False,0.040179550647735596,0.012098581530153751,0.0096069211140275,0.0073403785936534405
codecontests_cpp_1,no_tool_out,no_tool,out,-6.625,0.0,-6.625,False,True,0.01933450438082218,0.011745445430278778,0.005548091605305672,0.00761537067592144
codecontests_cpp_1,tool_manually,tool,manually,-0.0361328125,-3.1875,3.1513671875,True,False,0.017120778560638428,0.010021280497312546,0.0030830686446279287,0.006415659096091986
codecontests_cpp_1,no_tool_manually,no_tool,manually,-4.3125,-0.03515625,-4.27734375,False,True,0.01785167306661606,0.01037484873086214,0.002594944555312395,0.006542337127029896
codecontests_cpp_1,tool_properly,tool,properly,-0.00732421875,-4.34375,4.33642578125,True,False,0.015346458181738853,0.011246796697378159,0.002932884730398655,0.005262944381684065
codecontests_cpp_1,no_tool_properly,no_tool,properly,-4.25,-0.0478515625,-4.2021484375,False,True,0.013196347281336784,0.011108496226370335,0.0030645106453448534,0.005836856551468372
codecontests_java_1,original_clean,tool,original,0.0,-6.875,6.875,True,False,0.007577151991426945,0.003974947612732649,0.00473881047219038,0.007383875083178282
codecontests_java_1,original_corrupt,no_tool,original,-12.6875,0.0,-12.6875,False,True,0.08137259632349014,0.0034364634193480015,0.004474107641726732,0.007174731697887182
codecontests_java_1,tool_out,tool,out,-0.0281982421875,-3.625,3.5968017578125,True,False,0.03367557004094124,0.003912916872650385,0.010790549218654633,0.007985219359397888
codecontests_java_1,no_tool_out,no_tool,out,-10.5625,-0.043701171875,-10.518798828125,False,True,0.016883017495274544,0.0037463107146322727,0.005993350874632597,0.008177146315574646
codecontests_java_1,tool_manually,tool,manually,-0.9140625,-0.5703125,-0.34375,False,True,0.014326327480375767,0.00300034461542964,0.0034332084469497204,0.006858508568257093
codecontests_java_1,no_tool_manually,no_tool,manually,-10.4375,-0.030029296875,-10.407470703125,False,True,0.01576029509305954,0.0027331262826919556,0.002912139520049095,0.006942758336663246
codecontests_java_1,tool_properly,tool,properly,-0.6640625,-0.8359375,0.171875,True,False,0.013027070090174675,0.002937816549092531,0.0030668945983052254,0.005912641063332558
