blocked_target,n_samples,tool_mediated_median,route_mediated_median,route_mediated_ci_lo,route_mediated_ci_hi,module_local_mean_mediated_median,target_local_mediated_median,target_local_mediated_ci_lo,target_local_mediated_ci_hi,MLP11_local_mediated_median
MLP11,1722,0.04040449845818973,0.024721328943402895,0.020291633329111897,0.030679803551415127,0.0827757764196455,0.19720766082652233,0.1933133274866619,0.19965783278749327,0.19720766082652233
MLP16,1722,0.036589447512491324,0.022916353939228525,0.019598738029679194,0.027800552848575712,0.017274413236392137,0.053151608645187975,0.05136724781599611,0.054996927726482174,0.0
MLP19,1722,0.0,5.007841775145697e-06,-0.0029147907838983043,0.0002656208087446349,0.009204059483335178,0.027612178450005534,0.02535983845263785,0.0296903392897507,0.0
