condition,blocked_target,n_samples,tool_ratio_median,route_rescue_median,module_local_mean_rescue_median,tool_top1_success_rate,MLP11_local_rescue_median,MLP16_local_rescue_median,MLP19_local_rescue_median
source_only,,1722,0.04842942901019126,0.029648937128445324,0.09468467364753244,0.0,0.19720766082652233,0.053151608645187975,0.027612178450005534
block_MLP11,MLP11,1722,0.001953125,0.0020992307928043887,0.011454087696612582,0.0,0.0,0.021373601780035147,0.012949840624437752
block_MLP16,MLP16,1722,0.0,0.0010167091081589887,0.07721580633262626,0.0,0.19720766082652233,0.0,0.029579872077933028
block_MLP19,MLP19,1722,0.047109423718865784,0.02904272951452575,0.08497221443504155,0.0,0.19720766082652233,0.053151608645187975,0.0
