condition,n_samples,tool_ratio_median,route_rescue_median,module_local_mean_rescue_median,tool_top1_success_rate,MLP11_local_rescue_median,MLP16_local_rescue_median,MLP19_local_rescue_median
L2H14_only,1722,0.0415587219343696,0.025105660182362773,0.011699819548751954,0.0,0.04246469895202899,-0.0053988866033734565,-0.0008316339152465076
L11H5_only,1722,0.04842942901019126,0.029648937128445324,0.09468467364753244,0.0,0.19720766082652233,0.053151608645187975,0.027612178450005534
L2H14_plus_L11H5,1722,0.09352700151926707,0.05944877460661374,0.10876074202441716,0.0,0.2482429647213249,0.0501804845497764,0.026160148309248087
