head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L2H14,2,contrast,1223,0.011101030744612217,0.01675235666334629,0.005651325918734074,0.014613013327421006,0.020695424963661505
L2H14,2,prefix_16,1223,0.14020457863807678,0.13110356032848358,-0.0091010183095932,0.13914668233494046,0.132096329236362
L2H14,2,recent_32,1223,0.13559062778949738,0.12413550913333893,-0.011455118656158447,0.12550631744858678,0.11798456291122117
L2H14,2,tool_call_tags,1223,0.0032644453458487988,0.0031105452217161655,-0.0001539001241326332,0.003294953337557559,0.0031596292992513123
L2H14,2,tools_block,1223,0.14624947309494019,0.1381416916847229,-0.008107781410217285,0.14606072608676973,0.1404780173462527
L2H14,2,user_block,1223,0.30841678380966187,0.35471785068511963,0.046301066875457764,0.31574739558425774,0.34761092007062716
L15H5,15,contrast,1223,0.0019068954279646277,0.0021689252462238073,0.0002620298182591796,0.0027285114298771667,0.002481159764425395
L15H5,15,prefix_16,1223,0.20138958096504211,0.20522701740264893,0.0038374364376068115,0.20093570916455783,0.20991476725722957
L15H5,15,recent_32,1223,0.3976820409297943,0.39817100763320923,0.000488966703414917,0.39807946705857167,0.39570095228642005
L15H5,15,tool_call_tags,1223,0.00265508983284235,0.0020792207214981318,-0.0005758691113442183,0.0027592087713567475,0.002179173165734306
L15H5,15,tools_block,1223,0.04180063307285309,0.03192512318491936,-0.009875509887933731,0.04256582378926866,0.03259251110761359
L15H5,15,user_block,1223,0.27878260612487793,0.3041570782661438,0.02537447214126587,0.2801938986836743,0.30539219711320087
L16H13,16,contrast,1223,0.005334590096026659,0.006048962008208036,0.0007143719121813774,0.0074166494515135835,0.007813249697627906
L16H13,16,prefix_16,1223,0.08287737518548965,0.0750851109623909,-0.007792264223098755,0.08443874902627259,0.07940319713238606
L16H13,16,recent_32,1223,0.2423774003982544,0.26540201902389526,0.02302461862564087,0.24366845681544513,0.26564055480190896
