dataset_name,language,n_samples,node_jaccard_median,node_jaccard_mean
apps,python,102,0.5238095238095238,0.5230753742451144
codecontests,cpp,402,0.5238095238095238,0.5547675045511378
codecontests,java,584,0.45454545454545453,0.4796038211723688
humaneval,python,40,0.5238095238095238,0.5068904164739405
mbpp,python,61,0.5238095238095238,0.5119405503109596
