variant,n_samples,tool_endpoint_score_median,no_tool_endpoint_score_median,tool_top1_rate,boundary_flip_rate
clean_full,1223,0.0,-3.203125,1.0,1.0
clean_no_protocol,1223,-13.0,-0.419921875,0.0,0.0
clean_no_schema,1223,-3.109375,-0.1953125,0.09811937857726902,0.11937857726901063
clean_schema_mismatch,1223,-5.0625,-0.177734375,0.04987735077677841,0.05478331970564186
corrupt_full,1223,-4.59375,0.0,0.0,0.0
