sample_id,sample_rank,q_index,gap,orig_suff_ratio,orig_nec_ratio,refined_suff_ratio,refined_nec_ratio,k_local,n_refined_nodes,n_orig_nodes
apps_python_1,1,,6.625,1.0188679245283019,1.0,0.9811320754716981,0.9811320754716981,0,10,16
codecontests_cpp_1,2,,11.5,0.8913043478260869,0.8695652173913043,0.9021739130434783,0.8695652173913043,0,10,16
codecontests_java_1,3,,19.0,0.9736842105263158,0.9868421052631579,0.9671052631578947,0.9703947368421053,0,10,16
mbpp_python_1,4,,5.875,1.0,0.9787234042553191,0.9574468085106383,1.0,2,12,16
codecontests_java_2,5,,12.625,0.9702970297029703,0.900990099009901,0.9702970297029703,0.9108910891089109,2,12,16
codecontests_cpp_3,6,,5.875,1.0,0.9574468085106383,0.9574468085106383,0.9574468085106383,0,10,16
codecontests_java_3,7,,15.625,0.976,0.944,0.992,1.0,0,10,16
apps_python_4,8,,9.625,1.025974025974026,1.0389610389610389,1.077922077922078,1.077922077922078,3,13,16
codecontests_cpp_4,9,,8.125,0.9692307692307692,0.9846153846153847,1.0,1.0153846153846153,0,10,16
codecontests_java_4,10,,18.75,0.9666666666666667,0.9433333333333334,0.9733333333333334,0.9266666666666666,0,10,16
mbpp_python_4,11,,7.125,1.1228070175438596,1.105263157894737,1.105263157894737,1.087719298245614,3,13,16
apps_python_5,12,,7.0,1.0178571428571428,1.0178571428571428,0.9107142857142857,0.9285714285714286,0,10,16
codecontests_cpp_5,13,,7.375,0.9830508474576272,1.0,0.9491525423728814,0.9830508474576272,0,10,16
codecontests_java_5,14,,12.8125,1.1365853658536584,1.1804878048780487,1.0390243902439025,0.9951219512195122,0,10,16
codecontests_cpp_6,15,,7.25,1.0,1.0344827586206897,0.9655172413793104,0.9827586206896551,0,10,16
codecontests_java_6,16,,13.4375,1.0,0.986046511627907,0.9906976744186047,0.9674418604651163,0,10,16
codecontests_java_7,17,,9.5,0.9605263157894737,0.9868421052631579,0.9736842105263158,0.9868421052631579,0,10,16
apps_python_8,18,,6.0,1.0,1.0625,0.9166666666666666,0.9791666666666666,0,10,16
apps_python_9,19,,7.5,1.0166666666666666,1.0166666666666666,0.9833333333333333,1.0166666666666666,0,10,16
