sample_id,group,n_nodes,promote_suff_ratio,suppress_suff_ratio,promote_tool_top1,suppress_no_tool_top1,promote_minus_ratio,suppress_minus_ratio,promote_nec_drop,suppress_nec_drop,promote_nec_top1_drop,suppress_nec_top1_drop
apps_python_1,full_signed_circuit,24,0.9999754202311935,0.9985719086021505,True,True,nan,nan,0.0,0.0,0.0,0.0
apps_python_1,symmetric_backbone,8,0.9948741515837104,0.9943716397849462,True,True,0.9990941388574661,0.9929015456989247,0.0008812813737273384,-0.005670362903225756,0.0,0.0
apps_python_1,tool_bias_backbone,4,0.9394796380090498,0.7190860215053764,True,False,0.9988157522624435,0.9995143439180108,0.00115966796875,0.0009424353158602461,0.0,0.0
apps_python_1,no_tool_bias_backbone,4,0.9893240950226244,0.8891129032258065,True,True,0.9980026866515838,0.9988449260752689,0.001972733579609698,0.00027301747311836433,0.0,0.0
apps_python_1,tool_tail,4,0.8823529411764706,0.5591397849462365,True,False,0.9999171468467195,0.9988921790994624,5.827338447395025e-05,0.00032027049731186974,0.0,0.0
apps_python_1,no_tool_tail,4,0.5203619909502263,0.3521505376344086,False,False,0.9997127757352942,0.9994329637096774,0.00026264449589930017,0.0008610551075268758,0.0,0.0
codecontests_cpp_1,full_signed_circuit,24,0.9999568147479363,0.9968631628787878,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_cpp_1,symmetric_backbone,8,0.9986364976415094,0.9871369949494949,True,True,0.9996061505011793,0.9962910353535354,0.00035066424675700425,-0.000572127525252486,0.0,0.0
codecontests_cpp_1,tool_bias_backbone,4,0.9873968160377359,0.648989898989899,True,False,0.9998900215580778,0.9948311237373737,6.679318985847171e-05,-0.0020320391414141437,0.0,0.0
codecontests_cpp_1,no_tool_bias_backbone,4,0.9295400943396226,0.5227272727272727,True,False,0.9998572007665094,0.9930555555555556,9.96139814268826e-05,-0.003807607323232265,0.0,0.0
codecontests_cpp_1,tool_tail,4,0.8455188679245284,0.23232323232323232,False,False,0.9999709219302771,0.9970801767676768,-1.4107182340850066e-05,0.00021701388888895057,0.0,0.0
codecontests_cpp_1,no_tool_tail,4,0.4386792452830189,0.19696969696969696,False,False,0.9999719295861587,0.9960740214646465,-1.5114838222363147e-05,-0.0007891414141413255,0.0,0.0
codecontests_java_1,full_signed_circuit,24,0.9999950390143935,0.9989124644886364,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_java_1,symmetric_backbone,8,0.999384236453202,0.9779829545454546,True,True,0.9998791323506774,0.9979048295454546,0.00011590666371608105,-0.00100763494318179,0.0,0.0
codecontests_java_1,tool_bias_backbone,4,0.9968249692118226,0.9724431818181818,True,True,0.999986094207012,0.9977982954545455,8.944807381450204e-06,-0.001114169034090895,0.0,0.0
codecontests_java_1,no_tool_bias_backbone,4,0.9568965517241379,0.9372159090909091,True,True,0.9999777507312192,0.9966264204545454,1.7288283174266006e-05,-0.0022860440340909394,0.0,0.0
codecontests_java_1,tool_tail,4,0.7598522167487685,0.3,False,False,0.9999884243669181,0.9930042613636364,6.614647475311486e-06,-0.005908203124999956,0.0,0.0
codecontests_java_1,no_tool_tail,4,0.46798029556650245,0.32727272727272727,False,False,0.9999938363512161,0.998233309659091,1.2026631773798258e-06,-0.000679154829545392,0.0,0.0
mbpp_python_1,full_signed_circuit,24,0.9990042892156863,0.9977799010791367,True,True,nan,nan,0.0,0.0,0.0,0.0
mbpp_python_1,symmetric_backbone,8,0.9866727941176471,0.9972319019784173,True,True,0.9974149816176471,0.9989953349820144,0.0015893075980392135,0.001215433902877705,0.0,0.0
mbpp_python_1,tool_bias_backbone,4,0.8308823529411765,0.885341726618705,False,True,0.9990473728553921,0.9990234375,-4.308363970584317e-05,0.0012435364208632782,0.0,0.0
mbpp_python_1,no_tool_bias_backbone,4,0.9353553921568627,0.9462679856115108,True,True,0.9995188993566176,0.9992798729766187,-0.0005146101409313486,0.0014999718974819665,0.0,0.0
mbpp_python_1,tool_tail,4,0.42892156862745096,0.3273381294964029,False,False,0.9987888710171569,0.9964309802158273,0.0002154181985294379,-0.0013489208633093996,0.0,0.0
mbpp_python_1,no_tool_tail,4,0.8486519607843137,0.8723021582733813,False,True,0.9989037607230392,0.9974988758992805,0.00010052849264707842,-0.0002810251798561758,0.0,0.0
codecontests_java_2,full_signed_circuit,24,0.9997897677951388,0.9979368397887324,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_java_2,symmetric_backbone,8,0.99755859375,0.985475352112676,True,True,0.9994212962962963,0.9948283450704225,0.0003684714988425597,-0.0031084947183098732,0.0,0.0
codecontests_java_2,tool_bias_backbone,4,0.9924045138888888,0.9295774647887324,True,True,0.9995817961516203,0.9970290492957746,0.00020797164351848973,-0.0009077904929577496,0.0,0.0
codecontests_java_2,no_tool_bias_backbone,4,0.8402777777777778,0.7183098591549296,False,False,0.9999140986689815,0.9948283450704225,-0.00012433087384267072,-0.0031084947183098732,0.0,0.0
codecontests_java_2,tool_tail,4,0.7534722222222222,0.3028169014084507,False,False,0.9997637713396991,0.9960112235915493,2.5996455439769584e-05,-0.001925616197183122,0.0,0.0
codecontests_java_2,no_tool_tail,4,0.37962962962962965,0.24295774647887325,False,False,0.9997795952690972,0.9973591549295775,1.017252604162966e-05,-0.0005776848591548811,0.0,0.0
codecontests_cpp_3,full_signed_circuit,24,0.9998669233478483,0.9951675257731959,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_cpp_3,symmetric_backbone,8,0.9966700819672131,0.995227931701031,True,True,0.9986792392418032,0.9785760309278351,0.0011876841060450838,-0.01659149484536082,0.0,0.0
codecontests_cpp_3,tool_bias_backbone,4,0.9526127049180327,0.8505154639175257,True,True,0.9997318455430327,0.994482925257732,0.0001350778048155865,-0.000684600515463929,0.0,0.0
codecontests_cpp_3,no_tool_bias_backbone,4,0.9042008196721312,0.7280927835051546,True,False,0.9993316150102459,0.9950265786082474,0.0005353083376024026,-0.00014094716494850168,0.0,0.0
codecontests_cpp_3,tool_tail,4,0.7909836065573771,0.46649484536082475,False,False,0.9996978259477459,0.9972615979381443,0.0001690974001024026,0.0020940721649483907,0.0,0.0
codecontests_cpp_3,no_tool_tail,4,0.6475409836065574,0.5489690721649485,False,False,0.9997318455430327,0.9967582152061856,0.0001350778048155865,0.0015906894329896781,0.0,0.0
codecontests_java_3,full_signed_circuit,24,0.9999965461524757,0.9970982142857143,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_java_3,symmetric_backbone,8,0.9992774757179054,0.9705357142857143,True,True,0.9999298920502534,0.996968005952381,6.665410222228552e-05,-0.00013020833333332593,0.0,0.0
codecontests_java_3,tool_bias_backbone,4,0.9976113809121622,0.856547619047619,True,False,0.9999911849563187,0.9960007440476191,5.361196157016579e-06,-0.001097470238095255,0.0,0.0
codecontests_java_3,no_tool_bias_backbone,4,0.9921347128378378,0.8541666666666666,True,False,0.9999774211161846,0.9980840773809524,1.912503629108997e-05,0.000985863095238071,0.0,0.0
codecontests_java_3,tool_tail,4,0.8353040540540541,0.22380952380952382,False,False,0.9999925768053209,0.9880208333333333,3.9693471547419534e-06,-0.009077380952380976,0.0,0.0
codecontests_java_3,no_tool_tail,4,0.5726351351351351,0.2523809523809524,False,False,0.9999944326039907,0.9970052083333333,2.1135484850054453e-06,-9.300595238104226e-05,0.0,0.0
apps_python_4,full_signed_circuit,24,0.9999589274700423,0.9973081931089743,True,True,nan,nan,0.0,0.0,0.0,0.0
apps_python_4,symmetric_backbone,8,0.9974741541353384,0.9746594551282052,True,True,0.9984800869360902,0.9802684294871795,0.001478840533952086,-0.017039763621794823,0.0,0.0
apps_python_4,tool_bias_backbone,4,0.9581766917293233,0.42628205128205127,True,False,0.9998513128524437,0.9947165464743589,0.00010761461759867252,-0.0025916466346154188,0.0,0.0
apps_python_4,no_tool_bias_backbone,4,0.8468045112781954,0.34935897435897434,True,False,0.9993722098214286,0.9925380608974359,0.0005867176486137327,-0.004770132211538436,0.0,0.0
apps_python_4,tool_tail,4,0.6560150375939849,0.14743589743589744,False,False,0.9998614088933271,0.9942407852564102,9.751857671524977e-05,-0.003067407852564097,0.0,0.0
apps_python_4,no_tool_tail,4,0.6015037593984962,0.24358974358974358,False,False,0.999944471775141,0.9963691907051282,1.4455694901327476e-05,-0.0009390024038461453,0.0,0.0
codecontests_cpp_4,full_signed_circuit,24,0.9985030793795621,0.9978228927752294,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_cpp_4,symmetric_backbone,8,0.9827782846715328,0.9860235091743119,True,True,0.9919023722627737,0.9912557339449541,0.006600707116788396,-0.006567158830275255,0.0,0.0
codecontests_cpp_4,tool_bias_backbone,4,0.9032846715328468,0.9584288990825688,False,True,0.994867700729927,0.9918649655963303,0.003635378649635035,-0.005957927178899092,0.0,0.0
codecontests_cpp_4,no_tool_bias_backbone,4,0.7043795620437956,0.8520642201834863,False,True,0.9974338503649635,0.9984142058486238,0.001069229014598605,0.0005913130733944394,0.0,0.0
codecontests_cpp_4,tool_tail,4,0.6551094890510949,0.7431192660550459,False,True,0.9992586678832117,0.9933342889908257,-0.0007555885036496512,-0.004488603784403744,0.0,0.0
codecontests_cpp_4,no_tool_tail,4,0.3905109489051095,0.536697247706422,False,False,0.9984175410583942,0.9988532110091743,8.55383211678662e-05,0.001030318233944949,0.0,0.0
codecontests_java_4,full_signed_circuit,24,0.9999973550027247,0.9983598066298343,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_java_4,symmetric_backbone,8,0.9979389675414365,0.9927486187845304,True,True,0.9999129996115331,0.9975073377071824,8.435539119155955e-05,-0.0008524689226518944,0.0,0.0
codecontests_java_4,tool_bias_backbone,4,0.9943024861878453,0.8819060773480663,True,True,0.9999728545299551,0.9981655732044199,2.4500472769584114e-05,-0.0001942334254143585,0.0,0.0
codecontests_java_4,no_tool_bias_backbone,4,0.9261049723756906,0.6961325966850829,False,False,0.9999881133190176,0.9933960635359116,9.241683707084114e-06,-0.004963743093922668,0.0,0.0
codecontests_java_4,tool_tail,4,0.7624309392265194,0.281767955801105,False,False,0.9999898415244086,0.9975828729281768,7.5134783160679675e-06,-0.000776933701657434,0.0,0.0
codecontests_java_4,no_tool_tail,4,0.3342541436464088,0.17679558011049723,False,False,0.9999948153838268,0.9986241799033149,2.539618897845486e-06,0.00026437327348061146,0.0,0.0
mbpp_python_4,full_signed_circuit,24,0.9994424143145161,0.9970703125,True,True,nan,nan,0.0,0.0,0.0,0.0
mbpp_python_4,symmetric_backbone,8,0.9915322580645162,0.9703125,True,True,0.9785282258064516,0.9904447115384616,0.02091418850806448,-0.006625600961538414,0.0,0.0
mbpp_python_4,tool_bias_backbone,4,0.8233870967741935,0.6,False,True,0.9984501008064516,0.9954326923076923,0.0009923135080645018,-0.0016376201923077316,0.0,0.0
mbpp_python_4,no_tool_bias_backbone,4,0.5870967741935483,0.36538461538461536,False,False,0.9935735887096774,0.9941706730769231,0.005868825604838701,-0.0028996394230769162,0.0,0.0
mbpp_python_4,tool_tail,4,0.41935483870967744,-0.1076923076923077,False,False,0.998695816532258,0.993329326923077,0.0007465977822580516,-0.0037409855769230393,0.0,0.0
mbpp_python_4,no_tool_tail,4,0.5419354838709678,0.49230769230769234,False,False,0.9992943548387097,0.9940504807692307,0.00014805947580642798,-0.0030198317307692513,0.0,0.0
apps_python_5,full_signed_circuit,24,1.0001599049707601,0.9992857142857143,True,True,nan,nan,0.0,0.0,0.0,0.0
apps_python_5,symmetric_backbone,8,0.9798062865497076,0.997265625,False,True,0.9986293859649122,0.9902678571428571,0.0015305190058478857,-0.009017857142857189,0.0,0.0
apps_python_5,tool_bias_backbone,4,0.7997076023391813,0.8992857142857142,False,True,0.9920961257309941,0.9991462053571428,0.008063779239765978,-0.00013950892857150787,0.0,0.0
apps_python_5,no_tool_bias_backbone,4,0.7967836257309941,0.8464285714285714,False,True,0.9973501461988304,0.9998291015625,0.0028097587719296824,0.0005433872767857117,0.0,0.0
apps_python_5,tool_tail,4,0.6915204678362573,0.6228571428571429,False,True,0.9997087445175439,0.99578125,0.0004511604532162483,-0.0035044642857143815,0.0,0.0
apps_python_5,no_tool_tail,4,0.543859649122807,0.7785714285714286,False,True,0.9986293859649122,0.9983816964285714,0.0015305190058478857,-0.0009040178571428914,0.0,0.0
codecontests_cpp_5,full_signed_circuit,24,0.9994061444256757,0.9954399141630901,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_cpp_5,symmetric_backbone,8,0.9923458614864865,0.9939310622317596,True,True,0.9949060388513513,0.9955069742489271,0.004500105574324342,6.706008583701184e-05,0.0,0.0
codecontests_cpp_5,tool_bias_backbone,4,0.9783572635135135,0.933744635193133,True,True,0.9983569995777027,0.9953393240343348,0.001049144847972916,-0.00010059012875529572,0.0,0.0
codecontests_cpp_5,no_tool_bias_backbone,4,0.870777027027027,0.7886266094420601,True,False,0.9993731524493243,0.9941993025751072,3.2991976351315344e-05,-0.0012406115879828317,0.0,0.0
codecontests_cpp_5,tool_tail,4,0.6418918918918919,0.463519313304721,False,False,0.9990828230574325,0.9953393240343348,0.00032332136824320123,-0.00010059012875529572,0.0,0.0
codecontests_cpp_5,no_tool_tail,4,0.4594594594594595,0.30042918454935624,False,False,0.9994193412162162,0.9978373122317596,-1.3196790540570547e-05,0.002397398068669565,0.0,0.0
codecontests_java_5,full_signed_circuit,24,0.9994277954101562,0.9877829218106996,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_java_5,symmetric_backbone,8,0.9995994567871094,0.9498456790123457,True,True,0.9998655319213867,0.9821244855967078,-0.00043773651123046875,-0.005658436213991758,0.0,0.0
codecontests_java_5,tool_bias_backbone,4,0.9980316162109375,0.9192386831275721,True,True,0.9996261596679688,0.9840534979423868,-0.0001983642578125,-0.0037294238683127645,0.0,0.0
codecontests_java_5,no_tool_bias_backbone,4,0.89111328125,0.8611111111111112,True,True,0.9989089965820312,0.9875900205761317,0.000518798828125,-0.00019290123456794372,0.0,0.0
codecontests_java_5,tool_tail,4,0.728515625,0.22633744855967078,False,False,0.998931884765625,0.9722222222222222,0.00049591064453125,-0.015560699588477389,0.0,0.0
codecontests_java_5,no_tool_tail,4,0.560546875,0.32098765432098764,False,False,0.9993705749511719,0.9874614197530864,5.7220458984375e-05,-0.0003215020576131655,0.0,0.0
codecontests_cpp_6,full_signed_circuit,24,0.9997948179853723,0.9994467639048165,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_cpp_6,symmetric_backbone,8,0.990982380319149,0.9870269495412844,True,True,0.9993974401595744,0.9987546588302753,0.0003973778257978511,-0.000692105074541205,0.0,0.0
codecontests_cpp_6,tool_bias_backbone,4,0.9355053191489362,0.6972477064220184,True,False,0.9972780917553191,0.9953053325688074,0.002516726230053168,-0.004141431336009083,0.0,0.0
codecontests_cpp_6,no_tool_bias_backbone,4,0.918218085106383,0.6559633027522935,True,False,0.9982546542553191,0.9945885894495413,0.0015401637300531679,-0.004858174455275144,0.0,0.0
codecontests_cpp_6,tool_tail,4,0.6143617021276596,0.6009174311926605,False,False,0.9994182180851063,0.9988845685206422,0.00037659990026595036,-0.0005621953841742355,0.0,0.0
codecontests_cpp_6,no_tool_tail,4,0.6329787234042553,0.4243119266055046,False,False,0.9994415932513298,0.9997301014191514,0.0003532247340425343,0.00028333751433495813,0.0,0.0
codecontests_java_6,full_signed_circuit,24,0.9998731737012987,0.9967086226851852,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_java_6,symmetric_backbone,8,0.995307426948052,0.9809027777777778,True,True,0.9989410004058441,0.9949001736111112,0.0009321732954545858,-0.00180844907407407,0.0,0.0
codecontests_java_6,tool_bias_backbone,4,0.9808238636363636,0.9097222222222222,True,True,0.9998684177150974,0.9958948206018519,4.755986201310236e-06,-0.0008138020833333703,0.0,0.0
codecontests_java_6,no_tool_bias_backbone,4,0.75,0.9149305555555556,False,True,0.9998422597909903,0.9935980902777778,3.091391030840551e-05,-0.0031105324074074403,0.0,0.0
codecontests_java_6,tool_tail,4,0.5746753246753247,0.41435185185185186,False,False,0.9996575689935064,0.9891493055555556,0.0002156047077922496,-0.00755931712962965,0.0,0.0
codecontests_java_6,no_tool_tail,4,0.41233766233766234,0.5162037037037037,False,False,0.9999740402419846,0.9964373553240741,-0.0001008665406858622,-0.00027126736111116045,0.0,0.0
codecontests_java_7,full_signed_circuit,24,0.9997714173560049,0.9996520515501969,True,True,nan,nan,0.0,0.0,0.0,0.0
codecontests_java_7,symmetric_backbone,8,0.9981138939950981,0.9921259842519685,True,True,0.9989372702205882,0.9948941929133859,0.0008341471354167407,-0.0047578586368109965,0.0,0.0
codecontests_java_7,tool_bias_backbone,4,0.98828125,0.9635826771653543,True,True,0.9983628216911765,0.9994348240649606,0.001408595664828427,-0.0002172274852362266,0.0,0.0
codecontests_java_7,no_tool_bias_backbone,4,0.9203431372549019,0.780511811023622,True,False,0.999972474341299,1.000064879890502,-0.0002010569852940458,0.00041282834030520466,0.0,0.0
codecontests_java_7,tool_tail,4,0.7855392156862745,0.40551181102362205,False,False,0.9998845119102329,0.9998452494463582,-0.00011309455422792158,0.00019319789616134564,0.0,0.0
codecontests_java_7,no_tool_tail,4,0.38480392156862747,0.2992125984251969,False,False,0.9995643765318627,0.9988696481299213,0.00020704082414224612,-0.0007824034202755792,0.0,0.0
apps_python_8,full_signed_circuit,24,0.9999334161931818,0.997571243523316,True,True,nan,nan,0.0,0.0,0.0,0.0
apps_python_8,symmetric_backbone,8,0.9712918660287081,0.9729598445595855,True,True,0.9997628681967703,0.9873704663212435,0.00017054799641147422,-0.010200777202072575,0.0,0.0
apps_python_8,tool_bias_backbone,4,0.9554425837320574,0.8380829015544041,True,True,0.998981384569378,0.9948591321243523,0.0009520316238037507,-0.002712111398963768,0.0,0.0
