node,n_samples,clean_projection_median,corrupt_projection_median,projection_gap_median,sample_alignment_median
MLP11,8,-11.114648818969727,-15.441623210906982,3.912130355834961,0.6759063899517059
MLP16,8,-4.39254903793335,-20.5137300491333,15.915814399719238,0.6852779388427734
MLP19,8,-65.53221893310547,-116.40353393554688,52.34373474121094,0.738800048828125
