node,n_samples,clean_projection_median,corrupt_projection_median,projection_gap_median,sample_alignment_median
MLP11,1722,-11.022446632385254,-14.989167213439941,3.720461845397949,0.6706617772579193
MLP16,1722,-2.445243000984192,-15.379251956939697,12.42881828546524,0.6377061605453491
MLP19,1722,-55.37191390991211,-96.67048645019531,38.995662689208984,0.6860959529876709
