source,target,n_samples,promote_route_source_ratio_median,promote_route_source_ratio_mean,promote_route_blocked_ratio_median,promote_route_blocked_ratio_mean,promote_route_mediated_ratio_median,promote_route_mediated_ratio_mean,promote_target_source_ratio_median,promote_target_source_ratio_mean,promote_target_blocked_ratio_median,promote_target_blocked_ratio_mean,promote_target_mediated_ratio_median,promote_target_mediated_ratio_mean,erase_route_source_ratio_median,erase_route_source_ratio_mean,erase_route_blocked_ratio_median,erase_route_blocked_ratio_mean,erase_route_mediated_ratio_median,erase_route_mediated_ratio_mean,erase_target_source_ratio_median,erase_target_source_ratio_mean,erase_target_blocked_ratio_median,erase_target_blocked_ratio_mean,erase_target_mediated_ratio_median,erase_target_mediated_ratio_mean,redundancy_note,evidence_used,evidence_strength,conclusion_label
MLP11,MLP16,1722,0.2077926920994212,0.1722498915773342,0.048405684986481914,0.03471512807842786,0.15434484568579998,0.13753476349890634,0.14533113334888154,0.13929225348438815,0.0,0.0,0.14533113334888154,0.13929225348438815,0.061338284316080016,0.0548350592852812,0.005853337999254482,0.0022924328226686776,0.053022978580239105,0.05254262646261252,0.14991777323275085,0.14418465348693607,0.0,0.0,0.14991777323275085,0.14418465348693607,,source-only patch + target block + local route score mediation + final route mediation,strong,strong
MLP16,MLP19,1722,0.3231248417721519,0.3206904799119715,0.23039432044352742,0.22770908146735697,0.09463170917301134,0.09298139844461459,0.10496971697891427,0.09791045050001089,0.0,0.0,0.10496971697891427,0.09791045050001089,0.17784405636016049,0.1931991668216643,0.12203528320111315,0.13021402711869604,0.058903891033374484,0.06298513970296825,0.127882387213902,0.12259550602840907,0.0,0.0,0.127882387213902,0.12259550602840907,,source-only patch + target block + local route score mediation + final route mediation,strong,strong
MLP16,MLP17,1722,0.3231248417721519,0.3206904799119715,0.17737597739510208,0.16638684694373732,0.14815375698444344,0.15430363296823424,0.20899473706073818,0.2162685192733628,0.0,0.0,0.20899473706073818,0.2162685192733628,0.17784405636016049,0.1931991668216643,0.0896315042064123,0.0981175197085298,0.09359253681660677,0.09508164711313451,0.24498409969564106,0.24969354741989572,0.0,0.0,0.24498409969564106,0.24969354741989572,,source-only patch + target block + local route score mediation + final route mediation,strong,strong
MLP19,L20H5,1722,0.33465257514432734,0.32607899826883346,0.29185610873594836,0.28113615474122855,0.04405413879598662,0.04494284352760486,0.2600837133192437,0.2927449510456146,0.0,0.0,0.2600837133192437,0.2927449510456146,0.1563862187113353,0.16357035809646356,0.12265374868838785,0.12687633323948977,0.03481312637199597,0.03669402485697378,0.35601457617212096,0.37763679708494113,0.0,0.0,0.35601457617212096,0.37763679708494113,"single-edge weaker than tool_out_group, likely parallel redundancy",source-only patch + target block + local route score mediation + final route mediation,weak,weak
MLP19,L21H12,1722,0.33465257514432734,0.32607899826883346,0.28091505155308044,0.2792024251445165,0.057804279843753525,0.04687657312431694,0.1273438900439643,0.11194352453908163,0.0,0.0,0.1273438900439643,0.11194352453908163,0.1563862187113353,0.16357035809646356,0.12847821661457792,0.13459779642103525,0.02833788694436587,0.02897256167542827,0.17799870703778597,0.15211946889951466,0.0,0.0,0.17799870703778597,0.15211946889951466,"single-edge weaker than tool_out_group, likely parallel redundancy",source-only patch + target block + local route score mediation + final route mediation,weak,weak
MLP19,MLP27,1722,0.33465257514432734,0.32607899826883346,0.18989001251042537,0.18422241449664883,0.14540158325234856,0.14185658377218455,0.2794680572120061,0.2793678844365629,0.0,0.0,0.2794680572120061,0.2793678844365629,0.1563862187113353,0.16357035809646356,0.10100626394747766,0.10315498675921014,0.059142400135538495,0.060415371337253415,0.20617810532013991,0.20997956728706196,0.0,0.0,0.20617810532013991,0.20997956728706196,"single-edge weaker than tool_out_group, likely parallel redundancy",source-only patch + target block + local route score mediation + final route mediation,strong,weak
MLP19,L23H6,1722,0.33465257514432734,0.32607899826883346,0.28286242443868737,0.274933613925264,0.051797995464460275,0.05114538434356939,0.15533127386566098,0.1588016583351981,0.0,0.0,0.15533127386566098,0.1588016583351981,0.1563862187113353,0.16357035809646356,0.12191903670738288,0.1294867858588364,0.03321441270811997,0.034083572237627126,0.26698969249583016,0.2604700429515779,0.0,0.0,0.26698969249583016,0.2604700429515779,,source-only patch + target block + local route score mediation + final route mediation,weak,weak
