node,mode,n_samples,route_delta_median,boundary_flip_rate,tool_top1_rate,no_tool_top1_rate,MLP16_route_projection_delta_median,MLP19_route_projection_delta_median,L20H5_tool_projection_delta_median,L21H1_tool_projection_delta_median,L21H12_tool_projection_delta_median,L24H6_tool_projection_delta_median,MLP27_tool_projection_delta_median,L16H4_no_tool_projection_delta_median,MLP17_no_tool_projection_delta_median,L23H6_no_tool_projection_delta_median
MLP11,inject_clean_route_into_corrupt,1722,1.2911376953125,0.0,0.0029036004645760743,0.9936120789779327,1.8722872734069824,2.4224929809570312,0.3360919952392578,2.0272607803344727,3.4282588958740234,15.69207763671875,74.37638854980469,0.026992999017238617,-1.8622512817382812,-1.6606025695800781
MLP11,erase_route_from_clean,1722,-0.492034912109375,0.0005807200929152149,0.991869918699187,0.006387921022067364,-1.9083564281463623,-2.248842239379883,-0.4100780487060547,-3.124002456665039,-4.370841979980469,-3.0448760986328125,-53.893951416015625,-0.001874476671218872,1.8837108612060547,2.9916019439697266
MLP16,inject_clean_route_into_corrupt,1722,2.48193359375,0.022067363530778164,0.038908246225319396,0.9448315911730546,12.427255272865295,3.926971435546875,3.996511459350586,3.407075881958008,5.490489959716797,29.04296875,123.75136184692383,0.0,-4.035499572753906,-3.5735340118408203
MLP16,erase_route_from_clean,1722,-1.43011474609375,0.03542392566782811,0.9186991869918699,0.07781649245063879,-12.426882326602936,-5.1089630126953125,-5.253293991088867,-7.328695297241211,-7.368461608886719,-9.508514404296875,-110.92575073242188,0.0,4.694276809692383,7.054492950439453
MLP19,inject_clean_route_into_corrupt,1722,2.5284423828125,0.026713124274099883,0.036004645760743324,0.9576074332171893,0.0,38.9886589050293,3.993612289428711,6.797070503234863,3.7816591262817383,34.339805603027344,141.607177734375,0.0,0.0,-4.308528900146484
MLP19,erase_route_from_clean,1722,-1.2794189453125,0.023228803716608595,0.9419279907084785,0.05400696864111498,0.0,-38.98299789428711,-5.3667144775390625,-9.523761749267578,-5.733188629150391,-9.970916748046875,-112.73562622070312,0.0,0.0,7.321332931518555
