candidate,node,n_test_rows,test_auc,test_accuracy,min_clean_probability,max_corrupt_probability
append,MLP11,70,1.0,1.0,0.9999994039535522,0.0016699670813977718
append,MLP16,70,1.0,1.0,1.0,0.0037923490162938833
append,MLP19,70,1.0,1.0,1.0,0.001497197081334889
create,MLP11,62,1.0,0.9354838709677419,0.068844273686409,0.003739182371646166
create,MLP16,62,1.0,0.9838709677419355,0.29846420884132385,0.0006351734045892954
create,MLP19,62,1.0,0.9838709677419355,0.4874200224876404,0.001449856674298644
directly build,MLP11,70,1.0,1.0,0.991435706615448,0.010061412118375301
directly build,MLP16,70,1.0,1.0,0.9997243285179138,0.005472810938954353
directly build,MLP19,70,1.0,1.0,0.9984633922576904,0.03476512432098389
directly implement,MLP11,68,1.0,1.0,0.9900524020195007,0.010763420723378658
directly implement,MLP16,68,1.0,0.9705882352941176,0.14876452088356018,0.009321599267423153
directly implement,MLP19,68,1.0,1.0,0.7364715337753296,0.0032974195200949907
edit,MLP11,66,1.0,1.0,0.9999915361404419,0.003857396775856614
edit,MLP16,66,1.0,1.0,0.9999943971633911,0.0064575765281915665
edit,MLP19,66,1.0,1.0,0.9999794960021973,0.008699065074324608
finalize,MLP11,62,1.0,1.0,0.9999421834945679,0.018239589408040047
finalize,MLP16,62,1.0,1.0,0.9999983310699463,0.005427118390798569
finalize,MLP19,62,1.0,1.0,0.9999005794525146,0.006896642968058586
insert,MLP11,68,1.0,1.0,0.9993916749954224,0.04857328161597252
insert,MLP16,68,1.0,1.0,0.9999445676803589,0.03511958196759224
insert,MLP19,68,1.0,1.0,0.9999954700469971,0.009519495069980621
manually build,MLP11,66,1.0,1.0,0.9995890259742737,0.0028238841332495213
manually build,MLP16,66,1.0,1.0,0.998608410358429,0.025716813281178474
manually build,MLP19,66,1.0,1.0,0.9994021654129028,0.18157121539115906
paste,MLP11,68,1.0,1.0,0.9780176281929016,0.002886867383494973
paste,MLP16,68,1.0,1.0,0.9986949563026428,0.004724881146103144
paste,MLP19,68,1.0,1.0,0.9998300075531006,0.10654886066913605
prefill,MLP11,68,1.0,1.0,0.9936614036560059,0.04105145111680031
prefill,MLP16,68,1.0,1.0,0.9988821148872375,0.027870986610651016
prefill,MLP19,68,1.0,1.0,0.9834633469581604,0.0065973177552223206
prepare,MLP11,66,1.0,1.0,0.9038749933242798,0.0037950866390019655
prepare,MLP16,66,1.0,1.0,0.8531298041343689,0.038708340376615524
prepare,MLP19,66,1.0,1.0,0.9118397235870361,0.010794796980917454
properly add,MLP11,66,1.0,0.7121212121212122,0.00645464938133955,4.823544230703192e-08
properly add,MLP16,66,1.0,0.8333333333333334,0.0011003321269527078,4.316644890423049e-07
properly add,MLP19,66,1.0,0.9848484848484849,0.13599906861782074,1.425617574568605e-05
save,MLP11,68,1.0,1.0,0.9999997615814209,0.037830900400877
save,MLP16,68,1.0,1.0,1.0,0.00979763362556696
save,MLP19,68,1.0,1.0,1.0,0.001645688433200121
write,MLP11,64,1.0,0.9375,0.17952010035514832,0.03172467276453972
write,MLP16,64,1.0,1.0,0.8788763284683228,0.009048668667674065
write,MLP19,64,1.0,1.0,0.7691057324409485,0.0025672123301774263
write out,MLP11,66,1.0,1.0,0.9999901056289673,0.003102146554738283
write out,MLP16,66,1.0,1.0,0.9999995231628418,0.0028662001714110374
write out,MLP19,66,1.0,1.0,1.0,0.003688676515594125
