node,route_score_train_auc,route_score_test_auc,probe_train_auc,probe_test_auc,probe_train_accuracy,probe_test_accuracy,probe_final_loss,probe_direction_cosine
MLP11,0.9661335709877926,0.967710973048301,1.0,1.0,1.0,1.0,0.0016181496903300285,0.5101327896118164
MLP16,0.9960039552619492,0.9955702989144621,1.0,1.0,1.0,1.0,0.0013974435860291123,0.6083106994628906
MLP19,0.9946654775029434,0.9933735205882708,1.0,1.0,1.0,1.0,0.0010985403787344694,0.6472381949424744
