source,target_group,targets,n_samples,promote_route_mediated_ratio_median,promote_route_mediated_ratio_mean,erase_route_mediated_ratio_median,erase_route_mediated_ratio_mean
MLP19,tool_out_group,L20H5|L21H12|MLP27,1223,0.19506604889589904,0.18721967675794093,0.09102965679365335,0.096120608761288
MLP19,full_out_group,L20H5|L21H12|MLP27|L23H6,1223,0.21163582402234637,0.20596959195180053,0.10345948151359458,0.10805988511652741
