node,local_route_direction_definition,clean_score_median,corrupt_score_median,clean_positive_rate,corrupt_negative_rate,auc_clean_vs_corrupt,spearman_with_route_margin,inject_local_score_delta_median,erase_local_score_delta_median,inject_module_score_delta_median,erase_module_score_delta_median,inject_route_margin_delta_median,erase_route_margin_delta_median,patch_promote_route_margin_delta_median,patch_erase_route_margin_delta_median,inject_boundary_flip_rate,erase_boundary_flip_rate,strongest_downstream_node_under_inject,strongest_downstream_score_delta_under_inject
MLP11,d_n = unit(mu_clean - mu_corrupt); score = centered projection normalized so means map to +1/-1,1.036162341573532,-1.016404820937532,0.901880621422731,0.866721177432543,0.9661335709877926,0.7728248636321917,1.9335292506825155,-1.9334068409299932,0.7756981498446326,-0.7745759056428214,1.390380859375,-0.48004150390625,1.59130859375,-0.55322265625,0.0,0.001635322976287817,MLP16,0.28419326758307173
MLP16,d_n = unit(mu_clean - mu_corrupt); score = centered projection normalized so means map to +1/-1,0.9614814683899975,-0.99997088217872,0.9509403107113655,0.9795584627964022,0.9960039552619492,0.8549438938097667,1.899102693050793,-1.898594507393826,0.6921807136264506,-0.7082254938566203,2.482421875,-1.416015625,2.546875,-1.529296875,0.02044153720359771,0.035977105478331974,L20H5,0.46969628744736736
MLP19,d_n = unit(mu_clean - mu_corrupt); score = centered projection normalized so means map to +1/-1,0.9007457928377294,-1.0317127280444967,0.92886345053148,0.9795584627964022,0.9946654775029434,0.8645909430295127,1.814861781248244,-1.8152918466261703,0.6049539270827481,-0.6050972822087234,2.517578125,-1.2822265625,2.51123046875,-1.2867431640625,0.022076860179885527,0.022076860179885527,MLP27,0.4883681052000074
module_anchor_mean,"R_module = mean(r_MLP11, r_MLP16, r_MLP19)",1.0148037855735121,-1.0421451553786267,0.9362224039247752,0.9681112019623875,0.9946447518233584,0.8523478252728167,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,,nan
