family,n_samples,promote_source_ratio_median,promote_blocked_ratio_median,promote_mediated_ratio_median,suppress_source_ratio_median,suppress_blocked_ratio_median,suppress_mediated_ratio_median
symmetric_backbone->symmetric_backbone (no_tool_bias),1722,0.9941213922876249,0.0,0.9941213922876249,0.9859110192746752,0.0,0.9859110192746752
symmetric_backbone->symmetric_backbone (shared),1722,0.9941213922876249,0.0,0.9941213922876249,0.9859110192746752,0.0,0.9859110192746752
tool_bias_backbone->tool_bias_backbone (tool_bias),1722,0.9647403236977156,0.0,0.9647403236977156,0.8648441249400096,0.0,0.8648441249400096
no_tool_bias_backbone->no_tool_bias_backbone (no_tool_bias),1722,0.892266934714461,0.0,0.892266934714461,0.7993156015381798,0.0,0.7993156015381798
no_tool_bias_backbone->symmetric_backbone (no_tool_bias),1722,0.892266934714461,0.16441400304414003,0.7054314090626939,0.7993156015381798,0.1875,0.5966749866286325
tool_bias_backbone->symmetric_backbone (shared),1722,0.9647403236977156,0.47412075834592665,0.46450047091212054,0.8648441249400096,0.37249899959983995,0.4689960329569728
tool_bias_backbone->symmetric_backbone (tool_bias),1722,0.9647403236977156,0.47412075834592665,0.46450047091212054,0.8648441249400096,0.37249899959983995,0.4689960329569728
no_tool_bias_backbone->tool_bias_backbone (no_tool_bias),1722,0.892266934714461,0.4782855446512765,0.37004992603550296,0.7993156015381798,0.424878640776699,0.34068375381648724
symmetric_backbone->tool_bias_backbone (shared),1722,0.9941213922876249,0.9751795285871359,0.017380667974559394,0.9859110192746752,0.9668487394957983,0.016282653230390354
symmetric_backbone->tool_bias_backbone (no_tool_bias),1722,0.9941213922876249,0.9751795285871359,0.017380667974559394,0.9859110192746752,0.9668487394957983,0.016282653230390354
symmetric_backbone->tool_bias_backbone (tool_bias),1722,0.9941213922876249,0.9751795285871359,0.017380667974559394,0.9859110192746752,0.9668487394957983,0.016282653230390354
