functional_group,functional_label,description,n_nodes,n_heads,n_mlps,nodes,representatives,promote_strength_median,suppress_strength_median,direction_balance_median,structural_mix
tool_schema_readers,Tool-Schema Readers,heads that read tool schema or tool-call tag structure and favor the tool endpoint,5,5,0,"L16H8,L17H12,L17H8,L21H1,L21H12","L16H8,L17H12,L17H8,L21H1,L21H12",0.43069666182873734,0.1726126722110215,0.27898567424304405,"{""no_tool_bias_backbone"": 1, ""no_tool_tail"": 2, ""symmetric_backbone"": 1, ""tool_bias_backbone"": 1}"
user_query_readers,User-Query Readers,heads that read user content while still promoting tool-use execution,3,3,0,"L2H14,L5H5,L11H5","L2H14,L5H5,L11H5",0.15235208742422948,0.0,-1.0,"{""symmetric_backbone"": 1, ""tool_tail"": 2}"
suppression_readers,Suppression Readers,heads that read user/prefix evidence and tilt the system toward no-tool mode,5,5,0,"L12H0,L15H5,L16H4,L20H14,L23H6","L12H0,L15H5,L16H4,L20H14,L23H6",0.2315269358832067,0.1229227761485826,1.0,"{""no_tool_bias_backbone"": 1, ""no_tool_tail"": 3, ""symmetric_backbone"": 1}"
promotion_routers_mediators,Promotion Routers,routing or mediation heads that transmit tool-promoting state without being primary readers,3,3,0,"L4H4,L12H6,L16H9","L4H4,L12H6,L16H9",0.1188423119610689,0.0,-1.0,"{""tool_tail"": 3}"
tool_call_writers,Tool-Call Writers,writer nodes whose causal profile is strongest for the tool-call endpoint,7,0,7,"MLP1,MLP6,MLP10,MLP13,MLP17,MLP19,MLP21","MLP1,MLP6,MLP10,MLP13,MLP17",0.22448317408001944,0.04902942765609723,-0.04055005690118125,"{""no_tool_bias_backbone"": 1, ""symmetric_backbone"": 3, ""tool_tail"": 3}"
no_tool_writers,No-Tool Writers,writer nodes whose causal profile is strongest for the no-tool endpoint,2,0,2,"MLP4,MLP5","MLP4,MLP5",0.13323870912661145,0.03903068972550605,1.0,"{""no_tool_tail"": 2}"
arbitration_integrators,Arbitration Integrators,shared late-stage nodes that integrate competing evidence and stabilize the decision boundary,6,3,3,"L13H9,MLP16,L18H14,MLP18,L24H6,MLP27","L13H9,MLP16,L18H14,MLP18,L24H6",0.562674904830387,0.3296325822807205,0.0,"{""symmetric_backbone"": 6}"
