node,layer,node_type,structural_group,functional_group,functional_label,evidence,promote_strength,suppress_strength,causal_delta,direction_balance,semantic_hint,tools_block_tool_mass,tools_block_delta,tool_call_tags_tool_mass,tool_call_tags_delta,user_block_tool_mass,user_block_no_tool_mass,user_block_delta,prefix_16_delta
L16H8,16,head,no_tool_bias_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.24, tags=0.001)",0.43069666182873734,0.21766047572499186,0.21303618610374547,0.27898567424304405,no-tool-biased router,0.24470938742160797,-0.04659751057624817,0.0009865734609775245,0.00032877468038350344,0.4340784251689911,0.45193952322006226,0.017861098051071167,0.014542296528816223
L17H12,17,head,no_tool_tail,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.16, tags=0.008)",0.33261120122940324,0.13620071684587814,0.1964104843835251,1.0,no-tool-tail router,0.15701693296432495,-0.047885652631521225,0.00810923520475626,0.00028030388057231903,0.4255759119987488,0.43827591836452484,0.012700006365776062,0.05531597137451172
L17H8,17,head,no_tool_tail,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.29, tags=0.013)",0.22218902074617947,0.1169762137504073,0.10521280699577217,1.0,no-tool-tail router,0.2918190062046051,-0.007788270711898804,0.013370450120419264,-0.003328788559883833,0.17725499719381332,0.16764973104000092,-0.009605266153812408,0.06352891772985458
L21H1,21,head,symmetric_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.12, tags=0.048)",0.7355182276103475,0.26399339841840785,0.4715248291919396,0.0,format/prefix router,0.12155566737055779,-0.03962821327149868,0.04843655601143837,-0.031840217765420675,0.17366322129964828,0.1587139517068863,-0.014949269592761993,0.25901345908641815
L21H12,21,head,tool_bias_backbone,tool_schema_readers,Tool-Schema Readers,"reads tools/tags (tools=0.20, tags=0.022)",0.6518558439340904,0.1726126722110215,0.47924317172306885,-0.35117016238728505,format/prefix router,0.20473244041204453,0.11283021420240402,0.022451036144047976,-0.01038186252117157,0.03810650669038296,0.084718007594347,0.04661150090396404,0.10285784117877483
L2H14,2,head,tool_tail,user_query_readers,User-Query Readers,reads user content on tool endpoint (user=0.33),0.15394220097327754,0.0,0.15394220097327754,-1.0,tool-tail router,0.14881524443626404,0.001995950937271118,0.003578005009330809,5.019479431211948e-06,0.3290536254644394,0.32022838294506073,-0.008825242519378662,0.001806061714887619
L5H5,5,head,tool_tail,user_query_readers,User-Query Readers,reads user content on tool endpoint (user=0.35),0.15235208742422948,0.0,0.15235208742422948,-1.0,tool-tail router,0.06111475080251694,-0.0018448196351528168,0.00361378223169595,-0.0001242370344698429,0.35241666436195374,0.36211302876472473,0.009696364402770996,-0.004442065954208374
L11H5,11,head,symmetric_backbone,user_query_readers,User-Query Readers,reads user content on tool endpoint (user=0.65),0.07961123249995503,0.03372434017595308,0.04588689232400195,-0.04055005690118125,shared router,0.0393846957013011,-0.006821499206125736,1.660498855926562e-05,1.0493404261069372e-06,0.6509198248386383,0.6711768507957458,0.020257025957107544,0.004299916326999664
L12H0,12,head,no_tool_bias_backbone,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=-0.02, d_prefix=-0.05)",0.15471057799026722,0.015314434669273378,0.13939614332099384,0.27898567424304405,no-tool-biased router,0.014743580017238855,0.0008576237596571445,0.002043509215582162,-2.419453812763095e-05,0.06268284283578396,0.04738692007958889,-0.015295922756195068,-0.04782983660697937
L15H5,15,head,no_tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=-0.02, d_prefix=+0.03)",0.030820455903696753,0.1229227761485826,-0.09210232024488585,1.0,no-tool-tail router,0.04279770888388157,-0.01080196350812912,0.0023536168737336993,-0.00034984154626727104,0.25470880419015884,0.23280801624059677,-0.021900787949562073,0.027412600815296173
L16H4,16,head,no_tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.08, d_prefix=-0.01)",0.2315269358832067,0.1121700879765396,0.11935684790666709,1.0,no-tool-tail router,0.025396477431058884,-0.002953179180622101,0.00016024515571189113,-4.5518474507844076e-05,0.40110650658607483,0.4775720238685608,0.07646551728248596,-0.008002117276191711
L20H14,20,head,no_tool_tail,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.02, d_prefix=+0.20)",0.2674912490395287,0.22234441186054088,0.04514683717898782,1.0,format/prefix router,0.06295877695083618,-0.021745814010500908,0.19896969199180603,-0.14854164235293865,0.08202292956411839,0.0995299406349659,0.01750701107084751,0.20162807404994965
L23H6,23,head,symmetric_backbone,suppression_readers,Suppression Readers,"reads user/prefix more in no-tool mode (d_user=+0.01, d_prefix=+0.08)",0.6671967045163494,0.26392961876832843,0.40326708574802095,0.0,format/prefix router,0.011039872653782368,0.00416210712864995,0.0056850300170481205,0.0007837191224098206,0.03530012257397175,0.04544590041041374,0.010145777836441994,0.08046397566795349
L4H4,4,head,tool_tail,promotion_routers_mediators,Promotion Routers,promote-heavy causal role (+0.08),0.08346495347050287,0.0,0.08346495347050287,-1.0,tool-tail router,0.0014146535540930927,-2.623935870360583e-05,7.346017628151458e-05,3.4807690099114552e-06,0.015906719956547022,0.01576363481581211,-0.00014308514073491096,0.002846263349056244
L12H6,12,head,tool_tail,promotion_routers_mediators,Promotion Routers,promote-heavy causal role (+0.12),0.1188423119610689,0.0,0.1188423119610689,-1.0,tool-tail router,0.00879493122920394,-0.00013148831203579903,0.0006778789684176445,5.686128861270845e-05,0.08622438460588455,0.08403374999761581,-0.002190634608268738,-0.022274956107139587
L16H9,16,head,tool_tail,promotion_routers_mediators,Promotion Routers,promote-heavy causal role (+0.10),0.1710599334073252,0.06810035842293907,0.10295957498438613,-1.0,tool-tail router,0.18789338320493698,0.007367067039012909,0.00237421621568501,0.00013258366379886866,0.44547460973262787,0.44899751245975494,0.003522902727127075,-0.00026232749223709106
MLP1,1,mlp,tool_tail,tool_call_writers,Tool-Call Writers,tool-skewed writer (+0.14),0.1740053786391189,0.03413163897034865,0.13987373966877026,-1.0,tool-tail writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP6,6,mlp,tool_tail,tool_call_writers,Tool-Call Writers,tool-skewed writer (-0.00),0.0,0.0024437927663734094,-0.0024437927663734094,-1.0,tool-tail writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP10,10,mlp,symmetric_backbone,tool_call_writers,Tool-Call Writers,tool-skewed writer (+0.18),0.22448317408001944,0.04902942765609723,0.1754537464239222,-0.04055005690118125,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP13,13,mlp,symmetric_backbone,tool_call_writers,Tool-Call Writers,writer defaults to tool side (+0.09),0.10848556162911441,0.016617790811339198,0.09186777081777521,0.04794281397183225,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP17,17,mlp,no_tool_bias_backbone,tool_call_writers,Tool-Call Writers,tool-skewed writer (+0.21),0.7109173644691245,0.4994396260678865,0.21147773840123796,0.27898567424304405,no-tool-biased writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP19,19,mlp,symmetric_backbone,tool_call_writers,Tool-Call Writers,tool-skewed writer (+0.38),0.6820388295002581,0.3024600847181492,0.37957874478210885,0.04794281397183225,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP21,21,mlp,tool_tail,tool_call_writers,Tool-Call Writers,tool-skewed writer (+0.48),0.6044653240585881,0.1264255457803845,0.4780397782782036,-1.0,tool-tail writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP4,4,mlp,no_tool_tail,no_tool_writers,No-Tool Writers,no-tool-skewed writer (+0.10),0.13323870912661145,0.0314434669273379,0.10179524219927355,1.0,no-tool-tail writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
MLP5,5,mlp,no_tool_tail,no_tool_writers,No-Tool Writers,no-tool-skewed writer (+0.08),0.1173162298301033,0.03903068972550605,0.07828554010459725,1.0,no-tool-tail writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
L13H9,13,head,symmetric_backbone,arbitration_integrators,Arbitration Integrators,balanced router (+0.12),0.1589366515837104,0.04292929292929293,0.11600735865441747,0.04794281397183225,shared router,nan,nan,nan,nan,nan,nan,nan,nan
MLP16,16,mlp,symmetric_backbone,arbitration_integrators,Arbitration Integrators,shared late writer with balanced causal role (+0.29),0.873924143988317,0.5809404529162594,0.2929836910720576,0.0,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
L18H14,18,head,symmetric_backbone,arbitration_integrators,Arbitration Integrators,late shared head with balanced causal profile (+0.27),0.4654977375565611,0.19368437875478575,0.2718133588017754,-0.04055005690118125,shared router,0.0032377117313444614,-0.0001960973022505641,0.0003205149987479672,-9.4257527962327e-05,0.02118867728859186,0.02345591690391302,0.0022672396153211594,0.049633704125881195
MLP18,18,mlp,symmetric_backbone,arbitration_integrators,Arbitration Integrators,shared late writer with balanced causal role (+0.25),0.5349953461800674,0.2824617139133268,0.2525336322667406,-0.04055005690118125,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
L24H6,24,head,symmetric_backbone,arbitration_integrators,Arbitration Integrators,late shared head with balanced causal profile (+0.23),0.562674904830387,0.3296325822807205,0.23304232254966645,0.0,format/prefix router,0.006749256048351526,0.02448985492810607,0.951283186674118,-0.31104588508605957,0.009394311578944325,0.03905680030584335,0.029662488726899028,0.22931267507374287
MLP27,27,mlp,symmetric_backbone,arbitration_integrators,Arbitration Integrators,shared late writer with balanced causal role (+0.12),0.7715750737997528,0.6493971977842945,0.12217787601545826,0.0,shared writer MLP,nan,nan,nan,nan,nan,nan,nan,nan
