head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L2H14,2,contrast,2,0.02789780031889677,0.023519268725067377,-0.004378531593829393,0.02789780031889677,0.023519268725067377
L2H14,2,prefix_16,2,0.13690762966871262,0.13871369138360023,0.001806061714887619,0.13690762966871262,0.13871369138360023
L2H14,2,recent_32,2,0.11264664679765701,0.11479741707444191,0.002150770276784897,0.11264664679765701,0.11479741707444191
L2H14,2,tool_call_tags,2,0.003578005009330809,0.003583024488762021,5.019479431211948e-06,0.003578005009330809,0.003583024488762021
L2H14,2,tools_block,2,0.14881524443626404,0.15081119537353516,0.001995950937271118,0.14881524443626404,0.15081119537353516
L2H14,2,user_block,2,0.3290536254644394,0.32022838294506073,-0.008825242519378662,0.3290536254644394,0.32022838294506073
L4H4,4,contrast,2,0.00016482272440043744,0.00012150302791269496,-4.3319696487742476e-05,0.00016482272440043744,0.00012150302791269496
L4H4,4,prefix_16,2,0.17180416733026505,0.1746504306793213,0.002846263349056244,0.17180416733026505,0.1746504306793213
L4H4,4,recent_32,2,0.06634221598505974,0.06731701456010342,0.0009747985750436783,0.06634221598505974,0.06731701456010342
L4H4,4,tool_call_tags,2,7.346017628151458e-05,7.694094529142603e-05,3.4807690099114552e-06,7.346017628151458e-05,7.694094529142603e-05
L4H4,4,tools_block,2,0.0014146535540930927,0.0013884141953894868,-2.623935870360583e-05,0.0014146535540930927,0.0013884141953894868
L4H4,4,user_block,2,0.015906719956547022,0.01576363481581211,-0.00014308514073491096,0.015906719956547022,0.01576363481581211
L5H5,5,contrast,2,0.004189809144008905,0.009665771503932774,0.005475962359923869,0.004189809144008905,0.009665771503932774
L5H5,5,prefix_16,2,0.2952992767095566,0.2908572107553482,-0.004442065954208374,0.2952992767095566,0.2908572107553482
L5H5,5,recent_32,2,0.29453639686107635,0.2919585704803467,-0.0025778263807296753,0.29453639686107635,0.2919585704803467
L5H5,5,tool_call_tags,2,0.00361378223169595,0.003489545197226107,-0.0001242370344698429,0.00361378223169595,0.003489545197226107
L5H5,5,tools_block,2,0.06111475080251694,0.05926993116736412,-0.0018448196351528168,0.06111475080251694,0.05926993116736412
L5H5,5,user_block,2,0.35241666436195374,0.36211302876472473,0.009696364402770996,0.35241666436195374,0.36211302876472473
L11H5,11,contrast,2,0.042802050709724426,0.05803234502673149,0.015230294317007065,0.042802050709724426,0.05803234502673149
L11H5,11,prefix_16,2,0.11764374002814293,0.1219436563551426,0.004299916326999664,0.11764374002814293,0.1219436563551426
L11H5,11,recent_32,2,0.4299631714820862,0.4255121648311615,-0.004451006650924683,0.4299631714820862,0.4255121648311615
L11H5,11,tool_call_tags,2,1.660498855926562e-05,1.7654328985372558e-05,1.0493404261069372e-06,1.660498855926562e-05,1.7654328985372558e-05
L11H5,11,tools_block,2,0.0393846957013011,0.03256319649517536,-0.006821499206125736,0.0393846957013011,0.03256319649517536
L11H5,11,user_block,2,0.6509198248386383,0.6711768507957458,0.020257025957107544,0.6509198248386383,0.6711768507957458
