sample_id,base_variant,step_idx,node,rescue_ratio,top1_is_tool,boundary_flip
codecontests_cpp_5,clean_no_schema,1,L21H12,0.9121621621621622,False,False
codecontests_cpp_5,clean_no_schema,2,MLP27,1.1121199324324325,True,True
codecontests_cpp_5,clean_schema_mismatch,1,L21H12,0.9138513513513513,False,False
codecontests_cpp_5,clean_schema_mismatch,2,MLP27,1.0557432432432432,True,True
codecontests_cpp_5,clean_no_protocol,1,L21H12,1.864864864864865,False,False
codecontests_cpp_5,clean_no_protocol,2,MLP27,3.3902027027027026,False,False
codecontests_java_5,clean_no_schema,1,L21H12,0.78125,False,False
codecontests_java_5,clean_no_schema,2,MLP27,0.890869140625,True,True
codecontests_java_5,clean_schema_mismatch,1,L21H12,0.2510986328125,True,True
codecontests_java_5,clean_schema_mismatch,2,MLP27,0.26268768310546875,True,True
codecontests_java_5,clean_no_protocol,1,L21H12,1.44140625,False,False
codecontests_java_5,clean_no_protocol,2,MLP27,2.1787109375,True,True
codecontests_cpp_6,clean_no_schema,1,L21H12,0.5711436170212766,True,True
codecontests_cpp_6,clean_no_schema,2,MLP27,0.6201795212765957,True,True
codecontests_cpp_6,clean_schema_mismatch,1,L21H12,1.9388297872340425,False,False
codecontests_cpp_6,clean_schema_mismatch,2,MLP27,2.193317819148936,True,True
codecontests_cpp_6,clean_no_protocol,1,L21H12,3.1914893617021276,False,False
codecontests_cpp_6,clean_no_protocol,2,MLP27,4.840425531914893,True,True
codecontests_java_6,clean_no_schema,1,L21H12,0.48538961038961037,False,True
codecontests_java_6,clean_no_schema,2,MLP27,0.5271915584415584,True,True
codecontests_java_6,clean_schema_mismatch,1,L21H12,0.8262987012987013,False,False
codecontests_java_6,clean_schema_mismatch,2,MLP27,0.9943181818181818,True,True
codecontests_java_6,clean_no_protocol,1,L21H12,1.1363636363636365,False,False
codecontests_java_6,clean_no_protocol,2,MLP27,1.8254870129870129,False,False
codecontests_java_7,clean_no_schema,1,L21H12,0.7212009803921569,True,True
codecontests_java_7,clean_no_schema,2,MLP27,0.7908241421568627,True,True
codecontests_java_7,clean_schema_mismatch,1,L21H12,1.3970588235294117,False,False
codecontests_java_7,clean_schema_mismatch,2,MLP27,1.6862745098039216,True,True
codecontests_java_7,clean_no_protocol,1,L21H12,1.3529411764705883,False,False
codecontests_java_7,clean_no_protocol,2,MLP27,1.8442095588235294,True,True
apps_python_8,clean_no_schema,1,L21H12,0.02454022129186603,True,True
apps_python_8,clean_no_schema,2,MLP27,0.018877093301435405,True,True
