base_variant,step_idx,node,n_samples,rescue_ratio_median,top1_rate,boundary_flip_rate
clean_no_protocol,1,L21H12,1722,1.744576244732324,0.015098722415795587,0.03426248548199768
clean_no_protocol,2,MLP27,1722,2.5559571812596005,0.4692218350754936,0.5290360046457607
clean_no_schema,1,L21H12,1722,0.5315686628186628,0.5435540069686411,0.5981416957026713
clean_no_schema,2,MLP27,1722,0.5937380740115115,0.7398373983739838,0.8281068524970964
clean_schema_mismatch,1,L21H12,1722,0.8353630375529981,0.4709639953542393,0.5098722415795587
clean_schema_mismatch,2,MLP27,1722,1.007934045018206,0.9274099883855982,0.9668989547038328
