combo,n_samples,n_nodes,promote_ratio_median,suppress_ratio_median,promote_tool_top1_rate,suppress_no_tool_top1_rate,promote_gain_vs_symmetric_median,suppress_gain_vs_symmetric_median,promote_top1_gain_vs_symmetric_mean,suppress_top1_gain_vs_symmetric_mean
symmetric_backbone,1223,8,0.9940676867219918,0.9857758620689655,0.9738348323793949,0.9877350776778414,0.0,0.0,0.0,0.0
symmetric_plus_tool_bias,1223,12,0.9988162878787878,0.9927262931034483,0.9910057236304171,0.9885527391659853,0.00436629730017013,0.005759016798418948,0.017170891251022075,0.0008176614881439084
symmetric_plus_no_tool_bias,1223,12,0.9974446614583333,0.9913589015151515,0.9860997547015535,0.9918233851185609,0.0024685329861111605,0.005055147058823484,0.012264922322158627,0.004088307440719542
symmetric_plus_tool_mode,1223,16,0.9989790482954546,0.9956331073113207,0.9934587080948487,0.9910057236304171,0.004615099676724133,0.0092377533783784,0.019623875715453803,0.003270645952575634
symmetric_plus_no_tool_mode,1223,16,0.9981676868556701,0.9928421787709497,0.9910057236304171,0.9918233851185609,0.0033691406250000444,0.006358225108225035,0.017170891251022075,0.004088307440719542
full_signed_circuit,1223,24,0.9996836672547043,0.9979725713315217,0.9983646770237122,0.9967293540474244,0.005501835724043724,0.01164362980769229,0.024529844644317254,0.008994276369582993
