functional_group,functional_label,description,n_nodes,n_heads,n_mlps,nodes,representatives,promote_strength_median,suppress_strength_median,direction_balance_median,structural_mix
tool_schema_readers,Tool-Schema Readers,heads that read tool schema or tool-call tag structure and favor the tool endpoint,6,6,0,"L16H8,L17H2,L17H8,L21H1,L21H12,L23H5","L16H8,L17H2,L17H8,L21H1,L21H12",0.31846462093242905,0.21365095521453178,0.04600517649482443,"{""no_tool_bias_backbone"": 1, ""no_tool_tail"": 1, ""symmetric_backbone"": 1, ""tool_bias_backbone"": 2, ""tool_tail"": 1}"
user_query_readers,User-Query Readers,heads that read user content while still promoting tool-use execution,1,1,0,L2H14,L2H14,0.04155902684210011,0.006097560975609756,-0.45399146183078065,"{""tool_tail"": 1}"
suppression_readers,Suppression Readers,heads that read user/prefix evidence and tilt the system toward no-tool mode,6,6,0,"L15H5,L16H13,L16H4,L16H9,L18H14,L23H6","L15H5,L16H13,L16H4,L16H9,L18H14",0.25883497612007134,0.11707317073170732,0.3353967210040227,"{""no_tool_bias_backbone"": 1, ""no_tool_tail"": 3, ""tool_bias_backbone"": 1, ""tool_tail"": 1}"
tool_call_writers,Tool-Call Writers,writer nodes whose causal profile is strongest for the tool-call endpoint,2,0,2,"MLP11,MLP21","MLP11,MLP21",0.40493882988903385,0.15266007532956688,-0.15157314412701783,"{""tool_bias_backbone"": 1, ""tool_tail"": 1}"
no_tool_writers,No-Tool Writers,writer nodes whose causal profile is strongest for the no-tool endpoint,2,0,2,"MLP12,MLP17","MLP12,MLP17",0.5540999148546926,0.47361459203564465,0.1468463505378417,"{""no_tool_bias_backbone"": 2}"
arbitration_integrators,Arbitration Integrators,shared late-stage nodes that integrate competing evidence and stabilize the decision boundary,7,4,3,"L12H6,L13H9,MLP16,MLP19,L20H5,L24H6,MLP27","L12H6,L13H9,MLP16,MLP19,L20H5",0.5244617018205315,0.376483731322441,0.010460038854351405,"{""symmetric_backbone"": 7}"
