group,n_nodes,nodes,promote_ratio_median,promote_boundary_flip_rate,promote_tool_top1_rate,suppress_ratio_median,suppress_boundary_flip_rate,suppress_no_tool_top1_rate
shared_backbone,16,"L12H6,L13H9,L16H4,L16H8,L17H8,L20H5,L21H1,L21H12,L23H6,L24H6,MLP11,MLP12,MLP16,MLP17,MLP19,MLP27",0.9672131147540983,0.9966358284272497,0.9966358284272497,-0.9701492537313433,1.0,0.9941126997476871
shared_backbone_exclusive,7,"L12H6,L13H9,L17H8,L23H6,L24H6,MLP19,MLP27",0.8333333333333334,0.9739276703111859,0.9722455845248108,-0.75,0.9764507989907485,0.9688814129520605
forward_selective,8,"L19H6,L21H1,L21H12,L23H5,L2H14,MLP11,MLP18,MLP21",0.8201058201058201,0.9142136248948697,0.913372582001682,-0.6190476190476191,0.896551724137931,0.8999158957106812
reverse_selective,8,"L16H4,L16H8,L16H9,L17H2,L20H5,MLP12,MLP16,MLP17",0.7428571428571429,0.7973086627417998,0.7914213624894869,-0.5531914893617021,0.8553406223717409,0.862910008410429
forward_branch_unique,7,"L19H6,L21H1,L23H5,L2H14,MLP11,MLP18,MLP21",0.7101449275362319,0.7695542472666106,0.7661900756938604,-0.44,0.5416316232127838,0.5567703952901598
forward_selective_unique,5,"L19H6,L23H5,L2H14,MLP18,MLP21",0.5,0.2144659377628259,0.20857863751051303,-0.2391304347826087,0.15727502102607233,0.17325483599663583
reverse_branch_unique,4,"L16H4,L16H8,L16H9,L17H2",0.43333333333333335,0.17325483599663583,0.17325483599663583,-0.23636363636363636,0.1152228763666947,0.13036164844407064
reverse_selective_unique,2,"L16H9,L17H2",0.2,0.002523128679562658,0.002523128679562658,-0.0851063829787234,0.009251471825063078,0.01345668629100084
