sample_id,sample_rank,q_index,cluster_id,cluster_size,weight
codecontests_cpp_4,9,,0,460,0.9824934691179604
codecontests_cpp_5,13,,0,460,0.9459198087214378
codecontests_java_7,17,,0,460,0.9017470556696944
apps_python_8,18,,0,460,0.8556349496205444
codecontests_cpp_11,23,,0,460,0.8025112231761
codecontests_cpp_12,27,,0,460,0.8977530187520922
apps_python_13,29,,0,460,0.8652349175347223
codecontests_java_13,30,,0,460,0.9993796426741803
codecontests_cpp_14,32,,0,460,0.9944616256454266
codecontests_cpp_15,34,,0,460,0.968330958234617
codecontests_cpp_16,37,,0,460,0.9997464693509616
codecontests_java_19,46,,0,460,0.9999897979026617
codecontests_cpp_20,48,,0,460,0.9078904625397549
codecontests_java_22,53,,0,460,0.9996553308823529
apps_python_23,54,,0,460,0.9995145089285714
codecontests_cpp_23,55,,0,460,0.9721933765175902
codecontests_cpp_24,57,,0,460,0.9509462155734123
codecontests_java_26,62,,0,460,0.9999913448045233
codecontests_cpp_28,66,,0,460,0.9488276436322214
codecontests_java_28,67,,0,460,0.8559782549747159
codecontests_cpp_30,72,,0,460,1.0
codecontests_cpp_32,74,,0,460,0.9999601686155641
codecontests_cpp_35,82,,0,460,0.9992723651960784
mbpp_python_36,87,,0,460,0.9661182415674604
apps_python_37,88,,0,460,0.9998385272448576
codecontests_java_37,89,,0,460,0.9851346738362582
codecontests_cpp_40,95,,0,460,0.999766248337766
codecontests_cpp_41,97,,0,460,0.9999603622261135
codecontests_cpp_42,100,,0,460,0.964470950790013
codecontests_cpp_45,111,,0,460,0.9867769207356146
codecontests_cpp_47,117,,0,460,0.9999362370155377
codecontests_cpp_48,121,,0,460,0.9521132330246914
codecontests_cpp_49,124,,0,460,0.9999609245825066
codecontests_cpp_50,126,,0,460,0.9726096083368054
codecontests_cpp_56,140,,0,460,0.9999560546875
codecontests_cpp_57,142,,0,460,0.9207646355151229
codecontests_java_58,145,,0,460,0.9983989404506438
codecontests_cpp_64,157,,0,460,0.9996560534591195
codecontests_cpp_65,160,,0,460,1.0
codecontests_cpp_66,162,,0,460,0.8810789272663747
codecontests_cpp_73,173,,0,460,0.9999630576685855
codecontests_java_73,174,,0,460,0.8710217335390946
apps_python_74,175,,0,460,0.9999252564129345
apps_python_75,179,,0,460,0.9981984874429224
apps_python_76,182,,0,460,0.9998396907944277
codecontests_cpp_79,190,,0,460,0.9772543724279835
mbpp_python_79,192,,0,460,0.9997535776869159
codecontests_java_80,195,,0,460,0.9999940334222256
codecontests_java_81,197,,0,460,0.7508875621546204
mbpp_python_81,198,,0,460,0.9937632664623831
apps_python_88,216,,0,460,1.0
codecontests_cpp_89,218,,0,460,0.9538340595733611
apps_python_91,221,,0,460,0.999306640625
codecontests_cpp_91,222,,0,460,0.7839410507543156
codecontests_java_92,225,,0,460,0.9701322083822062
codecontests_cpp_93,227,,0,460,0.9199386586593353
codecontests_cpp_95,233,,0,460,0.9985833556866953
apps_python_96,236,,0,460,0.9997277384653142
apps_python_98,241,,0,460,0.9214330975025996
apps_python_99,244,,0,460,0.9997239616048995
codecontests_cpp_99,245,,0,460,0.9156306132055054
codecontests_cpp_100,248,,0,460,0.9441007585145424
codecontests_java_100,249,,0,460,0.8830849194101509
apps_python_101,251,,0,460,0.9998523800872093
apps_python_102,253,,0,460,0.9982432208994709
apps_python_103,254,,0,460,0.9904824404153572
apps_python_106,259,,0,460,0.9997190710616438
codecontests_cpp_106,260,,0,460,0.999878596738388
codecontests_cpp_109,269,,0,460,0.690256209715002
codecontests_java_109,270,,0,460,0.8960183499306381
apps_python_112,276,,0,460,0.8926199074074074
apps_python_114,284,,0,460,0.8047294616699219
codecontests_cpp_115,287,,0,460,0.9996205525225904
codecontests_cpp_117,296,,0,460,0.9999529864336993
mbpp_python_117,298,,0,460,0.999999450731881
apps_python_118,299,,0,460,0.9999103638285024
codecontests_cpp_118,300,,0,460,0.9996324174859551
apps_python_121,307,,0,460,1.0
codecontests_cpp_123,313,,0,460,0.964201613574986
codecontests_cpp_124,316,,0,460,0.9983748250932836
codecontests_cpp_126,324,,0,460,0.9786155135543257
codecontests_cpp_127,327,,0,460,0.8481663915719942
codecontests_java_127,328,,0,460,0.9999081043714888
codecontests_cpp_130,333,,0,460,0.9999236100874607
humaneval_python_130,335,,0,460,0.9990486391129032
humaneval_python_131,340,,0,460,0.9699214194644908
apps_python_132,341,,0,460,0.9995823506289309
apps_python_134,347,,0,460,0.9592483993916973
codecontests_cpp_134,348,,0,460,0.9915064208600848
apps_python_136,351,,0,460,0.9989583333333333
humaneval_python_137,356,,0,460,1.0
codecontests_cpp_138,358,,0,460,0.9996614108120438
codecontests_cpp_139,360,,0,460,0.6999642462479441
apps_python_141,367,,0,460,0.9996508526545699
codecontests_cpp_141,368,,0,460,0.9995326450892857
codecontests_java_141,369,,0,460,0.9620110859183859
apps_python_142,370,,0,460,0.9588403714309379
codecontests_cpp_143,374,,0,460,0.9999136788504465
codecontests_java_144,377,,0,460,0.7645947704081633
mbpp_python_144,378,,0,460,0.9963260135135135
humaneval_python_145,381,,0,460,0.9999253679030012
codecontests_cpp_147,384,,0,460,0.9999726197429907
codecontests_cpp_149,392,,0,460,0.8428226273148148
codecontests_cpp_153,404,,0,460,0.8080548753359819
codecontests_java_154,408,,0,460,0.9999895635640846
apps_python_156,411,,0,460,0.9623130987088714
codecontests_cpp_161,424,,0,460,0.9998590317730126
humaneval_python_161,426,,0,460,0.9979538690476191
codecontests_cpp_163,431,,0,460,0.9993665540540541
codecontests_cpp_170,446,,0,460,0.7783791298126951
codecontests_cpp_171,449,,0,460,0.9999867365910456
apps_python_172,451,,0,460,0.9997139546408582
codecontests_cpp_174,457,,0,460,0.9261009591822447
codecontests_cpp_177,465,,0,460,0.8086609139794032
codecontests_java_177,466,,0,460,0.783600358035371
mbpp_python_177,467,,0,460,1.0
apps_python_181,475,,0,460,0.9984634182464455
codecontests_cpp_181,476,,0,460,0.9997137661637931
codecontests_cpp_182,479,,0,460,0.9614308675130209
codecontests_java_183,482,,0,460,0.9982551125919118
codecontests_cpp_185,485,,0,460,0.9998658435179455
codecontests_cpp_186,489,,0,460,0.9996456023185484
codecontests_java_186,490,,0,460,0.9585421463257917
codecontests_java_190,500,,0,460,0.8740030924479167
codecontests_cpp_191,502,,0,460,0.9999622163318452
codecontests_cpp_192,505,,0,460,0.8548917944637345
codecontests_java_192,506,,0,460,0.8450916572592451
codecontests_java_193,508,,0,460,0.9441276196492272
codecontests_java_194,511,,0,460,0.9253112015235457
codecontests_cpp_197,519,,0,460,0.999279343938253
codecontests_cpp_199,524,,0,460,0.9999141438802084
apps_python_200,526,,0,460,0.99981689453125
codecontests_cpp_203,536,,0,460,0.9998308879573171
codecontests_java_203,537,,0,460,0.8982848815647431
apps_python_204,538,,0,460,0.8930541326306844
codecontests_cpp_204,539,,0,460,0.9996976630632267
codecontests_cpp_207,548,,0,460,0.8899295433780021
codecontests_java_208,551,,0,460,0.9947698744769874
apps_python_211,556,,0,460,0.9999237750989819
apps_python_214,564,,0,460,0.9995315139358109
codecontests_java_214,565,,0,460,0.8967197238573408
codecontests_java_217,573,,0,460,0.9978321335078534
codecontests_cpp_219,578,,0,460,0.999955888227983
codecontests_cpp_220,581,,0,460,0.9999103876896677
apps_python_221,583,,0,460,0.9928603468899522
apps_python_222,586,,0,460,0.9978758640552995
codecontests_java_222,587,,0,460,0.9999234586148649
codecontests_cpp_223,589,,0,460,0.9998220837550608
mbpp_python_224,594,,0,460,0.9999370827023678
codecontests_cpp_225,596,,0,460,0.8648993884552597
codecontests_java_226,598,,0,460,0.9998582204182943
codecontests_java_227,601,,0,460,0.8050313255710623
codecontests_cpp_229,605,,0,460,0.8528567198563098
codecontests_cpp_235,619,,0,460,0.9540913424744898
codecontests_cpp_236,623,,0,460,0.9994296183628318
codecontests_java_241,634,,0,460,0.9995870258084577
apps_python_244,640,,0,460,0.9355413897788853
apps_python_246,645,,0,460,0.9990861885040161
codecontests_cpp_246,646,,0,460,0.99984130859375
codecontests_java_250,656,,0,460,0.9947150735294118
codecontests_cpp_252,660,,0,460,0.8370019663875057
