sample_id,mode,group,ratio,signed_recovery,base_margin,source_margin,patched_margin,sign_consistent,boundary_flip,closer_to_source,source_dominance,endpoint_authenticity
mbpp_python_1,promote,shared_backbone,1.0,1.0,-3.625,2.25,2.25,True,True,True,True,1.0
mbpp_python_1,promote,shared_core,0.8723404255319149,0.8723404255319149,-3.625,2.25,1.5,True,True,True,True,0.8723404255319149
mbpp_python_1,suppress,forward_only_core,-0.2765957446808511,0.2765957446808511,2.25,-3.625,0.625,True,False,True,False,0.276595744680851
mbpp_python_1,suppress,forward_selective,-0.5531914893617021,0.5531914893617021,2.25,-3.625,-1.0,True,True,True,True,0.5531914893617021
mbpp_python_1,suppress,reverse_only_core,-0.2765957446808511,0.2765957446808511,2.25,-3.625,0.625,True,False,True,False,0.276595744680851
mbpp_python_1,suppress,reverse_selective,-0.6170212765957447,0.6170212765957447,2.25,-3.625,-1.375,True,True,True,True,0.6170212765957447
mbpp_python_1,suppress,shared_backbone,-1.0212765957446808,1.0212765957446808,2.25,-3.625,-3.749999999999999,True,True,True,True,0.9787234042553193
mbpp_python_1,suppress,shared_core,-0.8936170212765957,0.8936170212765957,2.25,-3.625,-3.0,True,True,True,True,0.8936170212765957
codecontests_java_2,promote,forward_only_core,0.6039603960396039,0.6039603960396039,-7.75,4.875,-0.125,True,False,True,True,0.6039603960396039
codecontests_java_2,promote,forward_selective,0.8811881188118812,0.8811881188118812,-7.75,4.875,3.375,True,True,True,True,0.8811881188118812
codecontests_java_2,promote,reverse_only_core,0.24752475247524752,0.24752475247524752,-7.75,4.875,-4.625,True,False,True,False,0.24752475247524752
codecontests_java_2,promote,reverse_selective,0.6831683168316832,0.6831683168316832,-7.75,4.875,0.875,True,True,True,True,0.6831683168316831
codecontests_java_2,promote,shared_backbone,0.9702970297029703,0.9702970297029703,-7.75,4.875,4.5,True,True,True,True,0.9702970297029703
codecontests_java_2,promote,shared_core,0.9405940594059405,0.9405940594059405,-7.75,4.875,4.125,True,True,True,True,0.9405940594059405
codecontests_java_2,suppress,forward_only_core,-0.18811881188118812,0.18811881188118812,4.875,-7.75,2.5,True,False,True,False,0.18811881188118806
codecontests_java_2,suppress,forward_selective,-0.5544554455445545,0.5544554455445545,4.875,-7.75,-2.125000000000001,True,True,True,True,0.5544554455445545
codecontests_java_2,suppress,reverse_only_core,-0.1188118811881188,0.1188118811881188,4.875,-7.75,3.375,True,False,True,False,0.1188118811881188
codecontests_java_2,suppress,reverse_selective,-0.43564356435643564,0.43564356435643564,4.875,-7.75,-0.625,True,True,True,False,0.4356435643564357
codecontests_java_2,suppress,shared_backbone,-0.8811881188118812,0.8811881188118812,4.875,-7.75,-6.25,True,True,True,True,0.8811881188118812
codecontests_java_2,suppress,shared_core,-0.8217821782178217,0.8217821782178217,4.875,-7.75,-5.5,True,True,True,True,0.8217821782178218
codecontests_cpp_3,promote,forward_only_core,0.40425531914893614,0.40425531914893614,-2.625,3.25,-0.25,True,False,True,False,0.4042553191489362
codecontests_cpp_3,promote,forward_selective,0.7446808510638298,0.7446808510638298,-2.625,3.25,1.75,True,True,True,True,0.7446808510638299
codecontests_cpp_3,promote,reverse_only_core,0.2127659574468085,0.2127659574468085,-2.625,3.25,-1.375,True,False,True,False,0.21276595744680848
codecontests_cpp_3,promote,reverse_selective,0.7659574468085106,0.7659574468085106,-2.625,3.25,1.875,True,True,True,True,0.7659574468085106
codecontests_cpp_3,promote,shared_backbone,0.9787234042553191,0.9787234042553191,-2.625,3.25,3.125,True,True,True,True,0.9787234042553191
codecontests_cpp_3,promote,shared_core,1.0,1.0,-2.625,3.25,3.25,True,True,True,True,1.0
codecontests_cpp_3,suppress,forward_only_core,-0.14893617021276595,0.14893617021276595,3.25,-2.625,2.375,True,False,True,False,0.14893617021276595
codecontests_cpp_3,suppress,forward_selective,-0.7021276595744681,0.7021276595744681,3.25,-2.625,-0.875,True,True,True,True,0.7021276595744681
codecontests_cpp_3,suppress,reverse_only_core,-0.06382978723404255,0.06382978723404255,3.25,-2.625,2.875,True,False,True,False,0.06382978723404253
codecontests_cpp_3,suppress,reverse_selective,-0.6382978723404256,0.6382978723404256,3.25,-2.625,-0.5,True,True,True,True,0.6382978723404256
codecontests_cpp_3,suppress,shared_backbone,-0.9574468085106383,0.9574468085106383,3.25,-2.625,-2.375,True,True,True,True,0.9574468085106383
codecontests_cpp_3,suppress,shared_core,-0.9787234042553191,0.9787234042553191,3.25,-2.625,-2.5,True,True,True,True,0.9787234042553191
codecontests_java_3,promote,forward_only_core,0.584,0.584,-9.5,6.125,-0.375,True,False,True,True,0.5840000000000001
codecontests_java_3,promote,forward_selective,0.888,0.888,-9.5,6.125,4.375,True,True,True,True,0.888
codecontests_java_3,promote,reverse_only_core,0.424,0.424,-9.5,6.125,-2.875,True,False,True,False,0.42400000000000004
codecontests_java_3,promote,reverse_selective,0.928,0.928,-9.5,6.125,5.0,True,True,True,True,0.928
codecontests_java_3,promote,shared_backbone,1.0,1.0,-9.5,6.125,6.125,True,True,True,True,1.0
codecontests_java_3,promote,shared_core,0.976,0.976,-9.5,6.125,5.75,True,True,True,True,0.976
codecontests_java_3,suppress,forward_only_core,-0.096,0.096,6.125,-9.5,4.625,True,False,True,False,0.09599999999999997
codecontests_java_3,suppress,forward_selective,-0.504,0.504,6.125,-9.5,-1.75,True,True,True,True,0.504
codecontests_java_3,suppress,reverse_only_core,-0.16,0.16,6.125,-9.5,3.625,True,False,True,False,0.16000000000000003
codecontests_java_3,suppress,reverse_selective,-0.664,0.664,6.125,-9.5,-4.25,True,True,True,True,0.6639999999999999
codecontests_java_3,suppress,shared_backbone,-1.0,1.0,6.125,-9.5,-9.5,True,True,True,True,1.0
codecontests_java_3,suppress,shared_core,-0.952,0.952,6.125,-9.5,-8.75,True,True,True,True,0.952
apps_python_4,promote,forward_only_core,0.4025974025974026,0.4025974025974026,-5.0,4.625,-1.125,True,False,True,False,0.4025974025974026
apps_python_4,promote,forward_selective,0.6103896103896104,0.6103896103896104,-5.0,4.625,0.875,True,True,True,True,0.6103896103896104
apps_python_4,promote,reverse_only_core,0.44155844155844154,0.44155844155844154,-5.0,4.625,-0.75,True,False,True,False,0.4415584415584416
apps_python_4,promote,reverse_selective,0.7922077922077922,0.7922077922077922,-5.0,4.625,2.625,True,True,True,True,0.7922077922077921
apps_python_4,promote,shared_backbone,1.0389610389610389,1.0389610389610389,-5.0,4.625,4.999999999999998,True,True,True,True,0.9610389610389612
apps_python_4,promote,shared_core,0.974025974025974,0.974025974025974,-5.0,4.625,4.375,True,True,True,True,0.974025974025974
apps_python_4,suppress,forward_only_core,-0.03896103896103896,0.03896103896103896,4.625,-5.0,4.25,True,False,True,False,0.038961038961038974
apps_python_4,suppress,forward_selective,-0.2597402597402597,0.2597402597402597,4.625,-5.0,2.1250000000000004,True,False,True,False,0.2597402597402597
apps_python_4,suppress,reverse_only_core,-0.12987012987012986,0.12987012987012986,4.625,-5.0,3.375,True,False,True,False,0.1298701298701299
