metric_key,mode,group,n_samples,ratio_median,ratio_mean,signed_recovery_median,signed_recovery_mean,endpoint_authenticity_median,endpoint_authenticity_mean,sign_consistency_rate,boundary_flip_rate,closer_to_source_rate,source_dominance_rate,patched_margin_median,recovery_ge_0_5_rate,recovery_ge_0_9_rate
promote__forward_only_core__ratio,promote,forward_only_core,1189,0.47058823529411764,0.45997725983843596,0.47058823529411764,0.45997725983843596,0.47058823529411764,0.46035011127208325,0.9932716568544996,0.21362489486963834,0.9932716568544996,0.42640874684608915,-1.25,0.42640874684608915,0.0
promote__forward_selective__ratio,promote,forward_selective,1189,0.8201058201058201,0.8061124159681261,0.8201058201058201,0.8061124159681261,0.8201058201058201,0.8061124159681261,1.0,0.9150546677880572,1.0,0.9974768713204374,2.0,0.9974768713204374,0.09167367535744322
promote__reverse_only_core__ratio,promote,reverse_only_core,1189,0.3090909090909091,0.3149387223913337,0.3090909090909091,0.3149387223913337,0.3090909090909091,0.3149387223913337,1.0,0.02691337258200168,1.0,0.01682085786375105,-2.5,0.01682085786375105,0.0
promote__reverse_selective__ratio,promote,reverse_selective,1189,0.7428571428571429,0.7406184558901185,0.7428571428571429,0.7406184558901185,0.7428571428571429,0.7405261308807911,1.0,0.7981497056349874,1.0,0.9831791421362489,1.25,0.9831791421362489,0.040370058873002525
promote__shared_backbone__ratio,promote,shared_backbone,1189,0.9672131147540983,0.9760657023762493,0.9672131147540983,0.9760657023762493,0.9574468085106383,0.9529916902385721,1.0,0.9966358284272497,1.0,1.0,3.25,1.0,0.9621530698065601
promote__shared_core__ratio,promote,shared_core,1189,0.9538461538461539,0.9564004868992363,0.9538461538461539,0.9564004868992363,0.95,0.944480840551447,1.0,0.9957947855340622,1.0,1.0,3.125,1.0,0.8856181665264928
suppress__forward_only_core__ratio,suppress,forward_only_core,1189,-0.1590909090909091,-0.17119936583082113,0.1590909090909091,0.17119936583082113,0.15909090909090906,0.1741816604200758,0.9394449116904963,0.08242220353238015,0.9394449116904963,0.009251471825063078,2.125,0.009251471825063078,0.0
suppress__forward_selective__ratio,suppress,forward_selective,1189,-0.6190476190476191,-0.6127233803365323,0.6190476190476191,0.6127233803365323,0.6190476190476191,0.6127233803365323,1.0,0.8957106812447435,1.0,0.8637510513036165,-1.875,0.8637510513036165,0.010092514718250631
suppress__reverse_only_core__ratio,suppress,reverse_only_core,1189,-0.16981132075471697,-0.17794788997039934,0.16981132075471697,0.17794788997039934,0.16981132075471694,0.17797337611867778,0.9974768713204374,0.04709840201850295,0.9974768713204374,0.0,2.0,0.0,0.0
suppress__reverse_selective__ratio,suppress,reverse_selective,1189,-0.5531914893617021,-0.5621190918683752,0.5531914893617021,0.5621190918683752,0.5531914893617021,0.5621190918683752,1.0,0.8553406223717409,1.0,0.7157275021026073,-1.5,0.7157275021026073,0.002523128679562658
suppress__shared_backbone__ratio,suppress,shared_backbone,1189,-0.9701492537313433,-0.971608659683488,0.9701492537313433,0.971608659683488,0.9473684210526316,0.9423403166106704,1.0,0.9991589571068125,1.0,1.0,-5.125,1.0,0.8662741799831791
suppress__shared_core__ratio,suppress,shared_core,1189,-0.9469964664310954,-0.9472543421999835,0.9469964664310954,0.9472543421999835,0.9375,0.927404395731319,1.0,0.9983179142136249,1.0,1.0,-4.75,1.0,0.7645079899074853
