sample_id,head,variant,span,attn_mass,attn_density,n_tokens
apps_python_1,L2H14,clean,lead_phrase,0.034076809883117676,0.008519202470779419,4
apps_python_1,L2H14,clean,function_body_anchor,0.005499470047652721,0.0027497350238263607,2
apps_python_1,L2H14,clean,file_target,0.0165725015103817,0.00828625075519085,2
apps_python_1,L2H14,clean,tail_suffix,0.07578921318054199,0.005413515027612448,14
apps_python_1,L2H14,clean,task_body,0.08089765161275864,0.0013261910062283278,61
apps_python_1,L2H14,corrupt,lead_phrase,0.08132392913103104,0.02033098228275776,4
apps_python_1,L2H14,corrupt,function_body_anchor,0.005488857161253691,0.0027444285806268454,2
apps_python_1,L2H14,corrupt,file_target,0.015063268132507801,0.0075316340662539005,2
apps_python_1,L2H14,corrupt,tail_suffix,0.0748167484998703,0.005344053264707327,14
apps_python_1,L2H14,corrupt,task_body,0.07572783529758453,0.0012414399534463882,61
apps_python_1,L16H8,clean,lead_phrase,0.007770514115691185,0.0019426285289227962,4
apps_python_1,L16H8,clean,function_body_anchor,0.05133578181266785,0.025667890906333923,2
apps_python_1,L16H8,clean,file_target,0.021393129602074623,0.010696564801037312,2
apps_python_1,L16H8,clean,tail_suffix,0.23204290866851807,0.016574492678046227,14
apps_python_1,L16H8,clean,task_body,0.11980881541967392,0.0019640789832919836,61
apps_python_1,L16H8,corrupt,lead_phrase,0.00906533282250166,0.002266333205625415,4
apps_python_1,L16H8,corrupt,function_body_anchor,0.07814015448093414,0.03907007724046707,2
apps_python_1,L16H8,corrupt,file_target,0.028404483571648598,0.014202241785824299,2
apps_python_1,L16H8,corrupt,tail_suffix,0.146886944770813,0.010491924360394478,14
apps_python_1,L16H8,corrupt,task_body,0.14456917345523834,0.00236998638138175,61
apps_python_1,L17H2,clean,lead_phrase,0.011142037808895111,0.0027855094522237778,4
apps_python_1,L17H2,clean,function_body_anchor,0.03538516163825989,0.017692580819129944,2
apps_python_1,L17H2,clean,file_target,0.01557849906384945,0.007789249531924725,2
apps_python_1,L17H2,clean,tail_suffix,0.06234632804989815,0.004453309345990419,14
apps_python_1,L17H2,clean,task_body,0.07260598242282867,0.0011902620317414403,61
apps_python_1,L17H2,corrupt,lead_phrase,0.013009332120418549,0.003252333030104637,4
