sample_id,stage_idx,nodes,rescue_ratio,decision_score,tool_top1,boundary_flip
codecontests_cpp_3,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.9595286885245902,1.150390625,True,True
codecontests_cpp_3,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.9922195184426229,2.1109619140625,True,True
codecontests_cpp_3,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9941726434426229,2.227783203125,True,True
codecontests_cpp_3,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9968461834016393,2.45672607421875,True,True
codecontests_cpp_3,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.9977907274590164,2.5697021484375,True,True
codecontests_java_3,1,L2H14,0.06756756756756757,-8.622695922851562,False,False
codecontests_java_3,2,L2H14|MLP11,0.6081081081081081,-3.572509765625,False,False
codecontests_java_3,3,L2H14|MLP11|MLP16,0.793918918918919,-1.6982421875,False,False
codecontests_java_3,4,L2H14|MLP11|MLP16|MLP19,0.976245777027027,1.4365234375,True,True
codecontests_java_3,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.9873838682432432,2.08642578125,True,True
codecontests_java_3,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.9963840793918919,3.263427734375,True,True
codecontests_java_3,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9993467588682432,4.65020751953125,True,True
codecontests_java_3,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9993830500422297,4.650543212890625,True,True
codecontests_java_3,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.9998903016786318,5.686485290527344,True,True
apps_python_4,1,L2H14,-0.08270676691729323,-4.49456787109375,False,False
apps_python_4,2,L2H14|MLP11,-0.556390977443609,-6.4432373046875,False,False
apps_python_4,3,L2H14|MLP11|MLP16,0.41729323308270677,-2.35400390625,False,False
apps_python_4,4,L2H14|MLP11|MLP16|MLP19,0.8618421052631579,0.13671875,True,True
apps_python_4,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.9668703007518797,1.6748046875,True,True
apps_python_4,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.9897791353383458,2.64501953125,True,True
apps_python_4,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9970482847744361,3.50335693359375,True,True
apps_python_4,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9982084116541353,3.7738037109375,True,True
apps_python_4,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.9992583999060151,4.246917724609375,True,True
codecontests_cpp_4,1,L2H14,0.17153284671532848,-3.543731689453125,False,False
codecontests_cpp_4,2,L2H14|MLP11,0.22627737226277372,-3.30340576171875,False,False
codecontests_cpp_4,3,L2H14|MLP11|MLP16,0.5638686131386861,-1.814697265625,False,False
codecontests_cpp_4,4,L2H14|MLP11|MLP16|MLP19,0.8448905109489051,-0.359375,False,False
codecontests_cpp_4,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.8476277372262774,-0.3359375,False,False
codecontests_cpp_4,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.8786496350364964,-0.123046875,False,False
codecontests_cpp_4,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9731979927007299,0.79150390625,True,True
codecontests_cpp_4,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.983690693430657,0.97705078125,True,True
codecontests_cpp_4,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.9974623631386861,1.3953857421875,True,True
codecontests_java_4,1,L2H14,-0.022099447513812154,-11.557891845703125,False,False
codecontests_java_4,2,L2H14|MLP11,0.4613259668508287,-6.0877685546875,False,False
codecontests_java_4,3,L2H14|MLP11|MLP16,0.7776243093922652,-2.3583984375,False,False
codecontests_java_4,4,L2H14|MLP11|MLP16|MLP19,0.9526933701657458,0.67578125,True,True
codecontests_java_4,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.975310773480663,1.439453125,True,True
codecontests_java_4,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.9967196132596685,3.150390625,True,True
codecontests_java_4,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9996169285220995,4.43316650390625,True,True
codecontests_java_4,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.999633114640884,4.433349609375,True,True
codecontests_java_4,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.9999281740978937,5.124187469482422,True,True
mbpp_python_4,1,L2H14,0.10967741935483871,-4.30999755859375,False,False
mbpp_python_4,2,L2H14|MLP11,-0.4064516129032258,-6.805694580078125,False,False
mbpp_python_4,3,L2H14|MLP11|MLP16,0.2903225806451613,-3.4197998046875,False,False
mbpp_python_4,4,L2H14|MLP11|MLP16|MLP19,0.5193548387096775,-2.28515625,False,False
mbpp_python_4,5,L2H14|MLP11|MLP16|MLP19|L20H5,0.7564516129032258,-0.982421875,False,False
mbpp_python_4,6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.9554435483870968,0.6083984375,True,True
mbpp_python_4,7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9796370967741935,1.0341796875,True,True
mbpp_python_4,8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9889616935483871,1.266845703125,True,True
mbpp_python_4,9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.998046875,1.92022705078125,True,True
apps_python_5,1,L2H14,0.21637426900584794,-4.186042785644531,False,False
apps_python_5,2,L2H14|MLP11,0.4093567251461988,-3.125,False,False
