sample_id,head,component,rescue_ratio,decision_score,top1_success
apps_python_1,L2H14,q,0.20361990950226244,-2.74188232421875,False
apps_python_1,L2H14,k,0.03619909502262444,-3.3263626098632812,False
apps_python_1,L2H14,v,0.09954751131221719,-3.1064605712890625,False
apps_python_1,L2H14,z,0.3031674208144796,-2.3819580078125,False
apps_python_1,L16H8,q,0.09954751131221719,-3.1068572998046875,False
apps_python_1,L16H8,k,-0.1583710407239819,-3.995880126953125,False
apps_python_1,L16H8,v,0.03167420814479638,-3.3421859741210938,False
apps_python_1,L16H8,z,0.6538461538461539,-1.0048828125,False
apps_python_1,L17H2,q,0.2986425339366516,-2.4007568359375,False
apps_python_1,L17H2,k,-0.058823529411764705,-3.6554794311523438,False
apps_python_1,L17H2,v,0.06787330316742081,-3.2172470092773438,False
apps_python_1,L17H2,z,0.20361990950226244,-2.74072265625,False
apps_python_1,L17H8,q,0.33031674208144796,-2.2860107421875,False
apps_python_1,L17H8,k,-0.09502262443438914,-3.7796478271484375,False
apps_python_1,L17H8,v,-0.03167420814479638,-3.5622825622558594,False
apps_python_1,L17H8,z,0.19909502262443438,-2.75738525390625,False
apps_python_1,L20H5,q,0.06787330316742081,-3.216949462890625,False
apps_python_1,L20H5,k,-0.004524886877828055,-3.4672393798828125,False
apps_python_1,L20H5,v,0.0,-3.4526844024658203,False
apps_python_1,L20H5,z,0.0,-3.4525108337402344,False
codecontests_cpp_1,L2H14,q,0.08018867924528301,-6.09271240234375,False
codecontests_cpp_1,L2H14,k,0.21226415094339623,-5.213897705078125,False
codecontests_cpp_1,L2H14,v,0.25943396226415094,-4.89691162109375,False
codecontests_cpp_1,L2H14,z,0.0047169811320754715,-6.591766357421875,False
codecontests_cpp_1,L16H8,q,0.0047169811320754715,-6.5902557373046875,False
codecontests_cpp_1,L16H8,k,-0.014150943396226415,-6.717506408691406,False
codecontests_cpp_1,L16H8,v,-0.014150943396226415,-6.717628479003906,False
codecontests_cpp_1,L16H8,z,0.20754716981132076,-5.2470703125,False
codecontests_cpp_1,L17H2,q,0.17452830188679244,-5.462738037109375,False
codecontests_cpp_1,L17H2,k,-0.014150943396226415,-6.716896057128906,False
codecontests_cpp_1,L17H2,v,-0.05660377358490566,-6.999725341796875,False
codecontests_cpp_1,L17H2,z,0.15566037735849056,-5.589691162109375,False
codecontests_cpp_1,L17H8,q,0.22641509433962265,-5.119537353515625,False
codecontests_cpp_1,L17H8,k,-0.08962264150943396,-7.217559814453125,False
codecontests_cpp_1,L17H8,v,-0.07547169811320754,-7.124687194824219,False
codecontests_cpp_1,L17H8,z,0.24528301886792453,-4.996063232421875,False
codecontests_cpp_1,L20H5,q,0.21226415094339623,-5.2154693603515625,False
codecontests_cpp_1,L20H5,k,-0.014150943396226415,-6.7177581787109375,False
codecontests_cpp_1,L20H5,v,-0.0330188679245283,-6.843315124511719,False
codecontests_cpp_1,L20H5,z,0.4716981132075472,-3.4720458984375,False
codecontests_java_1,L2H14,q,0.0049261083743842365,-12.617919921875,False
codecontests_java_1,L2H14,k,0.06403940886699508,-11.873046875,False
codecontests_java_1,L2H14,v,0.029556650246305417,-12.31170654296875,False
codecontests_java_1,L2H14,z,0.1330049261083744,-10.994598388671875,False
codecontests_java_1,L16H8,q,0.10344827586206896,-11.372833251953125,False
codecontests_java_1,L16H8,k,0.019704433497536946,-12.437342643737793,False
codecontests_java_1,L16H8,v,0.024630541871921183,-12.373558044433594,False
codecontests_java_1,L16H8,z,0.2660098522167488,-9.310150146484375,False
codecontests_java_1,L17H2,q,0.27586206896551724,-9.168701171875,False
codecontests_java_1,L17H2,k,-0.0049261083743842365,-12.74859619140625,False
codecontests_java_1,L17H2,v,0.06403940886699508,-11.874370574951172,False
codecontests_java_1,L17H2,z,0.2955665024630542,-8.92529296875,False
codecontests_java_1,L17H8,q,0.37438423645320196,-7.9234619140625,False
codecontests_java_1,L17H8,k,0.04433497536945813,-12.125019311904907,False
codecontests_java_1,L17H8,v,0.04433497536945813,-12.124141693115234,False
codecontests_java_1,L17H8,z,0.3645320197044335,-8.04736328125,False
codecontests_java_1,L20H5,q,0.1921182266009852,-10.24798583984375,False
codecontests_java_1,L20H5,k,0.024630541871921183,-12.375268936157227,False
codecontests_java_1,L20H5,v,0.024630541871921183,-12.374351501464844,False
codecontests_java_1,L20H5,z,0.32019704433497537,-8.62054443359375,False
mbpp_python_1,L2H14,q,-0.03431372549019608,-3.2967710494995117,False
mbpp_python_1,L2H14,k,-0.03431372549019608,-3.297055244445801,False
mbpp_python_1,L2H14,v,0.13725490196078433,-2.7466888427734375,False
mbpp_python_1,L2H14,z,-0.09803921568627451,-3.49871826171875,False
mbpp_python_1,L16H8,q,0.24019607843137256,-2.4111328125,False
mbpp_python_1,L16H8,k,0.0,-3.187361717224121,False
mbpp_python_1,L16H8,v,0.06862745098039216,-2.9681396484375,False
mbpp_python_1,L16H8,z,0.42892156862745096,-1.772705078125,False
mbpp_python_1,L17H2,q,0.4950980392156863,-1.54052734375,False
