sample_id,head,blocked_node,source_ratio,blocked_ratio,mediated_ratio,top1_success
apps_python_1,L2H14,MLP11,0.3031674208144796,-0.06787330316742081,0.3710407239819004,False
apps_python_1,L2H14,MLP16,0.3031674208144796,0.10407239819004525,0.19909502262443435,False
apps_python_1,L2H14,MLP19,0.3031674208144796,0.2669683257918552,0.03619909502262442,False
apps_python_1,L16H8,MLP11,0.6538461538461539,0.6538461538461539,0.0,False
apps_python_1,L16H8,MLP16,0.6538461538461539,0.2986425339366516,0.3552036199095023,False
apps_python_1,L16H8,MLP19,0.6538461538461539,0.3936651583710407,0.26018099547511314,False
apps_python_1,L17H2,MLP11,0.20361990950226244,0.20361990950226244,0.0,False
apps_python_1,L17H2,MLP16,0.20361990950226244,0.20361990950226244,0.0,False
apps_python_1,L17H2,MLP19,0.20361990950226244,0.19909502262443438,0.004524886877828066,False
apps_python_1,L17H8,MLP11,0.19909502262443438,0.19909502262443438,0.0,False
apps_python_1,L17H8,MLP16,0.19909502262443438,0.19909502262443438,0.0,False
apps_python_1,L17H8,MLP19,0.19909502262443438,0.167420814479638,0.03167420814479638,False
apps_python_1,L20H5,MLP11,0.0,0.0,0.0,False
apps_python_1,L20H5,MLP16,0.0,0.0,0.0,False
apps_python_1,L20H5,MLP19,0.0,0.0,0.0,False
codecontests_cpp_1,L2H14,MLP11,0.0047169811320754715,0.05660377358490566,-0.05188679245283019,False
codecontests_cpp_1,L2H14,MLP16,0.0047169811320754715,-0.07075471698113207,0.07547169811320754,False
codecontests_cpp_1,L2H14,MLP19,0.0047169811320754715,-0.014150943396226415,0.018867924528301886,False
codecontests_cpp_1,L16H8,MLP11,0.20754716981132076,0.20754716981132076,0.0,False
codecontests_cpp_1,L16H8,MLP16,0.20754716981132076,0.05188679245283019,0.1556603773584906,False
codecontests_cpp_1,L16H8,MLP19,0.20754716981132076,0.1320754716981132,0.07547169811320756,False
codecontests_cpp_1,L17H2,MLP11,0.15566037735849056,0.15566037735849056,0.0,False
codecontests_cpp_1,L17H2,MLP16,0.15566037735849056,0.15566037735849056,0.0,False
codecontests_cpp_1,L17H2,MLP19,0.15566037735849056,0.15566037735849056,0.0,False
codecontests_cpp_1,L17H8,MLP11,0.24528301886792453,0.24528301886792453,0.0,False
codecontests_cpp_1,L17H8,MLP16,0.24528301886792453,0.24528301886792453,0.0,False
codecontests_cpp_1,L17H8,MLP19,0.24528301886792453,0.20754716981132076,0.037735849056603765,False
codecontests_cpp_1,L20H5,MLP11,0.4716981132075472,0.4716981132075472,0.0,False
codecontests_cpp_1,L20H5,MLP16,0.4716981132075472,0.4716981132075472,0.0,False
codecontests_cpp_1,L20H5,MLP19,0.4716981132075472,0.4716981132075472,0.0,False
codecontests_java_1,L2H14,MLP11,0.1330049261083744,0.12315270935960591,0.009852216748768475,False
codecontests_java_1,L2H14,MLP16,0.1330049261083744,0.07881773399014778,0.054187192118226604,False
codecontests_java_1,L2H14,MLP19,0.1330049261083744,0.07389162561576355,0.059113300492610835,False
codecontests_java_1,L16H8,MLP11,0.2660098522167488,0.2660098522167488,0.0,False
codecontests_java_1,L16H8,MLP16,0.2660098522167488,0.18226600985221675,0.08374384236453203,False
codecontests_java_1,L16H8,MLP19,0.2660098522167488,0.18719211822660098,0.0788177339901478,False
codecontests_java_1,L17H2,MLP11,0.2955665024630542,0.2955665024630542,0.0,False
codecontests_java_1,L17H2,MLP16,0.2955665024630542,0.2955665024630542,0.0,False
codecontests_java_1,L17H2,MLP19,0.2955665024630542,0.24630541871921183,0.04926108374384239,False
codecontests_java_1,L17H8,MLP11,0.3645320197044335,0.3645320197044335,0.0,False
codecontests_java_1,L17H8,MLP16,0.3645320197044335,0.3645320197044335,0.0,False
codecontests_java_1,L17H8,MLP19,0.3645320197044335,0.29064039408866993,0.07389162561576357,False
codecontests_java_1,L20H5,MLP11,0.32019704433497537,0.32019704433497537,0.0,False
codecontests_java_1,L20H5,MLP16,0.32019704433497537,0.32019704433497537,0.0,False
codecontests_java_1,L20H5,MLP19,0.32019704433497537,0.32019704433497537,0.0,False
mbpp_python_1,L2H14,MLP11,-0.09803921568627451,-0.09803921568627451,0.0,False
mbpp_python_1,L2H14,MLP16,-0.09803921568627451,-0.1323529411764706,0.03431372549019608,False
mbpp_python_1,L2H14,MLP19,-0.09803921568627451,-0.09803921568627451,0.0,False
mbpp_python_1,L16H8,MLP11,0.42892156862745096,0.42892156862745096,0.0,False
mbpp_python_1,L16H8,MLP16,0.42892156862745096,0.3382352941176471,0.09068627450980388,False
mbpp_python_1,L16H8,MLP19,0.42892156862745096,0.3382352941176471,0.09068627450980388,False
mbpp_python_1,L17H2,MLP11,0.5833333333333334,0.5833333333333334,0.0,False
mbpp_python_1,L17H2,MLP16,0.5833333333333334,0.5833333333333334,0.0,False
mbpp_python_1,L17H2,MLP19,0.5833333333333334,0.5563725490196079,0.026960784313725505,False
mbpp_python_1,L17H8,MLP11,0.553921568627451,0.553921568627451,0.0,False
mbpp_python_1,L17H8,MLP16,0.553921568627451,0.553921568627451,0.0,False
mbpp_python_1,L17H8,MLP19,0.553921568627451,0.42892156862745096,0.12500000000000006,False
mbpp_python_1,L20H5,MLP11,0.30392156862745096,0.30392156862745096,0.0,False
mbpp_python_1,L20H5,MLP16,0.30392156862745096,0.30392156862745096,0.0,False
mbpp_python_1,L20H5,MLP19,0.30392156862745096,0.30392156862745096,0.0,False
codecontests_java_2,L2H14,MLP11,0.12962962962962962,-0.05092592592592592,0.18055555555555555,False
codecontests_java_2,L2H14,MLP16,0.12962962962962962,0.037037037037037035,0.09259259259259259,False
codecontests_java_2,L2H14,MLP19,0.12962962962962962,0.08796296296296297,0.04166666666666666,False
codecontests_java_2,L16H8,MLP11,0.2037037037037037,0.2037037037037037,0.0,False
codecontests_java_2,L16H8,MLP16,0.2037037037037037,0.09259259259259259,0.1111111111111111,False
