stage_idx,nodes,rescue_ratio_median,decision_score_median,tool_top1_rate,boundary_flip_rate
1,L2H14,0.0415587219343696,-4.3693695068359375,0.0,0.0
2,L2H14|MLP11,0.35,-3.0606689453125,0.03716608594657375,0.036004645760743324
3,L2H14|MLP11|MLP16,0.576847365233192,-1.812255859375,0.13066202090592335,0.12659698025551683
4,L2H14|MLP11|MLP16|MLP19,0.8461131371562709,-0.234375,0.40476190476190477,0.4268292682926829
5,L2H14|MLP11|MLP16|MLP19|L20H5,0.9024094320560005,0.2939453125,0.5447154471544715,0.578397212543554
6,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1,0.9543373745819399,0.947265625,0.7386759581881533,0.8077816492450639
7,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12,0.9895271674010513,1.86962890625,0.9128919860627178,0.9587688734030198
8,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6,0.9926257225346091,2.059814453125,0.9465737514518002,0.9849012775842044
9,L2H14|MLP11|MLP16|MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,0.9981288101791763,2.66558837890625,0.9889663182346109,1.0
