sample_id,space,variant,semantic,frame,same_centroid_similarity,other_centroid_similarity,semantic_margin,semantic_correct
apps_python_1,l2h14_lead_k,tool_out,tool,out,0.8879476189613342,0.9009280800819397,-0.012980461120605469,False
apps_python_1,l2h14_lead_k,no_tool_out,no_tool,out,0.9485235810279846,0.9717559814453125,-0.02323240041732788,False
apps_python_1,l2h14_lead_k,tool_manually,tool,manually,0.9349220991134644,0.9822836518287659,-0.047361552715301514,False
apps_python_1,l2h14_lead_k,no_tool_manually,no_tool,manually,0.958713173866272,0.9546888470649719,0.004024326801300049,True
apps_python_1,l2h14_lead_k,tool_properly,tool,properly,0.93746417760849,0.9719774723052979,-0.03451329469680786,False
apps_python_1,l2h14_lead_k,no_tool_properly,no_tool,properly,0.9731860756874084,0.9666297435760498,0.006556332111358643,True
apps_python_1,l2h14_lead_k,original_clean,tool,original,0.9407511353492737,0.960882306098938,-0.020131170749664307,False
apps_python_1,l2h14_lead_k,original_corrupt,no_tool,original,0.9527003169059753,0.9579048752784729,-0.005204558372497559,False
apps_python_1,l2h14_z,tool_out,tool,out,0.9757971167564392,0.9804220199584961,-0.004624903202056885,False
apps_python_1,l2h14_z,no_tool_out,no_tool,out,0.9956233501434326,0.9983386993408203,-0.0027153491973876953,False
apps_python_1,l2h14_z,tool_manually,tool,manually,0.9937639832496643,0.9992566704750061,-0.005492687225341797,False
apps_python_1,l2h14_z,no_tool_manually,no_tool,manually,0.9983968138694763,0.9965186715126038,0.0018781423568725586,True
apps_python_1,l2h14_z,tool_properly,tool,properly,0.9900133609771729,0.9969512224197388,-0.006937861442565918,False
apps_python_1,l2h14_z,no_tool_properly,no_tool,properly,0.9976820349693298,0.995632529258728,0.0020495057106018066,True
apps_python_1,l2h14_z,original_clean,tool,original,0.9958887100219727,0.9987001419067383,-0.002811431884765625,False
apps_python_1,l2h14_z,original_corrupt,no_tool,original,0.9910963177680969,0.9933511018753052,-0.002254784107208252,False
apps_python_1,mlp11_out,tool_out,tool,out,0.9918345212936401,0.9875929355621338,0.004241585731506348,True
apps_python_1,mlp11_out,no_tool_out,no_tool,out,0.9934421181678772,0.9951968193054199,-0.0017547011375427246,False
apps_python_1,mlp11_out,tool_manually,tool,manually,0.9962134957313538,0.9931280612945557,0.0030854344367980957,True
apps_python_1,mlp11_out,no_tool_manually,no_tool,manually,0.9957554340362549,0.9932356476783752,0.0025197863578796387,True
apps_python_1,mlp11_out,tool_properly,tool,properly,0.9934463500976562,0.9956649541854858,-0.00221860408782959,False
apps_python_1,mlp11_out,no_tool_properly,no_tool,properly,0.9937439560890198,0.988761305809021,0.004982650279998779,True
apps_python_1,mlp11_out,original_clean,tool,original,0.9962197542190552,0.9933258891105652,0.0028938651084899902,True
apps_python_1,mlp11_out,original_corrupt,no_tool,original,0.9949831366539001,0.9900883436203003,0.0048947930335998535,True
apps_python_1,l2h14_lead_k_centered,tool_out,tool,out,-0.8035798072814941,-0.8081607818603516,0.004580974578857422,True
apps_python_1,l2h14_lead_k_centered,no_tool_out,no_tool,out,-0.5072348117828369,-0.1398133486509323,-0.3674214631319046,False
apps_python_1,l2h14_lead_k_centered,tool_manually,tool,manually,-0.7442458868026733,0.3522228002548218,-1.0964686870574951,False
apps_python_1,l2h14_lead_k_centered,no_tool_manually,no_tool,manually,-0.2581067979335785,-0.6101132035255432,0.3520064055919647,True
apps_python_1,l2h14_lead_k_centered,tool_properly,tool,properly,-0.6436856389045715,0.06805039942264557,-0.7117360383272171,False
apps_python_1,l2h14_lead_k_centered,no_tool_properly,no_tool,properly,-0.0898447036743164,-0.5953454375267029,0.5055007338523865,True
apps_python_1,l2h14_lead_k_centered,original_clean,tool,original,-0.346219003200531,0.34621888399124146,-0.6924378871917725,False
apps_python_1,l2h14_lead_k_centered,original_corrupt,no_tool,original,-0.10612980276346207,0.10612981021404266,-0.21225961297750473,False
apps_python_1,l2h14_z_centered,tool_out,tool,out,-0.8904567360877991,-0.8510372042655945,-0.03941953182220459,False
apps_python_1,l2h14_z_centered,no_tool_out,no_tool,out,-0.5707738995552063,0.0974370688199997,-0.668210968375206,False
apps_python_1,l2h14_z_centered,tool_manually,tool,manually,-0.8476090431213379,0.6553677916526794,-1.5029768347740173,False
apps_python_1,l2h14_z_centered,no_tool_manually,no_tool,manually,0.188121497631073,-0.7592533826828003,0.9473748803138733,True
apps_python_1,l2h14_z_centered,tool_properly,tool,properly,-0.7651824951171875,0.2727748453617096,-1.037957340478897,False
apps_python_1,l2h14_z_centered,no_tool_properly,no_tool,properly,0.15785780549049377,-0.8076072931289673,0.9654650986194611,True
apps_python_1,l2h14_z_centered,original_clean,tool,original,-0.6745310425758362,0.6745309233665466,-1.3490619659423828,False
apps_python_1,l2h14_z_centered,original_corrupt,no_tool,original,-0.2938728332519531,0.2938728928565979,-0.587745726108551,False
apps_python_1,mlp11_out_centered,tool_out,tool,out,0.004521399270743132,-0.7518438100814819,0.7563652093522251,True
apps_python_1,mlp11_out_centered,no_tool_out,no_tool,out,-0.23190519213676453,-0.23121756315231323,-0.0006876289844512939,False
