space,same_semantic_cross_frame_cosine_median,same_frame_opposite_semantic_cosine_median,semantic_minus_frame_cosine_median,semantic_wins_rate
l2h14_lead_k,0.923534611860911,0.9652994473775228,-0.04176333546638489,0.0
l2h14_lead_k_centered,-0.2947641449669997,0.48416238526503247,-0.7787182331085205,0.0
l2h14_z,0.988975316286087,0.9933319886525472,-0.004398629069328308,0.0
l2h14_z_centered,-0.23394445578257245,0.37652786324421567,-0.6111156257490317,0.0
mlp11_out,0.9932655096054077,0.993329922358195,-0.00019250810146337338,0.3995354239256678
mlp11_out_centered,-0.03830349328927696,-0.01928890155007442,-0.018476615039010845,0.45586527293844364
