variant,semantic,frame,n_samples,decision_score_median,tool_top1_rate,no_tool_top1_rate,l2h14_lead_density_median,l2h14_file_density_median,l2h14_function_density_median
original_clean,tool,original,20,3.390625,1.0,0.0,0.021268725395202637,0.009071444161236286,0.005651452345773578
original_corrupt,no_tool,original,20,-4.734375,0.0,1.0,0.045979660004377365,0.00854554632678628,0.00471884710714221
tool_out,tool,out,20,4.7451171875,1.0,0.0,0.03162209689617157,0.01040052343159914,0.009646072052419186
no_tool_out,no_tool,out,20,-3.121826171875,0.05,0.95,0.015851457603275776,0.010543948970735073,0.005565522238612175
tool_manually,tool,manually,20,2.283203125,0.9,0.1,0.013253120705485344,0.008492941036820412,0.003272822592407465
no_tool_manually,no_tool,manually,20,-4.3963623046875,0.05,0.95,0.014791981782764196,0.008016762789338827,0.0028278238605707884
tool_properly,tool,properly,20,3.4669342041015625,1.0,0.0,0.012466686312109232,0.008608109317719936,0.003078100853599608
no_tool_properly,no_tool,properly,20,-3.290313720703125,0.05,0.9,0.010533799882978201,0.008352741599082947,0.003232811111956835
