sample_id,space,variant,semantic,frame,same_centroid_similarity,other_centroid_similarity,semantic_margin,semantic_correct
apps_python_1,l2h14_lead_k,tool_out,tool,out,0.8879476189613342,0.9009280800819397,-0.012980461120605469,False
apps_python_1,l2h14_lead_k,no_tool_out,no_tool,out,0.9485235810279846,0.9717559814453125,-0.02323240041732788,False
apps_python_1,l2h14_lead_k,tool_manually,tool,manually,0.9349220991134644,0.9822836518287659,-0.047361552715301514,False
apps_python_1,l2h14_lead_k,no_tool_manually,no_tool,manually,0.958713173866272,0.9546888470649719,0.004024326801300049,True
apps_python_1,l2h14_lead_k,tool_properly,tool,properly,0.93746417760849,0.9719774723052979,-0.03451329469680786,False
apps_python_1,l2h14_lead_k,no_tool_properly,no_tool,properly,0.9731860756874084,0.9666297435760498,0.006556332111358643,True
apps_python_1,l2h14_lead_k,original_clean,tool,original,0.9407511353492737,0.960882306098938,-0.020131170749664307,False
apps_python_1,l2h14_lead_k,original_corrupt,no_tool,original,0.9527003169059753,0.9579048752784729,-0.005204558372497559,False
apps_python_1,l2h14_z,tool_out,tool,out,0.9757971167564392,0.9804220199584961,-0.004624903202056885,False
apps_python_1,l2h14_z,no_tool_out,no_tool,out,0.9956233501434326,0.9983386993408203,-0.0027153491973876953,False
apps_python_1,l2h14_z,tool_manually,tool,manually,0.9937639832496643,0.9992566704750061,-0.005492687225341797,False
apps_python_1,l2h14_z,no_tool_manually,no_tool,manually,0.9983968138694763,0.9965186715126038,0.0018781423568725586,True
apps_python_1,l2h14_z,tool_properly,tool,properly,0.9900133609771729,0.9969512224197388,-0.006937861442565918,False
apps_python_1,l2h14_z,no_tool_properly,no_tool,properly,0.9976820349693298,0.995632529258728,0.0020495057106018066,True
apps_python_1,l2h14_z,original_clean,tool,original,0.9958887100219727,0.9987001419067383,-0.002811431884765625,False
apps_python_1,l2h14_z,original_corrupt,no_tool,original,0.9910963177680969,0.9933511018753052,-0.002254784107208252,False
apps_python_1,mlp11_out,tool_out,tool,out,0.9918345212936401,0.9875929355621338,0.004241585731506348,True
apps_python_1,mlp11_out,no_tool_out,no_tool,out,0.9934421181678772,0.9951968193054199,-0.0017547011375427246,False
apps_python_1,mlp11_out,tool_manually,tool,manually,0.9962134957313538,0.9931280612945557,0.0030854344367980957,True
apps_python_1,mlp11_out,no_tool_manually,no_tool,manually,0.9957554340362549,0.9932356476783752,0.0025197863578796387,True
apps_python_1,mlp11_out,tool_properly,tool,properly,0.9934463500976562,0.9956649541854858,-0.00221860408782959,False
apps_python_1,mlp11_out,no_tool_properly,no_tool,properly,0.9937439560890198,0.988761305809021,0.004982650279998779,True
apps_python_1,mlp11_out,original_clean,tool,original,0.9962197542190552,0.9933258891105652,0.0028938651084899902,True
apps_python_1,mlp11_out,original_corrupt,no_tool,original,0.9949831366539001,0.9900883436203003,0.0048947930335998535,True
codecontests_cpp_1,l2h14_lead_k,tool_out,tool,out,0.8879207968711853,0.9008570909500122,-0.012936294078826904,False
codecontests_cpp_1,l2h14_lead_k,no_tool_out,no_tool,out,0.9484388828277588,0.9717683792114258,-0.023329496383666992,False
codecontests_cpp_1,l2h14_lead_k,tool_manually,tool,manually,0.9347832798957825,0.9822684526443481,-0.047485172748565674,False
codecontests_cpp_1,l2h14_lead_k,no_tool_manually,no_tool,manually,0.9585912823677063,0.9545993804931641,0.003991901874542236,True
codecontests_cpp_1,l2h14_lead_k,tool_properly,tool,properly,0.9374510645866394,0.9719817638397217,-0.034530699253082275,False
codecontests_cpp_1,l2h14_lead_k,no_tool_properly,no_tool,properly,0.9732096791267395,0.9666546583175659,0.006555020809173584,True
codecontests_cpp_1,l2h14_lead_k,original_clean,tool,original,0.9580861330032349,0.9008570909500122,0.057229042053222656,True
codecontests_cpp_1,l2h14_lead_k,original_corrupt,no_tool,original,0.9770863056182861,0.9717683792114258,0.0053179264068603516,True
codecontests_cpp_1,l2h14_z,tool_out,tool,out,0.9657268524169922,0.9725805521011353,-0.006853699684143066,False
codecontests_cpp_1,l2h14_z,no_tool_out,no_tool,out,0.9945040345191956,0.9964516162872314,-0.0019475817680358887,False
codecontests_cpp_1,l2h14_z,tool_manually,tool,manually,0.9888827204704285,0.9980830550193787,-0.009200334548950195,False
codecontests_cpp_1,l2h14_z,no_tool_manually,no_tool,manually,0.9973587989807129,0.9943314790725708,0.00302731990814209,True
codecontests_cpp_1,l2h14_z,tool_properly,tool,properly,0.9839437007904053,0.9931588172912598,-0.009215116500854492,False
codecontests_cpp_1,l2h14_z,no_tool_properly,no_tool,properly,0.9973213076591492,0.9941251277923584,0.0031961798667907715,True
codecontests_cpp_1,l2h14_z,original_clean,tool,original,0.9855069518089294,0.9725805521011353,0.01292639970779419,True
codecontests_cpp_1,l2h14_z,original_corrupt,no_tool,original,0.9976301789283752,0.9964516162872314,0.0011785626411437988,True
codecontests_cpp_1,mlp11_out,tool_out,tool,out,0.9941266775131226,0.9929174184799194,0.001209259033203125,True
codecontests_cpp_1,mlp11_out,no_tool_out,no_tool,out,0.9960259199142456,0.9966856241226196,-0.0006597042083740234,False
