node,layer,forward_support,reverse_support,shared_support_min,union_support_max,support_delta_reverse_minus_forward,direction_balance,forward_score_norm_median,reverse_score_norm_median
MLP27,27,0.9991336471252141,0.9987014951131101,0.9987014951131101,0.9991336471252141,-0.00043215201210400345,-0.00021631014640168518,0.799896265560166,0.8013698630136986
L24H6,24,0.9760582883418013,0.9957797831428289,0.9760582883418013,0.9957797831428289,0.019721494801027584,0.010001579280888384,0.6698113207547169,0.35867502726281353
L23H6,23,0.9959642258133011,0.9127237054768272,0.9127237054768272,0.9959642258133011,-0.08324052033647389,-0.04361138296725626,0.6650485436893204,0.24633390490479762
L21H12,21,0.9949428032697804,0.8643422132540395,0.8643422132540395,0.9949428032697804,-0.13060059001574087,-0.07024237212426743,1.0044247787610618,0.32741116751269034
MLP19,19,0.7212753936110661,0.7494127960104889,0.7212753936110661,0.7494127960104889,0.02813740239942286,0.019132133240740392,0.5619556316533909,0.43333333333333335
MLP16,16,0.7172545422232764,0.7560089867942641,0.7172545422232764,0.7560089867942641,0.038754444570987645,0.026305167953781766,0.6268074912891985,0.4782608695652174
MLP17,17,0.6767169657296629,0.9057047192260653,0.6767169657296629,0.9057047192260653,0.22898775349640244,0.1447071635035189,0.6442406742625253,0.5331539427853594
L17H8,17,0.5449212789903128,0.5978544813428781,0.5449212789903128,0.5978544813428781,0.05293320235256527,0.04631985048154321,0.4048507462686567,0.23378378378378378
L21H1,21,0.9526253131389218,0.5403076597047923,0.5403076597047923,0.9526253131389218,-0.4123176534341295,-0.27617961484818276,0.7977877844600925,0.2812293638564825
L20H5,20,0.4559221234413819,0.5094864917049154,0.4559221234413819,0.5094864917049154,0.05356436826353356,0.055483623642012404,0.4304812834224599,0.22659574468085106
MLP12,12,0.3465502522985187,0.4579060650175063,0.3465502522985187,0.4579060650175063,0.11135581271898759,0.13842369103460248,0.4967741935483871,0.4069767441860465
MLP11,11,0.4502542026223842,0.334057862486961,0.334057862486961,0.4502542026223842,-0.11619634013542318,-0.1481506473054493,0.49100215517241375,0.4343891402714932
L12H6,12,0.37038699495295085,0.3007476329445864,0.3007476329445864,0.37038699495295085,-0.06963936200836446,-0.10376362523049007,0.19442800788954634,0.14518229166666666
L13H9,13,0.2734880188975575,0.26908954528366685,0.26908954528366685,0.2734880188975575,-0.004398473613890674,-0.008106626414839292,0.18092986273853365,0.1145
L16H8,16,0.2653265680790519,0.7417331643310718,0.2653265680790519,0.7417331643310718,0.4764065962520199,0.47306687073255344,0.39644970414201186,0.25344036697247707
L16H4,16,0.25024722340729105,0.5265310257959674,0.25024722340729105,0.5265310257959674,0.2762838023886764,0.3556791177817617,0.39436619718309857,0.24111403508771928
MLP18,18,0.21971317173404217,0.20213975288546082,0.20213975288546082,0.21971317173404217,-0.01757341884858135,-0.04165769115961915,0.5598916852500797,0.4280106970324362
L17H2,17,0.1908703792276904,0.3731635561315512,0.1908703792276904,0.3731635561315512,0.18229317690386082,0.32319540629723914,0.370625528317836,0.24711794019933553
L18H14,18,0.3137995332748813,0.17774305904079762,0.17774305904079762,0.3137995332748813,-0.13605647423408368,-0.2767948828058126,0.3819162984075517,0.23969072164948454
MLP13,13,0.18145193207155336,0.17757736372529828,0.17757736372529828,0.18145193207155336,-0.003874568346255075,-0.010791788836216334,0.4894957983193277,0.3629032258064516
L2H14,2,0.4585891482342316,0.17696483837184993,0.17696483837184993,0.4585891482342316,-0.2816243098623816,-0.44311626674908,0.08626650832154167,0.06811379726361563
L17H12,17,0.17201209715066532,0.21101461291229193,0.17201209715066532,0.21101461291229193,0.03900251576162661,0.10182714347836436,0.39457831325301207,0.24407582938388625
MLP5,5,0.14569688841868403,0.13978987160017328,0.13978987160017328,0.14569688841868403,-0.005907016818510746,-0.02069103596300077,0.15889129187447587,0.14917127071823205
L2H15,2,0.13858978070174294,0.13980472863719692,0.13858978070174294,0.13980472863719692,0.001214947935453986,0.004364123194595088,0.05778894472361809,0.06337063671622495
L9H3,9,0.1587124933747536,0.13795581305123905,0.13795581305123905,0.1587124933747536,-0.020756680323514548,-0.06996595144784212,0.2099609375,0.1550029988004798
L13H3,13,0.13406942587508583,0.18071631719619055,0.13406942587508583,0.18071631719619055,0.04664689132110472,0.1481861626450552,0.18995098039215685,0.1498344370860927
MLP6,6,0.13115353426790374,0.13096609893857097,0.13096609893857097,0.13115353426790374,-0.00018743532933276907,-0.0007150755059432122,0.1944642291864514,0.13030591334894615
L10H2,10,0.16941886905975242,0.1219789628945918,0.1219789628945918,0.16941886905975242,-0.047439906165160625,-0.16280116378008413,0.19736842105263158,0.16326530612244897
L11H1,11,0.11001592755537032,0.16246410523158877,0.11001592755537032,0.16246410523158877,0.052448177676218455,0.1924844809352527,0.18908663620093483,0.1669603218645949
L20H14,20,0.10912014234957544,0.18067421671235748,0.10912014234957544,0.18067421671235748,0.07155407436278204,0.24691327531151142,0.49772727272727274,0.2102510460251046
L13H6,13,0.14282093813288319,0.10764387454267524,0.10764387454267524,0.14282093813288319,-0.035177063590207946,-0.14044712793958342,0.2722602739726027,0.2301762114537445
MLP20,20,0.10588214109099581,0.17261474368307322,0.10588214109099581,0.17261474368307322,0.06673260259207742,0.23961705225612964,0.41667278871583896,0.26907630522088355
MLP4,4,0.1354636252302764,0.10577435471976171,0.10577435471976171,0.1354636252302764,-0.029689270510514704,-0.12307046559030023,0.16260608938215917,0.13125
L6H0,6,0.12215311889903911,0.10368647125851567,0.10368647125851567,0.12215311889903911,-0.018466647640523443,-0.08176886801663237,0.05137434554973822,0.05910707131410256
MLP3,3,0.10001746234555252,0.11117387385765337,0.10001746234555252,0.11117387385765337,0.011156411512100853,0.052826085163674895,0.1826984126984127,0.12980769230769232
L16H9,16,0.09795488950796552,0.18251534720651336,0.09795488950796552,0.18251534720651336,0.08456045769854784,0.3014952983572054,0.4882299229432987,0.21987152632313922
