step_idx,nodes,rescue_ratio_median,decision_score_median,tool_top1_rate,boundary_flip_rate
1,L20H5,0.3048128342245989,-3.051513671875,0.005723630417007359,0.0024529844644317253
2,L20H5|L21H1,0.723744292237443,-0.984375,0.20032706459525756,0.19705641864268192
3,L20H5|L21H1|L21H12,0.9417682926829268,0.693359375,0.6950122649223222,0.7424366312346689
4,L20H5|L21H1|L21H12|L24H6,0.971318493150685,1.2578125,0.8552739165985282,0.9182338511856092
5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9910451061320755,1.928955078125,0.9394930498773508,0.9934587080948487
