step_idx,nodes,rescue_ratio_median,decision_score_median,no_tool_top1_rate,boundary_flip_rate
1,L16H4,0.19680851063829788,-2.492919921875,0.01062959934587081,0.0008176614881439084
2,L16H4|MLP17,0.6055555555555555,-0.9951171875,0.2542927228127555,0.18070318887980377
3,L16H4|MLP17|L23H6,0.7924528301886793,-0.0859375,0.5167620605069502,0.473426001635323
