target,n_samples,source_route_ratio_median,blocked_route_ratio_median,route_mediated_ratio_median,target_local_rescue_median
L20H5,1722,0.33465257514432734,0.29185610873594836,0.0440541387959866,0.4975137710571289
L21H1,1722,0.33465257514432734,0.27123314950980393,0.0646701029654806,0.49271973967552185
L21H12,1722,0.33465257514432734,0.28091505155308044,0.057804279843753525,0.26039817929267883
L24H6,1722,0.33465257514432734,0.2124863090221075,0.11943143234406442,0.7208084017038345
MLP27,1722,0.33465257514432734,0.18989001251042537,0.1454015832523486,0.5356073379516602
