step_idx,step_label,nodes,n_samples,route_margin_median,tool_logit_median,competitor_logit_median,margin_logit_median,tool_prob_median,tool_top1_rate,boundary_flip_rate
0,corrupt_full,,1722,-4.5625,19.0,24.125,-5.0,0.0053863525390625,0.0,0.0
1,plus_MLP19,MLP19,1722,-1.923583984375,20.25,22.625,-2.25,0.078125,0.044715447154471545,0.0313588850174216
2,plus_L20H5,MLP19|L20H5,1722,-1.09912109375,20.625,22.0,-1.375,0.177734375,0.15040650406504066,0.12833914053426249
3,plus_L21H1,MLP19|L20H5|L21H1,1722,0.1171875,21.25,21.125,0.125,0.47265625,0.502903600464576,0.5493612078977933
4,plus_L21H12,MLP19|L20H5|L21H1|L21H12,1722,1.431396484375,21.875,20.125,1.5,0.79296875,0.859465737514518,0.9198606271777003
5,plus_L24H6,MLP19|L20H5|L21H1|L21H12|L24H6,1722,1.7470703125,21.75,19.75,1.875,0.84375,0.9233449477351916,0.9761904761904762
6,plus_MLP27,MLP19|L20H5|L21H1|L21H12|L24H6|MLP27,1722,2.30084228515625,22.25,19.625,2.5,0.904296875,0.9767711962833914,0.9988385598141696
