sample_id,sample_rank,q_index,filename,weight,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,ap_mode
apps_python_1,1,,apps_python_1.txt,1.0,6.625,1.0188679245283019,1.0,full
codecontests_cpp_1,2,,codecontests_cpp_1.txt,0.9045368620037807,11.5,0.9565217391304348,0.9456521739130435,full
codecontests_java_1,3,,codecontests_java_1.txt,0.9512422091412743,19.0,0.9703947368421053,0.9802631578947368,full
mbpp_python_1,4,,mbpp_python_1.txt,1.0,5.875,1.0,1.0,full
codecontests_java_2,5,,codecontests_java_2.txt,0.9030487207136555,12.625,0.9306930693069307,0.9702970297029703,full
codecontests_cpp_3,6,,codecontests_cpp_3.txt,1.0,5.875,1.0,1.0212765957446808,full
codecontests_java_3,7,,codecontests_java_3.txt,0.898304,15.625,0.928,0.968,full
apps_python_4,8,,apps_python_4.txt,1.0,9.625,1.0389610389610389,1.0909090909090908,full
codecontests_cpp_4,9,,codecontests_cpp_4.txt,1.0,8.125,1.0,1.0,full
codecontests_java_4,10,,codecontests_java_4.txt,0.8987111111111111,18.75,0.9233333333333333,0.9733333333333334,full
mbpp_python_4,11,,mbpp_python_4.txt,1.0,7.125,1.087719298245614,1.2105263157894737,full
apps_python_5,12,,apps_python_5.txt,1.0,7.0,1.0178571428571428,1.0178571428571428,full
codecontests_cpp_5,13,,codecontests_cpp_5.txt,0.9830508474576272,7.375,1.0,0.9830508474576272,full
codecontests_java_5,14,,codecontests_java_5.txt,1.0,12.8125,1.0829268292682928,1.0682926829268293,full
codecontests_cpp_6,15,,codecontests_cpp_6.txt,1.0,7.25,1.0517241379310345,1.0344827586206897,full
codecontests_java_6,16,,codecontests_java_6.txt,1.0,13.4375,1.0046511627906978,1.0,full
codecontests_java_7,17,,codecontests_java_7.txt,0.9226108033240997,9.5,0.9605263157894737,0.9605263157894737,full
apps_python_8,18,,apps_python_8.txt,0.9583333333333334,6.0,1.0,0.9583333333333334,full
apps_python_9,19,,apps_python_9.txt,1.0,7.5,1.0666666666666667,1.05,full
codecontests_cpp_9,20,,codecontests_cpp_9.txt,1.0,6.875,1.0363636363636364,1.0,full
codecontests_java_9,21,,codecontests_java_9.txt,0.8356290174471993,12.375,0.9191919191919192,0.9090909090909091,full
apps_python_10,22,,apps_python_10.txt,1.0,6.125,1.0816326530612246,1.0612244897959184,full
codecontests_cpp_11,23,,codecontests_cpp_11.txt,0.9370755998189226,5.875,0.9574468085106383,0.9787234042553191,full
codecontests_java_11,24,,codecontests_java_11.txt,0.8130577037477691,10.25,0.8658536585365854,0.9390243902439024,full
humaneval_python_11,25,,humaneval_python_11.txt,1.0,5.75,1.0217391304347827,1.0217391304347827,full
mbpp_python_11,26,,mbpp_python_11.txt,1.0,5.75,1.065217391304348,1.0,full
codecontests_cpp_12,27,,codecontests_cpp_12.txt,0.9333333333333333,5.625,1.0,0.9333333333333333,full
codecontests_java_12,28,,codecontests_java_12.txt,0.9839357429718876,15.5625,1.0040160642570282,0.9839357429718876,full
apps_python_13,29,,apps_python_13.txt,0.9272727272727272,6.875,0.9272727272727272,1.0,full
codecontests_java_13,30,,codecontests_java_13.txt,1.0,12.125,1.175257731958763,1.1134020618556701,full
apps_python_14,31,,apps_python_14.txt,1.0,8.375,1.0597014925373134,1.1343283582089552,full
codecontests_cpp_14,32,,codecontests_cpp_14.txt,0.9409668077522833,8.375,0.9552238805970149,0.9850746268656716,full
codecontests_java_14,33,,codecontests_java_14.txt,0.9393659587565404,14.25,0.956140350877193,0.9824561403508771,full
codecontests_cpp_15,34,,codecontests_cpp_15.txt,0.9505555555555555,7.5,0.9666666666666667,0.9833333333333333,full
codecontests_java_15,35,,codecontests_java_15.txt,1.0,15.1875,1.1111111111111112,1.0329218106995885,full
apps_python_16,36,,apps_python_16.txt,1.0,6.625,1.0943396226415094,1.0377358490566038,full
codecontests_cpp_16,37,,codecontests_cpp_16.txt,1.0,6.25,1.06,1.02,full
codecontests_java_16,38,,codecontests_java_16.txt,0.8213333333333334,9.375,0.88,0.9333333333333333,full
apps_python_17,39,,apps_python_17.txt,1.0,7.25,1.0172413793103448,1.0344827586206897,full
codecontests_cpp_17,40,,codecontests_cpp_17.txt,0.9848484848484849,8.25,1.0151515151515151,0.9848484848484849,full
codecontests_java_17,41,,codecontests_java_17.txt,0.9228669751987659,19.875,0.9528301886792453,0.9685534591194969,full
mbpp_python_17,42,,mbpp_python_17.txt,0.9341666666666666,7.5,0.95,0.9833333333333333,full
codecontests_cpp_18,43,,codecontests_cpp_18.txt,0.9183333333333333,7.5,0.95,0.9666666666666667,full
codecontests_java_18,44,,codecontests_java_18.txt,0.9855072463768116,8.625,1.0289855072463767,0.9855072463768116,full
humaneval_python_18,45,,humaneval_python_18.txt,1.0,5.875,1.0,1.0,full
codecontests_java_19,46,,codecontests_java_19.txt,0.992,15.625,1.0,0.992,full
apps_python_20,47,,apps_python_20.txt,1.0,6.125,1.1428571428571428,1.1224489795918366,full
codecontests_cpp_20,48,,codecontests_cpp_20.txt,0.9042675893886967,6.375,0.9607843137254902,0.9411764705882353,full
codecontests_java_20,49,,codecontests_java_20.txt,0.846,12.5,0.9,0.94,full
humaneval_python_21,50,,humaneval_python_21.txt,1.0,6.75,1.0925925925925926,1.0555555555555556,full
