sample_id,family,node,rescue_ratio,decision_score,tool_top1,no_tool_top1,boundary_flip
codecontests_cpp_1,no_tool,MLP17,0.23232323232323232,4.74591064453125,True,False,False
codecontests_cpp_1,tool,L18H14,0.25,-4.9598388671875,False,True,False
codecontests_cpp_1,no_tool,L18H14,0.005050505050505051,6.156230807304382,True,False,False
codecontests_cpp_1,tool,MLP19,0.6320754716981132,-2.35205078125,False,True,False
codecontests_cpp_1,no_tool,MLP19,0.20707070707070707,4.903045654296875,True,False,False
codecontests_cpp_1,tool,L20H5,0.4716981132075472,-3.4720458984375,False,True,False
codecontests_cpp_1,no_tool,L20H5,0.10606060606060606,5.530628204345703,True,False,False
codecontests_cpp_1,tool,L21H1,0.8443396226415094,-0.595703125,False,True,False
codecontests_cpp_1,no_tool,L21H1,0.15151515151515152,5.248619079589844,True,False,False
codecontests_cpp_1,tool,L21H12,0.8466981132075472,-0.564453125,False,True,False
codecontests_cpp_1,no_tool,L21H12,0.15151515151515152,5.248390197753906,True,False,False
codecontests_cpp_1,tool,MLP21,0.6297169811320755,-2.3642578125,False,True,False
codecontests_cpp_1,no_tool,MLP21,0.08080808080808081,5.687160491943359,True,False,False
codecontests_cpp_1,tool,L23H5,0.37735849056603776,-4.112548828125,False,True,False
codecontests_cpp_1,no_tool,L23H5,0.020202020202020204,6.062368392944336,True,False,False
codecontests_cpp_1,tool,L23H6,0.6556603773584906,-2.16845703125,False,True,False
codecontests_cpp_1,no_tool,L23H6,0.15151515151515152,5.248649597167969,True,False,False
codecontests_cpp_1,tool,L24H6,0.5778301886792453,-2.734619140625,False,True,False
codecontests_cpp_1,no_tool,L24H6,0.20707070707070707,4.903045654296875,True,False,False
codecontests_cpp_1,tool,MLP27,0.8844339622641509,-0.109375,False,True,False
codecontests_cpp_1,no_tool,MLP27,0.702020202020202,1.6640625,True,False,False
codecontests_java_1,tool,L2H14,0.1330049261083744,-10.994598388671875,False,True,False
codecontests_java_1,no_tool,L2H14,0.01818181818181818,6.749989449977875,True,False,False
codecontests_java_1,tool,MLP11,0.5024630541871922,-6.2926025390625,False,True,False
codecontests_java_1,no_tool,MLP11,0.2727272727272727,4.994964599609375,True,False,False
codecontests_java_1,tool,L12H6,0.11330049261083744,-11.23590087890625,False,True,False
codecontests_java_1,no_tool,L12H6,0.1,6.187099456787109,True,False,False
codecontests_java_1,tool,MLP12,0.13793103448275862,-10.869140625,False,True,False
codecontests_java_1,no_tool,MLP12,0.2818181818181818,4.931640625,True,False,False
codecontests_java_1,tool,L13H9,0.03940886699507389,-12.185958862304688,False,True,False
codecontests_java_1,no_tool,L13H9,0.04090909090909091,6.593705415725708,True,False,False
codecontests_java_1,tool,L15H5,-0.009852216748768473,-12.8048095703125,False,True,False
codecontests_java_1,no_tool,L15H5,0.0,6.8749968856573105,True,False,False
codecontests_java_1,tool,L16H13,0.06403940886699508,-11.852783203125,False,True,False
codecontests_java_1,no_tool,L16H13,0.11363636363636363,6.093238830566406,True,False,False
codecontests_java_1,tool,L16H4,0.3448275862068966,-8.296875,False,True,False
codecontests_java_1,no_tool,L16H4,0.32272727272727275,4.648529052734375,True,False,False
codecontests_java_1,tool,L16H8,0.2660098522167488,-9.310150146484375,False,True,False
codecontests_java_1,no_tool,L16H8,0.14545454545454545,5.873931884765625,True,False,False
codecontests_java_1,tool,L16H9,0.17733990147783252,-10.4144287109375,False,True,False
