sample_id,family,edge,source_ratio,blocked_ratio,mediated_ratio
apps_python_1,tool,L20H5->L21H1,0.0,-0.03167420814479638,0.03167420814479638
apps_python_1,tool,L20H5->L21H12,0.0,0.0,0.0
apps_python_1,tool,L21H1->L24H6,0.6266968325791855,0.45248868778280543,0.17420814479638008
apps_python_1,tool,L21H1->MLP27,0.6266968325791855,0.33031674208144796,0.29638009049773756
apps_python_1,tool,L21H12->L24H6,0.45701357466063347,0.36199095022624433,0.09502262443438914
apps_python_1,tool,L21H12->MLP27,0.45701357466063347,0.23529411764705882,0.22171945701357465
apps_python_1,tool,L24H6->MLP27,0.5475113122171946,0.23529411764705882,0.3122171945701358
apps_python_1,no_tool,L16H4->MLP17,0.11827956989247312,0.043010752688172046,0.07526881720430108
apps_python_1,no_tool,MLP17->L23H6,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,no_tool,MLP17->L20H5,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,no_tool,MLP17->L21H1,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,no_tool,MLP17->L21H12,0.7661290322580645,0.7217741935483871,0.04435483870967738
apps_python_1,no_tool,MLP17->L24H6,0.7661290322580645,0.7217741935483871,0.04435483870967738
codecontests_cpp_1,tool,L20H5->L21H1,0.4716981132075472,0.37735849056603776,0.09433962264150941
codecontests_cpp_1,tool,L20H5->L21H12,0.4716981132075472,0.32547169811320753,0.14622641509433965
codecontests_cpp_1,tool,L21H1->L24H6,0.8443396226415094,0.6179245283018868,0.2264150943396226
codecontests_cpp_1,tool,L21H1->MLP27,0.8443396226415094,0.4528301886792453,0.3915094339622641
codecontests_cpp_1,tool,L21H12->L24H6,0.8466981132075472,0.6367924528301887,0.20990566037735847
codecontests_cpp_1,tool,L21H12->MLP27,0.8466981132075472,0.4716981132075472,0.375
codecontests_cpp_1,tool,L24H6->MLP27,0.5778301886792453,0.2783018867924528,0.29952830188679247
codecontests_cpp_1,no_tool,L16H4->MLP17,0.10606060606060606,0.06060606060606061,0.045454545454545456
codecontests_cpp_1,no_tool,MLP17->L23H6,0.23232323232323232,0.1717171717171717,0.06060606060606061
codecontests_cpp_1,no_tool,MLP17->L20H5,0.23232323232323232,0.21212121212121213,0.020202020202020193
codecontests_cpp_1,no_tool,MLP17->L21H1,0.23232323232323232,0.1919191919191919,0.040404040404040414
codecontests_cpp_1,no_tool,MLP17->L21H12,0.23232323232323232,0.1919191919191919,0.040404040404040414
codecontests_cpp_1,no_tool,MLP17->L24H6,0.23232323232323232,0.21212121212121213,0.020202020202020193
codecontests_java_1,tool,L20H5->L21H1,0.32019704433497537,0.27586206896551724,0.04433497536945813
codecontests_java_1,tool,L20H5->L21H12,0.32019704433497537,0.18719211822660098,0.1330049261083744
codecontests_java_1,tool,L21H1->L24H6,0.6600985221674877,0.3645320197044335,0.29556650246305416
codecontests_java_1,tool,L21H1->MLP27,0.6600985221674877,0.33004926108374383,0.33004926108374383
codecontests_java_1,tool,L21H12->L24H6,0.9227216748768473,0.6527093596059114,0.27001231527093594
codecontests_java_1,tool,L21H12->MLP27,0.9227216748768473,0.5197044334975369,0.4030172413793104
codecontests_java_1,tool,L24H6->MLP27,0.6748768472906403,0.33497536945812806,0.3399014778325123
codecontests_java_1,no_tool,L16H4->MLP17,0.32272727272727275,0.15,0.17272727272727276
codecontests_java_1,no_tool,MLP17->L23H6,0.4636363636363636,0.35909090909090907,0.10454545454545455
codecontests_java_1,no_tool,MLP17->L20H5,0.4636363636363636,0.43863636363636366,0.024999999999999967
codecontests_java_1,no_tool,MLP17->L21H1,0.4636363636363636,0.39090909090909093,0.0727272727272727
codecontests_java_1,no_tool,MLP17->L21H12,0.4636363636363636,0.35,0.11363636363636365
codecontests_java_1,no_tool,MLP17->L24H6,0.4636363636363636,0.42727272727272725,0.036363636363636376
