sample_id,family,step_idx,nodes,rescue_ratio,decision_score,tool_top1,no_tool_top1,boundary_flip
apps_python_1,tool,1,L20H5,0.0,-3.4525108337402344,False,True,False
apps_python_1,tool,2,L20H5|L21H1,0.6312217194570136,-1.10546875,False,True,False
apps_python_1,tool,3,L20H5|L21H1|L21H12,0.7941176470588235,-0.296875,False,True,False
apps_python_1,tool,4,L20H5|L21H1|L21H12|L24H6,0.9066742081447964,0.509765625,True,False,True
apps_python_1,tool,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.920814479638009,0.6796875,True,False,True
apps_python_1,no_tool,1,L16H4,0.11827956989247312,2.5584716796875,True,False,False
apps_python_1,no_tool,2,L16H4|MLP17,0.7688172043010753,0.220703125,True,False,False
apps_python_1,no_tool,3,L16H4|MLP17|L23H6,0.9099462365591398,-0.81640625,False,True,True
codecontests_cpp_1,tool,1,L20H5,0.4716981132075472,-3.4720458984375,False,True,False
codecontests_cpp_1,tool,2,L20H5|L21H1,0.9442806603773585,0.794921875,True,False,True
codecontests_cpp_1,tool,3,L20H5|L21H1|L21H12,0.9896816037735849,2.556640625,True,False,True
codecontests_cpp_1,tool,4,L20H5|L21H1|L21H12|L24H6,0.9931087853773585,2.938720703125,True,False,True
codecontests_cpp_1,tool,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9975862323113207,3.8277587890625,True,False,True
codecontests_cpp_1,no_tool,1,L16H4,0.10606060606060606,5.530670166015625,True,False,False
codecontests_cpp_1,no_tool,2,L16H4|MLP17,0.3661616161616162,3.90728759765625,True,False,False
codecontests_cpp_1,no_tool,3,L16H4|MLP17|L23H6,0.5732323232323232,2.57373046875,True,False,False
codecontests_java_1,tool,1,L20H5,0.32019704433497537,-8.62054443359375,False,True,False
codecontests_java_1,tool,2,L20H5|L21H1,0.8029556650246306,-2.3671875,False,True,False
codecontests_java_1,tool,3,L20H5|L21H1|L21H12,0.9923029556650246,2.37109375,True,False,True
codecontests_java_1,tool,4,L20H5|L21H1|L21H12|L24H6,0.9953432881773399,2.86279296875,True,False,True
codecontests_java_1,tool,5,L20H5|L21H1|L21H12|L24H6|MLP27,0.9992302955665024,4.490234375,True,False,True
codecontests_java_1,no_tool,1,L16H4,0.32272727272727275,4.648529052734375,True,False,False
codecontests_java_1,no_tool,2,L16H4|MLP17,0.7068181818181818,1.8564453125,True,False,False
codecontests_java_1,no_tool,3,L16H4|MLP17|L23H6,0.9119318181818182,-0.359375,False,True,True
