family,node,layer,group_key,semantic_hint,rescue_ratio_median,decision_score_median,tool_top1_rate,no_tool_top1_rate,boundary_flip_rate,n_samples
no_tool,MLP27,27,symmetric_backbone,shared writer MLP,0.8096846846846847,-0.1171875,0.41618969746524936,0.5421095666394112,0.544562551103843,1223
no_tool,MLP17,17,no_tool_bias_backbone,no-tool-biased writer MLP,0.47354497354497355,1.4853515625,0.8405560098119379,0.15699100572363042,0.08994276369582993,1223
no_tool,MLP16,16,symmetric_backbone,shared writer MLP,0.4318181818181818,1.7119140625,0.883892068683565,0.11365494685200327,0.06050695012264922,1223
no_tool,L24H6,24,symmetric_backbone,format/prefix router,0.4264705882352941,1.67431640625,0.8961569910057237,0.09975470155355683,0.04333605887162715,1223
no_tool,L21H12,21,tool_bias_backbone,format/prefix router,0.3711340206185567,1.87109375,0.9247751430907605,0.0686835650040883,0.02616516762060507,1223
no_tool,L23H6,23,tool_bias_backbone,tool-biased router,0.28160919540229884,2.2398681640625,0.9811937857726901,0.017988552739165987,0.0008176614881439084,1223
no_tool,L21H1,21,tool_bias_backbone,format/prefix router,0.2639593908629442,2.26629638671875,0.9648405560098119,0.033524121013900246,0.0024529844644317253,1223
no_tool,MLP12,12,no_tool_bias_backbone,no-tool-biased writer MLP,0.22707423580786026,2.385498046875,0.9648405560098119,0.03188879803761243,0.018806214227309895,1223
no_tool,L16H8,16,no_tool_bias_backbone,no-tool-biased router,0.21338912133891214,2.4186553955078125,0.9721995094031071,0.02698282910874898,0.0024529844644317253,1223
no_tool,L16H4,16,no_tool_bias_backbone,no-tool-biased router,0.19680851063829788,2.492919921875,0.9885527391659853,0.01062959934587081,0.0008176614881439084,1223
no_tool,L20H5,20,symmetric_backbone,user-content reader,0.19424460431654678,2.4974365234375,0.9885527391659853,0.009811937857726901,0.0,1223
no_tool,L17H2,17,no_tool_tail,no-tool-tail router,0.16666666666666666,2.608642578125,0.9877350776778414,0.011447260834014717,0.001635322976287817,1223
no_tool,L16H13,16,no_tool_tail,user-content reader,0.11386138613861387,2.825225830078125,0.9910057236304171,0.008994276369582993,0.0,1223
no_tool,L16H9,16,no_tool_tail,no-tool-tail router,0.06535947712418301,2.968170166015625,0.9942763695829926,0.005723630417007359,0.0,1223
no_tool,L15H5,15,no_tool_tail,no-tool-tail router,0.03597122302158273,3.071380615234375,0.9910057236304171,0.008994276369582993,0.0,1223
tool,MLP27,27,symmetric_backbone,shared writer MLP,0.8073394495412844,-0.525390625,0.28618152085036797,0.7089125102207686,0.27309893704006544,1223
tool,L21H12,21,tool_bias_backbone,format/prefix router,0.7052238805970149,-1.1884765625,0.1553556827473426,0.8413736713000818,0.13900245298446443,1223
tool,L24H6,24,symmetric_backbone,format/prefix router,0.5741626794258373,-1.92138671875,0.004088307440719542,0.9910057236304171,0.0,1223
tool,L21H1,21,tool_bias_backbone,format/prefix router,0.5683760683760684,-1.7431640625,0.05478331970564186,0.9403107113654947,0.035977105478331974,1223
tool,MLP17,17,no_tool_bias_backbone,no-tool-biased writer MLP,0.5522388059701493,-1.86328125,0.09566639411283728,0.8716271463614064,0.0874897792313982,1223
tool,L23H6,23,tool_bias_backbone,tool-biased router,0.5229885057471264,-2.0576171875,0.02698282910874898,0.9672935404742437,0.011447260834014717,1223
tool,MLP16,16,symmetric_backbone,shared writer MLP,0.5219298245614035,-2.072509765625,0.07604251839738348,0.8757154538021259,0.07277187244480784,1223
tool,L20H5,20,symmetric_backbone,user-content reader,0.3048128342245989,-3.051513671875,0.005723630417007359,0.9885527391659853,0.0024529844644317253,1223
tool,L16H8,16,no_tool_bias_backbone,no-tool-biased router,0.2681818181818182,-3.270751953125,0.0008176614881439084,0.9942763695829926,0.0,1223
tool,MLP12,12,no_tool_bias_backbone,no-tool-biased writer MLP,0.2553191489361702,-3.47705078125,0.023712183156173343,0.9672935404742437,0.014717906786590351,1223
tool,L16H4,16,no_tool_bias_backbone,no-tool-biased router,0.2524271844660194,-3.34149169921875,0.001635322976287817,0.9910057236304171,0.0,1223
tool,L17H2,17,no_tool_tail,no-tool-tail router,0.24822695035460993,-3.40966796875,0.0,0.9967293540474244,0.0,1223
tool,L16H13,16,no_tool_tail,user-content reader,0.12962962962962962,-3.929840087890625,0.0,0.9959116925592805,0.0,1223
tool,L16H9,16,no_tool_tail,no-tool-tail router,0.08992805755395683,-4.20904541015625,0.0,0.9942763695829926,0.0,1223
tool,L15H5,15,no_tool_tail,no-tool-tail router,0.07112970711297072,-4.3101959228515625,0.0,0.9950940310711366,0.0,1223
