head,layer,set,n,tool_mass_median,no_tool_mass_median,delta_median_no_minus_tool,tool_mass_mean,no_tool_mass_mean
L2H14,2,contrast,60,0.011786721646785736,0.015290786512196064,0.003504064865410328,0.01586166527122259,0.01924228685287138
L2H14,2,prefix_16,60,0.138877235352993,0.13108865916728973,-0.007788576185703278,0.1374791377534469,0.13213731634120146
L2H14,2,recent_32,60,0.13150212168693542,0.12091843783855438,-0.010583683848381042,0.12287983186542988,0.11664714055756728
L2H14,2,tool_call_tags,60,0.003243697341531515,0.0030869973124936223,-0.00015670002903789282,0.003381452668691054,0.003263567919687678
L2H14,2,tools_block,60,0.14484689384698868,0.1332780420780182,-0.01156885176897049,0.14480970986187458,0.14093792165319124
L2H14,2,user_block,60,0.3154173642396927,0.3654467761516571,0.050029411911964417,0.32041351025303205,0.3435714532931646
L11H1,11,contrast,60,0.006156952120363712,0.006105030188336968,-5.192193202674389e-05,0.006487776009938291,0.00943845374895318
L11H1,11,prefix_16,60,0.20068548619747162,0.18776727467775345,-0.01291821151971817,0.2026458812256654,0.1879564938445886
L11H1,11,recent_32,60,0.45425204932689667,0.4350568950176239,-0.019195154309272766,0.45046887000401814,0.43320571233828864
L11H1,11,tool_call_tags,60,0.0016812218818813562,0.001610715757124126,-7.050612475723028e-05,0.0018891711632022634,0.0018248690253434082
L11H1,11,tools_block,60,0.019853399135172367,0.016968540847301483,-0.002884858287870884,0.020266078567753237,0.01747663466570278
L11H1,11,user_block,60,0.15590881556272507,0.201124906539917,0.045216090977191925,0.1602816483626763,0.21930780857801438
L13H6,13,contrast,60,0.0029255510307848454,0.007664138916879892,0.004738587886095047,0.005200404609786347,0.011002888274379074
L13H6,13,prefix_16,60,0.0760076679289341,0.08098302781581879,0.004975359886884689,0.07739423668632904,0.08068415864060323
L13H6,13,recent_32,60,0.3285330682992935,0.34374769032001495,0.015214622020721436,0.33358431458473203,0.3457081772387028
L13H6,13,tool_call_tags,60,0.0058838224504143,0.0057828950230032206,-0.0001009274274110794,0.00609510672899584,0.0059310046102230745
L13H6,13,tools_block,60,0.06390107050538063,0.060938308015465736,-0.002962762489914894,0.06650001785407464,0.06298481977234284
L13H6,13,user_block,60,0.18559300899505615,0.2657696157693863,0.08017660677433014,0.1946020162353913,0.26459860304991406
L16H4,16,contrast,60,0.012349806725978851,0.0068550631403923035,-0.005494743585586548,0.012913225368053342,0.007857992632004122
L16H4,16,prefix_16,60,0.11116315051913261,0.10706096887588501,-0.004102181643247604,0.12689114324748516,0.1188713817546765
L16H4,16,recent_32,60,0.6060146689414978,0.6165165901184082,0.0105019211769104,0.6041512553890546,0.5942100182175636
L16H4,16,tool_call_tags,60,0.00014390898286364973,0.00013955760368844494,-4.351379175204784e-06,0.00016398207129289706,0.00014421559626498492
L16H4,16,tools_block,60,0.022754383273422718,0.017817994579672813,-0.004936388693749905,0.023635528221105536,0.018788864991317194
L16H4,16,user_block,60,0.4519043564796448,0.5268707573413849,0.07496640086174011,0.45804704080025355,0.5290745442112287
L16H8,16,contrast,60,0.004811873659491539,0.003112563514150679,-0.0016993101453408599,0.005301930922238777,0.0032556294669727017
L16H8,16,prefix_16,60,0.0560977216809988,0.06379495933651924,0.007697237655520439,0.05791917101790508,0.06233437564224005
L16H8,16,recent_32,60,0.23615142703056335,0.25820839405059814,0.02205696702003479,0.23540623734394708,0.2652270438770453
L16H8,16,tool_call_tags,60,0.0015723778051324189,0.00199952838011086,0.000427150574978441,0.0015866334055317567,0.00210123604532176
L16H8,16,tools_block,60,0.29481375217437744,0.23505282402038574,-0.0597609281539917,0.29753625641266507,0.241214440514644
L16H8,16,user_block,60,0.3909246176481247,0.4359889477491379,0.045064330101013184,0.388650573293368,0.44269612928231555
L17H2,17,contrast,60,0.004075190285220742,0.0028642868855968118,-0.0012109033996239305,0.0043855640998420615,0.0055713413108605895
L17H2,17,prefix_16,60,0.18556205928325653,0.22354382276535034,0.03798176348209381,0.1873828279475371,0.2245754820605119
L17H2,17,recent_32,60,0.20205199718475342,0.2403528019785881,0.038300804793834686,0.20149594595034917,0.231344789514939
