sample_id,sample_rank,q_index,filename,direction,status,clean_obj,corrupt_obj,gap,detailed_ratio_vs_gap,necessity_ratio_vs_gap,rough_ratio_vs_gap,rough_necessity_ratio_vs_gap,probe_head,target_token_str,distractor_token_str,ap_mode,error
apps_python_1,1,,apps_python_1.txt,reverse_no_tool,ok,3.625,-3.0,6.625,1.0188679245283019,1.0,1.0377358490566038,1.0754716981132075,L16H8,I,<tool_call>,full,
codecontests_cpp_1,2,,codecontests_cpp_1.txt,reverse_no_tool,ok,5.0,-6.5,11.5,0.9565217391304348,0.9456521739130435,0.7717391304347826,0.8586956521739131,L24H6,I,<tool_call>,full,
