clean_candidate,clean_candidate_type,n_rows,tool_call_top1_count,tool_call_top1_rate,mean_tool_call_prob,median_tool_call_prob,min_tool_call_prob
directly build,phrase,78,78,1.0,0.9097903378498859,0.9362733066082001,0.6698167324066162
directly implement,phrase,78,78,1.0,0.9448030720918607,0.9599093198776245,0.5838447213172913
manually build,phrase,78,78,1.0,0.935815672079722,0.9499519467353821,0.7680160999298096
properly add,phrase,78,78,1.0,0.9438008016500717,0.9631693065166473,0.7107595205307007
write out,phrase,77,77,1.0,0.9673844521695917,0.9782744646072388,0.8288378715515137
append,verb,81,81,1.0,0.9942969289826759,0.9960558414459229,0.9665914177894592
create,verb,80,80,1.0,0.9223445028066635,0.9278582036495209,0.7439849972724915
edit,verb,81,81,1.0,0.95296080392084,0.958785891532898,0.8926610946655273
finalize,verb,77,77,1.0,0.9354162262631701,0.9615933895111084,0.5000274181365967
insert,verb,81,81,1.0,0.9685369111873485,0.9720639586448669,0.891534686088562
paste,verb,81,81,1.0,0.9578667967407791,0.9630287289619446,0.8265471458435059
prefill,verb,77,77,1.0,0.9046396837606059,0.9484347701072693,0.5034745931625366
prepare,verb,81,81,1.0,0.9290605202133273,0.9390602111816406,0.803977906703949
save,verb,81,81,1.0,0.9960675754664857,0.9965574145317078,0.980136513710022
write,verb,80,80,1.0,0.9375010333955288,0.9474349617958069,0.7872494459152222
