base_variant,candidate,n_samples,source_rescue_median,blocked_rescue_median,mlp27_mediated_rescue_median,blocked_retained_fraction_median,source_tool_top1_rate,blocked_tool_top1_rate,source_boundary_flip_rate,blocked_boundary_flip_rate
clean_no_protocol,L17H8,1722,0.37333333333333335,0.1875,0.18333333333333335,0.5,0.0,0.0,0.0,0.0
clean_no_protocol,L21H1,1722,1.8165902140672783,0.9794332240668289,0.8471117033255761,0.53125,0.010452961672473868,0.0,0.02264808362369338,0.0005807200929152149
clean_no_protocol,L21H12,1722,1.744576244732324,0.9925925925925926,0.7531122475334469,0.5660876509933114,0.015098722415795587,0.0005807200929152149,0.03426248548199768,0.0011614401858304297
clean_no_protocol,L23H6,1722,0.9930525401650021,0.5660782665545905,0.42532051282051286,0.5652173913043478,0.0005807200929152149,0.0,0.0005807200929152149,0.0
clean_no_protocol,L24H6,1722,1.7924001924001924,0.9159592529711376,0.8758192332405227,0.5102880658436213,0.0017421602787456446,0.0005807200929152149,0.008130081300813009,0.0
clean_no_protocol,MLP16,1722,-0.3383644243452044,-0.10393518518518519,-0.24870466321243523,0.4383561643835616,0.0,0.0,0.0,0.0
clean_no_protocol,MLP19,1722,-0.07026359869523054,-0.07576192389370373,0.007495788882650206,0.6804255319148936,0.0,0.0,0.0,0.0
clean_no_protocol,MLP27,1722,1.963709087361592,0.0,1.963709087361592,0.0,0.05168408826945412,0.0,0.0627177700348432,0.0
clean_no_schema,L17H8,1722,0.2881858921729611,0.15491677477115345,0.12989569485632477,0.546010515635089,0.2607433217189315,0.1806039488966318,0.289198606271777,0.20092915214866433
clean_no_schema,L21H1,1722,0.3693979933110368,0.1864705882352941,0.17462043378995434,0.5090257412838057,0.3704994192799071,0.18524970963995355,0.40824622531939603,0.21196283391405343
clean_no_schema,L21H12,1722,0.5315686628186628,0.3037974683544304,0.21490583408709135,0.57778890348421,0.5435540069686411,0.21951219512195122,0.5981416957026713,0.24680603948896632
clean_no_schema,L23H6,1722,0.4211437694448993,0.21853078243806723,0.1980799738708473,0.5184279634157385,0.3246225319396051,0.1765389082462253,0.3548199767711963,0.1986062717770035
clean_no_schema,L24H6,1722,0.4181547619047619,0.21091163738222563,0.205783012929156,0.5,0.23403019744483158,0.140534262485482,0.2764227642276423,0.1672473867595819
clean_no_schema,MLP16,1722,0.27824295587453485,0.18376072620371842,0.09105202973127503,0.6369863013698629,0.18583042973286876,0.1295005807200929,0.20557491289198607,0.15040650406504066
clean_no_schema,MLP19,1722,0.5610323923602234,0.3531391189759036,0.1915519721932214,0.6498084068460037,0.5993031358885017,0.29036004645760743,0.6387921022067363,0.3124274099883856
clean_no_schema,MLP27,1722,0.4681654283216783,0.0,0.4681654283216783,0.0,0.3792102206736353,0.0,0.4181184668989547,0.0
clean_schema_mismatch,L17H8,1722,0.3961209208095815,0.20207253886010362,0.18885003885003881,0.5109489051094891,0.11672473867595819,0.08188153310104529,0.12833914053426249,0.08710801393728224
clean_schema_mismatch,L21H1,1722,0.6744081779053085,0.35013368983957216,0.32244683732899904,0.5064935064935064,0.2787456445993031,0.09814169570267131,0.30197444831591175,0.10046457607433217
clean_schema_mismatch,L21H12,1722,0.8353630375529981,0.4682142157343,0.3607419345343224,0.5662175946665238,0.4709639953542393,0.1480836236933798,0.5098722415795587,0.1562137049941928
clean_schema_mismatch,L23H6,1722,0.5647616089454884,0.265532020972048,0.30000000000000004,0.4736842105263158,0.16318234610917537,0.08362369337979095,0.16898954703832753,0.08943089430894309
clean_schema_mismatch,L24H6,1722,0.6246301775147929,0.29037048223094736,0.33134808092266965,0.4746835443037975,0.13530778164924506,0.07723577235772358,0.14169570267131243,0.08072009291521487
clean_schema_mismatch,MLP16,1722,0.07377172603682672,0.03431842966194111,0.03635174568078979,0.5,0.056329849012775844,0.0545876887340302,0.056329849012775844,0.056329849012775844
clean_schema_mismatch,MLP19,1722,0.3166550643926209,0.16394335511982572,0.1473844180469578,0.5227272727272727,0.11149825783972125,0.078397212543554,0.1173054587688734,0.08013937282229965
clean_schema_mismatch,MLP27,1722,0.8717246453171583,0.0,0.8717246453171583,0.0,0.5087108013937283,0.0,0.5435540069686411,0.0
corrupt_full,L17H8,1722,0.3184644524374378,0.15384615384615385,0.16587677725118483,0.480842630651791,0.0005807200929152149,0.0,0.0005807200929152149,0.0
corrupt_full,L21H1,1722,0.5725214198286414,0.27873820168902136,0.2915780141843971,0.5,0.056329849012775844,0.0,0.03716608594657375,0.0
corrupt_full,L21H12,1722,0.7068972611758509,0.3713760504201681,0.3284202317290552,0.5330784335492278,0.15911730545876887,0.0023228803716608595,0.14285714285714285,0.0005807200929152149
corrupt_full,L23H6,1722,0.5251597604597886,0.2625,0.2635467980295566,0.5053197509903792,0.026713124274099883,0.0005807200929152149,0.012195121951219513,0.0
corrupt_full,L24H6,1722,0.5741183767499557,0.2687149749767749,0.3053097345132743,0.47195964410834446,0.004645760743321719,0.0,0.0,0.0
corrupt_full,MLP16,1722,0.5244572441293753,0.3203592814371258,0.1902794175521448,0.6385964912280702,0.07897793263646923,0.006387921022067364,0.07317073170731707,0.0011614401858304297
corrupt_full,MLP19,1722,0.537846956964604,0.30898543360433606,0.22209765819631289,0.5662356511413116,0.044715447154471545,0.0017421602787456446,0.0313588850174216,0.0005807200929152149
corrupt_full,MLP27,1722,0.8089183087027915,0.0,0.8089183087027915,0.0,0.2886178861788618,0.0,0.27468060394889665,0.0
