variant,span,attn_density_median
base,file_target,0.0075316340662539005
base,function_body_anchor,0.004474107641726732
base,lead_phrase,0.02033098228275776
base,tail_suffix,0.00761537067592144
base,task_body,0.0012414399534463882
clean,file_target,0.00828625075519085
clean,function_body_anchor,0.00473881047219038
clean,lead_phrase,0.013072512112557888
clean,tail_suffix,0.007383875083178282
clean,task_body,0.0013261910062283278
