component,source_rescue_ratio_median,blocked_rescue_ratio_median,mediated_ratio_median,source_top1_rate,blocked_top1_rate
k,0.06403940886699508,0.018518518518518517,0.09803921568627451,0.0,0.0
q,0.05092592592592592,-0.06944444444444445,0.06372549019607843,0.0,0.0
v,0.09954751131221719,0.03431372549019608,0.11320754716981132,0.0,0.0
z,0.12962962962962962,-0.05092592592592592,0.009852216748768473,0.0,0.0
