combo,n_samples,n_nodes,promote_ratio_median,suppress_ratio_median,promote_tool_top1_rate,suppress_no_tool_top1_rate,promote_gain_vs_symmetric_median,suppress_gain_vs_symmetric_median,promote_top1_gain_vs_symmetric_mean,suppress_top1_gain_vs_symmetric_mean
symmetric_backbone,1722,8,0.9941213922876249,0.9859110192746752,0.9732868757259001,0.9866434378629501,0.0,0.0,0.0,0.0
symmetric_plus_tool_bias,1722,12,0.9988293817568243,0.9928265619772498,0.9912891986062717,0.9912891986062717,0.0043904080814838875,0.005829445524727139,0.018002322880371662,0.004645760743321719
symmetric_plus_no_tool_bias,1722,12,0.9975590712551209,0.9914013053797468,0.9843205574912892,0.9924506387921022,0.0024990945133350206,0.004939680232558141,0.011033681765389082,0.005807200929152149
symmetric_plus_tool_mode,1722,16,0.998998391507852,0.9956234713289247,0.9941927990708479,0.9936120789779327,0.004633496457500219,0.009188638366627477,0.020905923344947737,0.006968641114982578
symmetric_plus_no_tool_mode,1722,16,0.99822306896472,0.9928687505590466,0.9901277584204413,0.9924506387921022,0.003439515624153955,0.006326580750224575,0.01684088269454123,0.005807200929152149
full_signed_circuit,1722,24,0.9996854096456291,0.9979679017405432,0.9988385598141696,0.997096399535424,0.005496046675265931,0.011579456040209046,0.025551684088269456,0.010452961672473868
